Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,794",+/-45,(X),(X),945,+/-45,(X),(X),849,+/-21,(X),(X)
Less than high school graduate,399,+/-110,22.2%,+/-6.1,208,+/-58,22.0%,+/-6.4,191,+/-97,22.5%,+/-11.4
High school graduate (includes equivalency),555,+/-117,30.9%,+/-6.6,316,+/-97,33.4%,+/-10.3,239,+/-82,28.2%,+/-9.6
Some college or associate's degree,716,+/-123,39.9%,+/-6.6,357,+/-90,37.8%,+/-8.9,359,+/-96,42.3%,+/-11.3
Bachelor's degree or higher,124,+/-69,6.9%,+/-3.8,64,+/-43,6.8%,+/-4.5,60,+/-50,7.1%,+/-5.8
Population 25 years and over,"15,517",+/-60,(X),(X),"7,574",+/-64,(X),(X),"7,943",+/-67,(X),(X)
Less than 9th grade,721,+/-147,4.6%,+/-0.9,476,+/-121,6.3%,+/-1.6,245,+/-100,3.1%,+/-1.3
"9th to 12th grade, no diploma","1,234",+/-234,8.0%,+/-1.5,612,+/-166,8.1%,+/-2.2,622,+/-147,7.8%,+/-1.9
High school graduate (includes equivalency),"6,531",+/-449,42.1%,+/-2.9,"3,430",+/-312,45.3%,+/-4.1,"3,101",+/-246,39.0%,+/-3.1
"Some college, no degree","2,599",+/-271,16.7%,+/-1.7,"1,293",+/-215,17.1%,+/-2.8,"1,306",+/-162,16.4%,+/-2.1
Associate's degree,"1,461",+/-255,9.4%,+/-1.6,457,+/-150,6.0%,+/-2.0,"1,004",+/-199,12.6%,+/-2.5
Bachelor's degree,"1,931",+/-278,12.4%,+/-1.8,822,+/-146,10.9%,+/-1.9,"1,109",+/-203,14.0%,+/-2.5
Graduate or professional degree,"1,040",+/-214,6.7%,+/-1.4,484,+/-125,6.4%,+/-1.7,556,+/-138,7.0%,+/-1.7
Percent high school graduate or higher,(X),(X),87.4%,+/-1.8,(X),(X),85.6%,+/-2.5,(X),(X),89.1%,+/-2.1
Percent bachelor's degree or higher,(X),(X),19.1%,+/-2.3,(X),(X),17.2%,+/-2.5,(X),(X),21.0%,+/-3.1
Population 25 to 34 years,"2,355",+/-78,(X),(X),"1,151",+/-42,(X),(X),"1,204",+/-60,(X),(X)
High school graduate or higher,"2,093",+/-146,88.9%,+/-4.9,"1,004",+/-98,87.2%,+/-7.3,"1,089",+/-99,90.4%,+/-6.1
Bachelor's degree or higher,732,+/-169,31.1%,+/-6.8,353,+/-117,30.7%,+/-9.6,379,+/-124,31.5%,+/-9.5
Population 35 to 44 years,"2,830",+/-49,(X),(X),"1,391",+/-21,(X),(X),"1,439",+/-49,(X),(X)
High school graduate or higher,"2,651",+/-104,93.7%,+/-3.2,"1,262",+/-62,90.7%,+/-4.4,"1,389",+/-68,96.5%,+/-3.2
Bachelor's degree or higher,675,+/-195,23.9%,+/-6.8,219,+/-90,15.7%,+/-6.4,456,+/-138,31.7%,+/-9.3
Population 45 to 64 years,"6,717",+/-93,(X),(X),"3,405",+/-78,(X),(X),"3,312",+/-50,(X),(X)
High school graduate or higher,"6,053",+/-154,90.1%,+/-2.4,"3,007",+/-100,88.3%,+/-3.4,"3,046",+/-105,92.0%,+/-2.8
Bachelor's degree or higher,"1,152",+/-229,17.2%,+/-3.4,581,+/-138,17.1%,+/-4.0,571,+/-116,17.2%,+/-3.5
Population 65 years and over,"3,615",+/-64,(X),(X),"1,627",+/-26,(X),(X),"1,988",+/-46,(X),(X)
High school graduate or higher,"2,765",+/-156,76.5%,+/-4.0,"1,213",+/-97,74.6%,+/-5.7,"1,552",+/-106,78.1%,+/-5.1
Bachelor's degree or higher,412,+/-144,11.4%,+/-3.9,153,+/-48,9.4%,+/-2.9,259,+/-128,13.0%,+/-6.4
