RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,164",+/-43,(X),(X),"7,448",+/-16,(X),(X),"7,716",+/-45,(X),(X)
High school graduate or higher,"13,279",+/-276,87.6%,+/-1.8,"6,412",+/-166,86.1%,+/-2.3,"6,867",+/-176,89.0%,+/-2.2
Bachelor's degree or higher,"2,788",+/-360,18.4%,+/-2.4,"1,261",+/-187,16.9%,+/-2.5,"1,527",+/-237,19.8%,+/-3.1
"White alone, not Hispanic or Latino","15,091",+/-21,(X),(X),"7,436",+/-21,(X),(X),"7,655",+/-21,(X),(X)
High school graduate or higher,"13,230",+/-266,87.7%,+/-1.8,"6,412",+/-166,86.2%,+/-2.2,"6,818",+/-166,89.1%,+/-2.2
Bachelor's degree or higher,"2,788",+/-360,18.5%,+/-2.4,"1,261",+/-187,17.0%,+/-2.5,"1,527",+/-237,19.9%,+/-3.1
Black alone,76,+/-80,(X),(X),52,+/-76,(X),(X),24,+/-29,(X),(X)
High school graduate or higher,24,+/-29,31.6%,+/-48.3,0,+/-21,0.0%,+/-39.5,24,+/-29,100.0%,+/-58.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-31.4,0,+/-21,0.0%,+/-39.5,0,+/-21,0.0%,+/-58.2
American Indian or Alaska Native alone,32,+/-52,(X),(X),15,+/-26,(X),(X),17,+/-26,(X),(X)
High school graduate or higher,32,+/-52,100.0%,+/-50.4,15,+/-26,100.0%,+/-73.6,17,+/-26,100.0%,+/-69.1
Bachelor's degree or higher,30,+/-51,93.8%,+/-29.0,15,+/-26,100.0%,+/-73.6,15,+/-25,88.2%,+/-43.9
Asian alone,132,+/-91,(X),(X),30,+/-39,(X),(X),102,+/-75,(X),(X)
High school graduate or higher,132,+/-91,100.0%,+/-20.2,30,+/-39,100.0%,+/-52.0,102,+/-75,100.0%,+/-25.1
Bachelor's degree or higher,103,+/-76,78.0%,+/-25.1,30,+/-39,100.0%,+/-52.0,73,+/-78,71.6%,+/-43.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,48,+/-53,(X),(X),0,+/-21,(X),(X),48,+/-53,(X),(X)
High school graduate or higher,30,+/-29,62.5%,+/-32.6,0,+/-21,-,**,30,+/-29,62.5%,+/-32.6
Bachelor's degree or higher,16,+/-24,33.3%,+/-55.5,0,+/-21,-,**,16,+/-24,33.3%,+/-55.5
Two or more races,65,+/-79,(X),(X),29,+/-35,(X),(X),36,+/-45,(X),(X)
High school graduate or higher,65,+/-79,100.0%,+/-34.9,29,+/-35,100.0%,+/-52.9,36,+/-45,100.0%,+/-47.5
Bachelor's degree or higher,34,+/-45,52.3%,+/-15.1,0,+/-21,0.0%,+/-52.9,34,+/-45,94.4%,+/-22.9
Hispanic or Latino Origin,123,+/-36,(X),(X),12,+/-16,(X),(X),111,+/-41,(X),(X)
High school graduate or higher,81,+/-41,65.9%,+/-30.6,0,+/-21,0.0%,+/-82.3,81,+/-41,73.0%,+/-26.7
Bachelor's degree or higher,16,+/-24,13.0%,+/-21.6,0,+/-21,0.0%,+/-82.3,16,+/-24,14.4%,+/-24.4
