Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,760",+/-30,(X),(X),920,+/-30,(X),(X),840,+/-21,(X),(X)
Less than high school graduate,434,+/-111,24.7%,+/-6.4,201,+/-59,21.8%,+/-6.5,233,+/-93,27.7%,+/-11.1
High school graduate (includes equivalency),482,+/-110,27.4%,+/-6.2,321,+/-84,34.9%,+/-9.1,161,+/-64,19.2%,+/-7.6
Some college or associate's degree,715,+/-156,40.6%,+/-8.7,343,+/-87,37.3%,+/-9.2,372,+/-107,44.3%,+/-12.8
Bachelor's degree or higher,129,+/-68,7.3%,+/-3.9,55,+/-41,6.0%,+/-4.4,74,+/-52,8.8%,+/-6.2
Population 25 years and over,"15,561",+/-31,(X),(X),"7,597",+/-45,(X),(X),"7,964",+/-52,(X),(X)
Less than 9th grade,684,+/-147,4.4%,+/-0.9,432,+/-112,5.7%,+/-1.5,252,+/-87,3.2%,+/-1.1
"9th to 12th grade, no diploma","1,350",+/-217,8.7%,+/-1.4,717,+/-164,9.4%,+/-2.1,633,+/-138,7.9%,+/-1.7
High school graduate (includes equivalency),"6,626",+/-377,42.6%,+/-2.4,"3,362",+/-259,44.3%,+/-3.4,"3,264",+/-228,41.0%,+/-2.9
"Some college, no degree","2,579",+/-305,16.6%,+/-2.0,"1,311",+/-224,17.3%,+/-2.9,"1,268",+/-199,15.9%,+/-2.5
Associate's degree,"1,326",+/-260,8.5%,+/-1.7,488,+/-154,6.4%,+/-2.0,838,+/-178,10.5%,+/-2.2
Bachelor's degree,"2,001",+/-301,12.9%,+/-1.9,844,+/-156,11.1%,+/-2.1,"1,157",+/-207,14.5%,+/-2.6
Graduate or professional degree,995,+/-207,6.4%,+/-1.3,443,+/-124,5.8%,+/-1.6,552,+/-129,6.9%,+/-1.6
Percent high school graduate or higher,(X),(X),86.9%,+/-1.7,(X),(X),84.9%,+/-2.5,(X),(X),88.9%,+/-2.0
Percent bachelor's degree or higher,(X),(X),19.3%,+/-2.2,(X),(X),16.9%,+/-2.6,(X),(X),21.5%,+/-2.9
Population 25 to 34 years,"2,332",+/-70,(X),(X),"1,146",+/-29,(X),(X),"1,186",+/-57,(X),(X)
High school graduate or higher,"2,128",+/-116,91.3%,+/-4.2,"1,021",+/-78,89.1%,+/-6.6,"1,107",+/-74,93.3%,+/-4.2
Bachelor's degree or higher,683,+/-153,29.3%,+/-6.5,328,+/-98,28.6%,+/-8.4,355,+/-98,29.9%,+/-7.7
Population 35 to 44 years,"2,903",+/-45,(X),(X),"1,432",+/-15,(X),(X),"1,471",+/-46,(X),(X)
High school graduate or higher,"2,716",+/-98,93.6%,+/-2.9,"1,296",+/-52,90.5%,+/-3.5,"1,420",+/-69,96.5%,+/-3.1
Bachelor's degree or higher,782,+/-182,26.9%,+/-6.2,251,+/-87,17.5%,+/-6.1,531,+/-142,36.1%,+/-9.4
Population 45 to 64 years,"6,805",+/-87,(X),(X),"3,445",+/-52,(X),(X),"3,360",+/-54,(X),(X)
High school graduate or higher,"6,082",+/-178,89.4%,+/-2.4,"3,034",+/-107,88.1%,+/-3.2,"3,048",+/-115,90.7%,+/-3.1
Bachelor's degree or higher,"1,109",+/-220,16.3%,+/-3.2,546,+/-127,15.8%,+/-3.7,563,+/-121,16.8%,+/-3.6
Population 65 years and over,"3,521",+/-46,(X),(X),"1,574",+/-21,(X),(X),"1,947",+/-36,(X),(X)
High school graduate or higher,"2,601",+/-149,73.9%,+/-4.3,"1,097",+/-103,69.7%,+/-6.6,"1,504",+/-91,77.2%,+/-4.7
Bachelor's degree or higher,422,+/-127,12.0%,+/-3.6,162,+/-62,10.3%,+/-3.8,260,+/-114,13.4%,+/-5.8
