RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,349",+/-100,(X),(X),"7,550",+/-43,(X),(X),"7,799",+/-82,(X),(X)
High school graduate or higher,"13,458",+/-231,87.7%,+/-1.5,"6,579",+/-154,87.1%,+/-2.0,"6,879",+/-175,88.2%,+/-2.1
Bachelor's degree or higher,"2,972",+/-324,19.4%,+/-2.1,"1,372",+/-178,18.2%,+/-2.4,"1,600",+/-240,20.5%,+/-3.1
"White alone, not Hispanic or Latino","15,276",+/-76,(X),(X),"7,528",+/-42,(X),(X),"7,748",+/-62,(X),(X)
High school graduate or higher,"13,428",+/-231,87.9%,+/-1.5,"6,579",+/-154,87.4%,+/-2.0,"6,849",+/-170,88.4%,+/-2.1
Bachelor's degree or higher,"2,972",+/-324,19.5%,+/-2.1,"1,372",+/-178,18.2%,+/-2.4,"1,600",+/-240,20.7%,+/-3.1
Black alone,49,+/-46,(X),(X),25,+/-36,(X),(X),24,+/-30,(X),(X)
High school graduate or higher,24,+/-30,49.0%,+/-51.0,0,+/-21,0.0%,+/-57.0,24,+/-30,100.0%,+/-58.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-40.7,0,+/-21,0.0%,+/-57.0,0,+/-21,0.0%,+/-58.2
American Indian or Alaska Native alone,6,+/-10,(X),(X),0,+/-21,(X),(X),6,+/-10,(X),(X)
High school graduate or higher,6,+/-10,100.0%,+/-100.0,0,+/-21,-,**,6,+/-10,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**,0,+/-21,0.0%,+/-100.0
Asian alone,58,+/-63,(X),(X),10,+/-15,(X),(X),48,+/-56,(X),(X)
High school graduate or higher,46,+/-56,79.3%,+/-30.0,10,+/-15,100.0%,+/-90.1,36,+/-53,75.0%,+/-50.0
Bachelor's degree or higher,36,+/-53,62.1%,+/-56.9,0,+/-21,0.0%,+/-90.1,36,+/-53,75.0%,+/-50.0
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,35,+/-48,(X),(X),0,+/-21,(X),(X),35,+/-48,(X),(X)
High school graduate or higher,35,+/-48,100.0%,+/-48.2,0,+/-21,-,**,35,+/-48,100.0%,+/-48.2
Bachelor's degree or higher,35,+/-48,100.0%,+/-48.2,0,+/-21,-,**,35,+/-48,100.0%,+/-48.2
Two or more races,12,+/-15,(X),(X),11,+/-15,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,12,+/-15,100.0%,+/-82.2,11,+/-15,100.0%,+/-85.9,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,9,+/-15,75.0%,+/-53.7,9,+/-15,81.8%,+/-48.8,0,+/-21,0.0%,+/-100.0
Hispanic or Latino Origin,114,+/-35,(X),(X),22,+/-27,(X),(X),92,+/-39,(X),(X)
High school graduate or higher,71,+/-57,62.3%,+/-46.3,0,+/-21,0.0%,+/-60.7,71,+/-57,77.2%,+/-37.0
Bachelor's degree or higher,35,+/-48,30.7%,+/-48.2,0,+/-21,0.0%,+/-60.7,35,+/-48,38.0%,+/-52.0
