Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,092",+/-31,(X),(X),"1,063",+/-19,(X),(X),"1,029",+/-25,(X),(X)
Less than high school graduate,558,+/-142,26.7%,+/-6.7,373,+/-116,35.1%,+/-10.8,185,+/-61,18.0%,+/-5.9
High school graduate (includes equivalency),698,+/-184,33.4%,+/-8.9,306,+/-122,28.8%,+/-11.5,392,+/-137,38.1%,+/-13.5
Some college or associate's degree,740,+/-156,35.4%,+/-7.4,357,+/-104,33.6%,+/-9.9,383,+/-117,37.2%,+/-11.0
Bachelor's degree or higher,96,+/-67,4.6%,+/-3.2,27,+/-30,2.5%,+/-2.8,69,+/-50,6.7%,+/-4.9
Population 25 years and over,"18,248",+/-64,(X),(X),"8,802",+/-65,(X),(X),"9,446",+/-81,(X),(X)
Less than 9th grade,442,+/-141,2.4%,+/-0.8,216,+/-97,2.5%,+/-1.1,226,+/-98,2.4%,+/-1.0
"9th to 12th grade, no diploma","1,431",+/-248,7.8%,+/-1.4,789,+/-193,9.0%,+/-2.2,642,+/-149,6.8%,+/-1.6
High school graduate (includes equivalency),"8,169",+/-492,44.8%,+/-2.7,"4,204",+/-349,47.8%,+/-3.9,"3,965",+/-263,42.0%,+/-2.8
"Some college, no degree","3,304",+/-324,18.1%,+/-1.8,"1,610",+/-217,18.3%,+/-2.5,"1,694",+/-229,17.9%,+/-2.4
Associate's degree,"1,813",+/-253,9.9%,+/-1.4,658,+/-154,7.5%,+/-1.7,"1,155",+/-183,12.2%,+/-1.9
Bachelor's degree,"2,007",+/-253,11.0%,+/-1.4,812,+/-165,9.2%,+/-1.9,"1,195",+/-187,12.7%,+/-2.0
Graduate or professional degree,"1,082",+/-248,5.9%,+/-1.4,513,+/-155,5.8%,+/-1.8,569,+/-150,6.0%,+/-1.6
Percent high school graduate or higher,(X),(X),89.7%,+/-1.6,(X),(X),88.6%,+/-2.2,(X),(X),90.8%,+/-1.8
Percent bachelor's degree or higher,(X),(X),16.9%,+/-2.0,(X),(X),15.1%,+/-2.7,(X),(X),18.7%,+/-2.1
Population 25 to 34 years,"3,221",+/-82,(X),(X),"1,570",+/-30,(X),(X),"1,651",+/-87,(X),(X)
High school graduate or higher,"2,887",+/-166,89.6%,+/-4.2,"1,393",+/-76,88.7%,+/-4.7,"1,494",+/-140,90.5%,+/-5.8
Bachelor's degree or higher,605,+/-156,18.8%,+/-4.8,255,+/-97,16.2%,+/-6.1,350,+/-108,21.2%,+/-6.5
Population 35 to 44 years,"3,243",+/-53,(X),(X),"1,606",+/-50,(X),(X),"1,637",+/-18,(X),(X)
High school graduate or higher,"2,973",+/-119,91.7%,+/-3.4,"1,437",+/-110,89.5%,+/-6.0,"1,536",+/-55,93.8%,+/-3.2
Bachelor's degree or higher,618,+/-121,19.1%,+/-3.9,165,+/-58,10.3%,+/-3.7,453,+/-100,27.7%,+/-6.0
Population 45 to 64 years,"7,415",+/-51,(X),(X),"3,692",+/-47,(X),(X),"3,723",+/-53,(X),(X)
High school graduate or higher,"6,699",+/-181,90.3%,+/-2.3,"3,264",+/-131,88.4%,+/-3.6,"3,435",+/-107,92.3%,+/-2.6
Bachelor's degree or higher,"1,420",+/-268,19.2%,+/-3.6,655,+/-169,17.7%,+/-4.6,765,+/-148,20.5%,+/-3.9
Population 65 years and over,"4,369",+/-25,(X),(X),"1,934",+/-14,(X),(X),"2,435",+/-21,(X),(X)
High school graduate or higher,"3,816",+/-128,87.3%,+/-3.0,"1,703",+/-69,88.1%,+/-3.6,"2,113",+/-90,86.8%,+/-3.7
Bachelor's degree or higher,446,+/-125,10.2%,+/-2.9,250,+/-77,12.9%,+/-4.0,196,+/-72,8.0%,+/-3.0
