RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,889",+/-67,(X),(X),"8,652",+/-15,(X),(X),"9,237",+/-67,(X),(X)
High school graduate or higher,"16,052",+/-304,89.7%,+/-1.6,"7,670",+/-181,88.7%,+/-2.1,"8,382",+/-188,90.7%,+/-1.8
Bachelor's degree or higher,"3,027",+/-355,16.9%,+/-2.0,"1,324",+/-239,15.3%,+/-2.8,"1,703",+/-195,18.4%,+/-2.1
"White alone, not Hispanic or Latino","17,797",+/-29,(X),(X),"8,642",+/-21,(X),(X),"9,155",+/-29,(X),(X)
High school graduate or higher,"15,960",+/-289,89.7%,+/-1.6,"7,660",+/-181,88.6%,+/-2.1,"8,300",+/-173,90.7%,+/-1.8
Bachelor's degree or higher,"3,027",+/-355,17.0%,+/-2.0,"1,324",+/-239,15.3%,+/-2.8,"1,703",+/-195,18.6%,+/-2.1
Black alone,52,+/-41,(X),(X),40,+/-35,(X),(X),12,+/-17,(X),(X)
High school graduate or higher,52,+/-41,100.0%,+/-39.5,40,+/-35,100.0%,+/-45.1,12,+/-17,100.0%,+/-82.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-39.5,0,+/-21,0.0%,+/-45.1,0,+/-21,0.0%,+/-82.3
American Indian or Alaska Native alone,33,+/-25,(X),(X),3,+/-5,(X),(X),30,+/-24,(X),(X)
High school graduate or higher,20,+/-20,60.6%,+/-38.0,3,+/-5,100.0%,+/-100.0,17,+/-19,56.7%,+/-40.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-49.6,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-52.0
Asian alone,22,+/-29,(X),(X),1,+/-3,(X),(X),21,+/-28,(X),(X)
High school graduate or higher,22,+/-29,100.0%,+/-60.7,1,+/-3,100.0%,+/-100.0,21,+/-28,100.0%,+/-62.2
Bachelor's degree or higher,3,+/-6,13.6%,+/-23.4,1,+/-3,100.0%,+/-100.0,2,+/-4,9.5%,+/-18.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,39,+/-40,(X),(X),17,+/-21,(X),(X),22,+/-35,(X),(X)
High school graduate or higher,39,+/-40,100.0%,+/-45.6,17,+/-21,100.0%,+/-69.1,22,+/-35,100.0%,+/-60.7
Bachelor's degree or higher,22,+/-35,56.4%,+/-53.3,0,+/-21,0.0%,+/-69.1,22,+/-35,100.0%,+/-60.7
Two or more races,213,+/-79,(X),(X),89,+/-54,(X),(X),124,+/-83,(X),(X)
High school graduate or higher,190,+/-82,89.2%,+/-17.1,66,+/-50,74.2%,+/-35.7,124,+/-83,100.0%,+/-21.3
Bachelor's degree or higher,37,+/-49,17.4%,+/-22.4,0,+/-21,0.0%,+/-27.9,37,+/-49,29.8%,+/-39.0
Hispanic or Latino Origin,131,+/-54,(X),(X),27,+/-26,(X),(X),104,+/-59,(X),(X)
High school graduate or higher,131,+/-54,100.0%,+/-20.3,27,+/-26,100.0%,+/-54.8,104,+/-59,100.0%,+/-24.7
Bachelor's degree or higher,22,+/-35,16.8%,+/-26.3,0,+/-21,0.0%,+/-54.8,22,+/-35,21.2%,+/-34.6
