RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,788",+/-64,(X),(X),"8,617",+/-14,(X),(X),"9,171",+/-64,(X),(X)
High school graduate or higher,"16,145",+/-248,90.8%,+/-1.4,"7,824",+/-152,90.8%,+/-1.7,"8,321",+/-174,90.7%,+/-1.9
Bachelor's degree or higher,"2,948",+/-361,16.6%,+/-2.0,"1,225",+/-225,14.2%,+/-2.6,"1,723",+/-213,18.8%,+/-2.3
"White alone, not Hispanic or Latino","17,659",+/-32,(X),(X),"8,607",+/-21,(X),(X),"9,052",+/-32,(X),(X)
High school graduate or higher,"16,039",+/-250,90.8%,+/-1.4,"7,814",+/-151,90.8%,+/-1.7,"8,225",+/-172,90.9%,+/-1.9
Bachelor's degree or higher,"2,948",+/-361,16.7%,+/-2.1,"1,225",+/-225,14.2%,+/-2.6,"1,723",+/-213,19.0%,+/-2.4
Black alone,92,+/-54,(X),(X),85,+/-52,(X),(X),7,+/-11,(X),(X)
High school graduate or higher,75,+/-46,81.5%,+/-32.5,68,+/-43,80.0%,+/-35.0,7,+/-11,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-27.2,0,+/-21,0.0%,+/-28.9,0,+/-21,0.0%,+/-100.0
American Indian or Alaska Native alone,16,+/-15,(X),(X),3,+/-5,(X),(X),13,+/-13,(X),(X)
High school graduate or higher,9,+/-10,56.3%,+/-43.6,3,+/-5,100.0%,+/-100.0,6,+/-9,46.2%,+/-49.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-71.2,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-79.0
Asian alone,67,+/-23,(X),(X),4,+/-8,(X),(X),63,+/-23,(X),(X)
High school graduate or higher,67,+/-23,100.0%,+/-34.3,4,+/-8,100.0%,+/-100.0,63,+/-23,100.0%,+/-35.6
Bachelor's degree or higher,8,+/-11,11.9%,+/-16.0,4,+/-8,100.0%,+/-100.0,4,+/-7,6.3%,+/-10.6
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,57,+/-53,(X),(X),17,+/-27,(X),(X),40,+/-47,(X),(X)
High school graduate or higher,57,+/-53,100.0%,+/-37.7,17,+/-27,100.0%,+/-69.1,40,+/-47,100.0%,+/-45.1
Bachelor's degree or higher,29,+/-43,50.9%,+/-50.9,0,+/-21,0.0%,+/-69.1,29,+/-43,72.5%,+/-57.0
Two or more races,200,+/-61,(X),(X),80,+/-50,(X),(X),120,+/-55,(X),(X)
High school graduate or higher,177,+/-66,88.5%,+/-11.2,68,+/-46,85.0%,+/-21.4,109,+/-59,90.8%,+/-15.3
Bachelor's degree or higher,44,+/-42,22.0%,+/-20.2,4,+/-8,5.0%,+/-9.8,40,+/-41,33.3%,+/-33.6
Hispanic or Latino Origin,186,+/-37,(X),(X),27,+/-31,(X),(X),159,+/-40,(X),(X)
High school graduate or higher,163,+/-40,87.6%,+/-20.7,27,+/-31,100.0%,+/-54.8,136,+/-48,85.5%,+/-25.6
Bachelor's degree or higher,29,+/-43,15.6%,+/-22.9,0,+/-21,0.0%,+/-54.8,29,+/-43,18.2%,+/-26.3
