RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"47,511",+/-286,(X),(X),"22,931",+/-232,(X),(X),"24,580",+/-137,(X),(X)
High school graduate or higher,"43,370",+/-477,91.3%,+/-0.9,"20,799",+/-301,90.7%,+/-1.1,"22,571",+/-296,91.8%,+/-1.1
Bachelor's degree or higher,"12,641",+/-590,26.6%,+/-1.3,"6,348",+/-388,27.7%,+/-1.8,"6,293",+/-369,25.6%,+/-1.5
"White alone, not Hispanic or Latino","46,626",+/-124,(X),(X),"22,366",+/-86,(X),(X),"24,260",+/-48,(X),(X)
High school graduate or higher,"42,677",+/-432,91.5%,+/-0.9,"20,374",+/-275,91.1%,+/-1.2,"22,303",+/-260,91.9%,+/-1.1
Bachelor's degree or higher,"12,411",+/-560,26.6%,+/-1.2,"6,213",+/-381,27.8%,+/-1.7,"6,198",+/-363,25.5%,+/-1.5
Black alone,"1,061",+/-107,(X),(X),606,+/-66,(X),(X),455,+/-82,(X),(X)
High school graduate or higher,934,+/-126,88.0%,+/-7.0,492,+/-91,81.2%,+/-11.7,442,+/-83,97.1%,+/-4.0
Bachelor's degree or higher,343,+/-128,32.3%,+/-11.0,253,+/-94,41.7%,+/-13.8,90,+/-70,19.8%,+/-15.3
American Indian or Alaska Native alone,118,+/-82,(X),(X),0,+/-27,(X),(X),118,+/-82,(X),(X)
High school graduate or higher,110,+/-82,93.2%,+/-13.0,0,+/-27,-,**,110,+/-82,93.2%,+/-13.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-22.2,0,+/-27,-,**,0,+/-27,0.0%,+/-22.2
Asian alone,"3,134",+/-135,(X),(X),"1,808",+/-116,(X),(X),"1,326",+/-65,(X),(X)
High school graduate or higher,"3,121",+/-137,99.6%,+/-0.7,"1,808",+/-116,100.0%,+/-1.6,"1,313",+/-69,99.0%,+/-1.6
Bachelor's degree or higher,"2,748",+/-154,87.7%,+/-4.1,"1,672",+/-129,92.5%,+/-5.0,"1,076",+/-102,81.1%,+/-6.4
Native Hawaiian and Other Pacific Islander alone,57,+/-44,(X),(X),35,+/-38,(X),(X),22,+/-25,(X),(X)
High school graduate or higher,57,+/-44,100.0%,+/-37.7,35,+/-38,100.0%,+/-48.2,22,+/-25,100.0%,+/-60.7
Bachelor's degree or higher,0,+/-27,0.0%,+/-37.7,0,+/-27,0.0%,+/-48.2,0,+/-27,0.0%,+/-60.7
Some other race alone,"1,742",+/-282,(X),(X),964,+/-236,(X),(X),778,+/-158,(X),(X)
High school graduate or higher,794,+/-255,45.6%,+/-15.5,536,+/-199,55.6%,+/-18.9,258,+/-110,33.2%,+/-16.9
Bachelor's degree or higher,172,+/-118,9.9%,+/-6.6,105,+/-81,10.9%,+/-8.1,67,+/-51,8.6%,+/-7.1
Two or more races,532,+/-149,(X),(X),276,+/-98,(X),(X),256,+/-118,(X),(X)
High school graduate or higher,503,+/-151,94.5%,+/-5.1,265,+/-98,96.0%,+/-5.7,238,+/-117,93.0%,+/-7.7
Bachelor's degree or higher,167,+/-91,31.4%,+/-14.7,89,+/-62,32.2%,+/-18.4,78,+/-71,30.5%,+/-23.6
Hispanic or Latino Origin,"2,526",*****,(X),(X),"1,481",+/-86,(X),(X),"1,045",+/-86,(X),(X)
High school graduate or higher,"1,456",+/-334,57.6%,+/-13.2,966,+/-216,65.2%,+/-14.6,490,+/-177,46.9%,+/-17.2
Bachelor's degree or higher,366,+/-156,14.5%,+/-6.2,237,+/-109,16.0%,+/-7.4,129,+/-75,12.3%,+/-7.4
