Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,718",+/-101,(X),(X),"3,612",+/-54,(X),(X),"3,106",+/-88,(X),(X)
Less than high school graduate,"1,029",+/-195,15.3%,+/-2.9,662,+/-136,18.3%,+/-3.8,367,+/-127,11.8%,+/-4.1
High school graduate (includes equivalency),"2,709",+/-330,40.3%,+/-4.9,"1,524",+/-264,42.2%,+/-7.2,"1,185",+/-237,38.2%,+/-7.9
Some college or associate's degree,"1,763",+/-310,26.2%,+/-4.5,750,+/-195,20.8%,+/-5.4,"1,013",+/-233,32.6%,+/-7.2
Bachelor's degree or higher,"1,217",+/-240,18.1%,+/-3.6,676,+/-140,18.7%,+/-3.9,541,+/-181,17.4%,+/-5.7
Population 25 years and over,"54,857",+/-102,(X),(X),"27,145",+/-102,(X),(X),"27,712",+/-122,(X),(X)
Less than 9th grade,"1,723",+/-344,3.1%,+/-0.6,966,+/-290,3.6%,+/-1.1,757,+/-175,2.7%,+/-0.6
"9th to 12th grade, no diploma","3,640",+/-426,6.6%,+/-0.8,"1,952",+/-315,7.2%,+/-1.2,"1,688",+/-233,6.1%,+/-0.8
High school graduate (includes equivalency),"18,386",+/-969,33.5%,+/-1.8,"9,380",+/-584,34.6%,+/-2.1,"9,006",+/-650,32.5%,+/-2.4
"Some college, no degree","9,168",+/-549,16.7%,+/-1.0,"4,123",+/-341,15.2%,+/-1.3,"5,045",+/-414,18.2%,+/-1.5
Associate's degree,"4,799",+/-381,8.7%,+/-0.7,"1,898",+/-241,7.0%,+/-0.9,"2,901",+/-272,10.5%,+/-1.0
Bachelor's degree,"10,155",+/-683,18.5%,+/-1.2,"4,930",+/-374,18.2%,+/-1.4,"5,225",+/-448,18.9%,+/-1.6
Graduate or professional degree,"6,986",+/-510,12.7%,+/-0.9,"3,896",+/-332,14.4%,+/-1.2,"3,090",+/-328,11.2%,+/-1.2
Percent high school graduate or higher,(X),(X),90.2%,+/-1.0,(X),(X),89.3%,+/-1.5,(X),(X),91.2%,+/-1.1
Percent bachelor's degree or higher,(X),(X),31.2%,+/-1.4,(X),(X),32.5%,+/-1.6,(X),(X),30.0%,+/-1.8
Population 25 to 34 years,"11,199",+/-247,(X),(X),"6,002",+/-187,(X),(X),"5,197",+/-127,(X),(X)
High school graduate or higher,"10,150",+/-262,90.6%,+/-2.2,"5,335",+/-198,88.9%,+/-3.4,"4,815",+/-186,92.6%,+/-2.8
Bachelor's degree or higher,"4,448",+/-362,39.7%,+/-3.1,"2,386",+/-247,39.8%,+/-4.1,"2,062",+/-209,39.7%,+/-3.8
Population 35 to 44 years,"10,460",+/-274,(X),(X),"5,220",+/-230,(X),(X),"5,240",+/-129,(X),(X)
High school graduate or higher,"9,678",+/-340,92.5%,+/-1.7,"4,816",+/-260,92.3%,+/-3.0,"4,862",+/-143,92.8%,+/-1.8
Bachelor's degree or higher,"3,552",+/-379,34.0%,+/-3.6,"1,674",+/-198,32.1%,+/-3.7,"1,878",+/-263,35.8%,+/-5.0
Population 45 to 64 years,"20,760",+/-265,(X),(X),"10,427",+/-218,(X),(X),"10,333",+/-139,(X),(X)
High school graduate or higher,"18,848",+/-346,90.8%,+/-1.5,"9,187",+/-261,88.1%,+/-2.4,"9,661",+/-221,93.5%,+/-1.6
Bachelor's degree or higher,"6,395",+/-413,30.8%,+/-1.9,"3,187",+/-262,30.6%,+/-2.2,"3,208",+/-261,31.0%,+/-2.5
Population 65 years and over,"12,438",+/-139,(X),(X),"5,496",+/-90,(X),(X),"6,942",+/-88,(X),(X)
High school graduate or higher,"10,818",+/-277,87.0%,+/-2.0,"4,889",+/-165,89.0%,+/-2.4,"5,929",+/-198,85.4%,+/-2.7
Bachelor's degree or higher,"2,746",+/-293,22.1%,+/-2.3,"1,579",+/-196,28.7%,+/-3.5,"1,167",+/-173,16.8%,+/-2.5
