RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"47,883",+/-247,(X),(X),"23,213",+/-196,(X),(X),"24,670",+/-108,(X),(X)
High school graduate or higher,"43,842",+/-479,91.6%,+/-0.9,"20,976",+/-319,90.4%,+/-1.4,"22,866",+/-308,92.7%,+/-1.1
Bachelor's degree or higher,"13,457",+/-751,28.1%,+/-1.6,"6,620",+/-440,28.5%,+/-1.9,"6,837",+/-452,27.7%,+/-1.8
"White alone, not Hispanic or Latino","46,894",+/-141,(X),(X),"22,525",+/-94,(X),(X),"24,369",+/-51,(X),(X)
High school graduate or higher,"43,081",+/-416,91.9%,+/-0.9,"20,473",+/-292,90.9%,+/-1.3,"22,608",+/-265,92.8%,+/-1.1
Bachelor's degree or higher,"13,234",+/-741,28.2%,+/-1.6,"6,474",+/-433,28.7%,+/-1.9,"6,760",+/-448,27.7%,+/-1.8
Black alone,"1,116",+/-194,(X),(X),674,+/-138,(X),(X),442,+/-90,(X),(X)
High school graduate or higher,906,+/-109,81.2%,+/-11.4,510,+/-91,75.7%,+/-15.0,396,+/-82,89.6%,+/-8.6
Bachelor's degree or higher,385,+/-134,34.5%,+/-12.4,255,+/-95,37.8%,+/-13.8,130,+/-81,29.4%,+/-18.8
American Indian or Alaska Native alone,115,+/-59,(X),(X),9,+/-15,(X),(X),106,+/-55,(X),(X)
High school graduate or higher,108,+/-58,93.9%,+/-11.2,9,+/-15,100.0%,+/-95.0,99,+/-54,93.4%,+/-12.1
Bachelor's degree or higher,9,+/-15,7.8%,+/-12.1,0,+/-27,0.0%,+/-95.0,9,+/-15,8.5%,+/-14.6
Asian alone,"3,465",+/-109,(X),(X),"1,980",+/-72,(X),(X),"1,485",+/-87,(X),(X)
High school graduate or higher,"3,397",+/-125,98.0%,+/-2.1,"1,948",+/-79,98.4%,+/-1.8,"1,449",+/-89,97.6%,+/-3.0
Bachelor's degree or higher,"2,966",+/-187,85.6%,+/-4.9,"1,762",+/-124,89.0%,+/-5.6,"1,204",+/-123,81.1%,+/-7.0
Native Hawaiian and Other Pacific Islander alone,31,+/-31,(X),(X),22,+/-26,(X),(X),9,+/-14,(X),(X)
High school graduate or higher,31,+/-31,100.0%,+/-51.2,22,+/-26,100.0%,+/-60.7,9,+/-14,100.0%,+/-95.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-51.2,0,+/-27,0.0%,+/-60.7,0,+/-27,0.0%,+/-95.0
Some other race alone,"1,652",+/-279,(X),(X),937,+/-234,(X),(X),715,+/-96,(X),(X)
High school graduate or higher,674,+/-227,40.8%,+/-15.4,461,+/-205,49.2%,+/-21.3,213,+/-95,29.8%,+/-13.7
Bachelor's degree or higher,128,+/-103,7.7%,+/-6.2,79,+/-67,8.4%,+/-7.4,49,+/-40,6.9%,+/-5.4
Two or more races,595,+/-139,(X),(X),310,+/-106,(X),(X),285,+/-108,(X),(X)
High school graduate or higher,536,+/-141,90.1%,+/-8.9,301,+/-106,97.1%,+/-4.3,235,+/-111,82.5%,+/-18.6
Bachelor's degree or higher,196,+/-101,32.9%,+/-13.9,110,+/-80,35.5%,+/-20.2,86,+/-76,30.2%,+/-21.8
Hispanic or Latino Origin,"2,626",*****,(X),(X),"1,631",+/-65,(X),(X),995,+/-64,(X),(X)
High school graduate or higher,"1,417",+/-303,54.0%,+/-11.6,966,+/-240,59.2%,+/-14.8,451,+/-138,45.3%,+/-12.7
Bachelor's degree or higher,321,+/-129,12.2%,+/-4.9,214,+/-95,13.1%,+/-5.9,107,+/-58,10.8%,+/-5.8
