Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,656",+/-122,(X),(X),"3,563",+/-114,(X),(X),"3,093",+/-47,(X),(X)
Less than high school graduate,"1,142",+/-259,17.2%,+/-3.9,705,+/-193,19.8%,+/-5.4,437,+/-148,14.1%,+/-4.7
High school graduate (includes equivalency),"2,693",+/-335,40.5%,+/-5.1,"1,594",+/-257,44.7%,+/-7.2,"1,099",+/-196,35.5%,+/-6.5
Some college or associate's degree,"1,783",+/-262,26.8%,+/-3.9,731,+/-154,20.5%,+/-4.4,"1,052",+/-205,34.0%,+/-6.5
Bachelor's degree or higher,"1,038",+/-219,15.6%,+/-3.2,533,+/-150,15.0%,+/-4.0,505,+/-137,16.3%,+/-4.4
Population 25 years and over,"54,155",+/-123,(X),(X),"26,620",+/-143,(X),(X),"27,535",+/-118,(X),(X)
Less than 9th grade,"1,731",+/-382,3.2%,+/-0.7,844,+/-256,3.2%,+/-1.0,887,+/-250,3.2%,+/-0.9
"9th to 12th grade, no diploma","3,535",+/-419,6.5%,+/-0.8,"1,841",+/-281,6.9%,+/-1.1,"1,694",+/-266,6.2%,+/-1.0
High school graduate (includes equivalency),"18,896",+/-910,34.9%,+/-1.7,"9,636",+/-620,36.2%,+/-2.3,"9,260",+/-511,33.6%,+/-1.9
"Some college, no degree","9,334",+/-590,17.2%,+/-1.1,"4,175",+/-348,15.7%,+/-1.3,"5,159",+/-408,18.7%,+/-1.5
Associate's degree,"4,588",+/-389,8.5%,+/-0.7,"1,657",+/-228,6.2%,+/-0.9,"2,931",+/-290,10.6%,+/-1.0
Bachelor's degree,"9,685",+/-565,17.9%,+/-1.0,"4,833",+/-372,18.2%,+/-1.4,"4,852",+/-350,17.6%,+/-1.3
Graduate or professional degree,"6,386",+/-395,11.8%,+/-0.7,"3,634",+/-271,13.7%,+/-1.0,"2,752",+/-282,10.0%,+/-1.0
Percent high school graduate or higher,(X),(X),90.3%,+/-1.0,(X),(X),89.9%,+/-1.3,(X),(X),90.6%,+/-1.2
Percent bachelor's degree or higher,(X),(X),29.7%,+/-1.1,(X),(X),31.8%,+/-1.4,(X),(X),27.6%,+/-1.5
Population 25 to 34 years,"11,060",+/-220,(X),(X),"5,907",+/-188,(X),(X),"5,153",+/-113,(X),(X)
High school graduate or higher,"10,139",+/-276,91.7%,+/-2.2,"5,373",+/-210,91.0%,+/-2.9,"4,766",+/-180,92.5%,+/-2.9
Bachelor's degree or higher,"4,508",+/-337,40.8%,+/-3.0,"2,497",+/-237,42.3%,+/-3.7,"2,011",+/-214,39.0%,+/-4.3
Population 35 to 44 years,"10,514",+/-274,(X),(X),"5,253",+/-180,(X),(X),"5,261",+/-180,(X),(X)
High school graduate or higher,"9,800",+/-329,93.2%,+/-1.6,"4,857",+/-211,92.5%,+/-2.3,"4,943",+/-191,94.0%,+/-2.6
Bachelor's degree or higher,"3,289",+/-412,31.3%,+/-3.8,"1,571",+/-229,29.9%,+/-4.2,"1,718",+/-264,32.7%,+/-5.1
Population 45 to 64 years,"20,589",+/-244,(X),(X),"10,190",+/-179,(X),(X),"10,399",+/-167,(X),(X)
High school graduate or higher,"18,841",+/-332,91.5%,+/-1.4,"9,161",+/-242,89.9%,+/-2.2,"9,680",+/-181,93.1%,+/-1.8
Bachelor's degree or higher,"6,025",+/-384,29.3%,+/-1.8,"3,133",+/-281,30.7%,+/-2.6,"2,892",+/-244,27.8%,+/-2.3
Population 65 years and over,"11,992",+/-113,(X),(X),"5,270",+/-71,(X),(X),"6,722",+/-69,(X),(X)
High school graduate or higher,"10,109",+/-248,84.3%,+/-2.1,"4,544",+/-150,86.2%,+/-2.9,"5,565",+/-179,82.8%,+/-2.6
Bachelor's degree or higher,"2,249",+/-271,18.8%,+/-2.2,"1,266",+/-182,24.0%,+/-3.5,983,+/-146,14.6%,+/-2.2
