RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,903",+/-71,(X),(X),"7,658",+/-16,(X),(X),"8,245",+/-66,(X),(X)
High school graduate or higher,"12,970",+/-295,81.6%,+/-1.8,"6,230",+/-206,81.4%,+/-2.7,"6,740",+/-201,81.7%,+/-2.5
Bachelor's degree or higher,"1,714",+/-258,10.8%,+/-1.6,743,+/-168,9.7%,+/-2.2,971,+/-165,11.8%,+/-2.0
"White alone, not Hispanic or Latino","15,832",+/-18,(X),(X),"7,651",+/-21,(X),(X),"8,181",+/-18,(X),(X)
High school graduate or higher,"12,911",+/-285,81.6%,+/-1.8,"6,223",+/-204,81.3%,+/-2.7,"6,688",+/-198,81.8%,+/-2.4
Bachelor's degree or higher,"1,714",+/-258,10.8%,+/-1.6,743,+/-168,9.7%,+/-2.2,971,+/-165,11.9%,+/-2.0
Black alone,348,+/-43,(X),(X),148,+/-47,(X),(X),200,+/-46,(X),(X)
High school graduate or higher,271,+/-51,77.9%,+/-11.9,125,+/-45,84.5%,+/-16.1,146,+/-48,73.0%,+/-15.8
Bachelor's degree or higher,19,+/-22,5.5%,+/-6.1,19,+/-22,12.8%,+/-15.1,0,+/-21,0.0%,+/-13.9
American Indian or Alaska Native alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Asian alone,31,+/-40,(X),(X),13,+/-18,(X),(X),18,+/-27,(X),(X)
High school graduate or higher,31,+/-40,100.0%,+/-51.2,13,+/-18,100.0%,+/-79.0,18,+/-27,100.0%,+/-67.2
Bachelor's degree or higher,22,+/-31,71.0%,+/-32.8,13,+/-18,100.0%,+/-79.0,9,+/-17,50.0%,+/-47.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,98,+/-35,(X),(X),64,+/-34,(X),(X),34,+/-34,(X),(X)
High school graduate or higher,48,+/-42,49.0%,+/-37.4,14,+/-23,21.9%,+/-38.3,34,+/-34,100.0%,+/-48.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-25.9,0,+/-21,0.0%,+/-35.3,0,+/-21,0.0%,+/-48.9
Two or more races,55,+/-46,(X),(X),22,+/-22,(X),(X),33,+/-32,(X),(X)
High school graduate or higher,33,+/-33,60.0%,+/-26.2,15,+/-20,68.2%,+/-43.2,18,+/-23,54.5%,+/-41.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-38.4,0,+/-21,0.0%,+/-60.7,0,+/-21,0.0%,+/-49.6
Hispanic or Latino Origin,169,+/-51,(X),(X),71,+/-31,(X),(X),98,+/-75,(X),(X)
High school graduate or higher,107,+/-81,63.3%,+/-28.4,21,+/-29,29.6%,+/-40.9,86,+/-68,87.8%,+/-18.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-16.2,0,+/-21,0.0%,+/-33.0,0,+/-21,0.0%,+/-25.9
