Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,864",+/-86,(X),(X),991,+/-64,(X),(X),873,+/-43,(X),(X)
Less than high school graduate,556,+/-113,29.8%,+/-5.9,281,+/-92,28.4%,+/-8.8,275,+/-75,31.5%,+/-8.7
High school graduate (includes equivalency),709,+/-119,38.0%,+/-6.7,448,+/-99,45.2%,+/-10.0,261,+/-77,29.9%,+/-9.2
Some college or associate's degree,524,+/-130,28.1%,+/-6.5,232,+/-74,23.4%,+/-7.4,292,+/-98,33.4%,+/-10.4
Bachelor's degree or higher,75,+/-50,4.0%,+/-2.6,30,+/-28,3.0%,+/-2.8,45,+/-36,5.2%,+/-4.1
Population 25 years and over,"16,358",+/-80,(X),(X),"7,872",+/-51,(X),(X),"8,486",+/-87,(X),(X)
Less than 9th grade,864,+/-155,5.3%,+/-0.9,392,+/-113,5.0%,+/-1.4,472,+/-111,5.6%,+/-1.3
"9th to 12th grade, no diploma","2,082",+/-256,12.7%,+/-1.6,"1,057",+/-182,13.4%,+/-2.3,"1,025",+/-164,12.1%,+/-1.9
High school graduate (includes equivalency),"7,119",+/-389,43.5%,+/-2.4,"3,575",+/-276,45.4%,+/-3.5,"3,544",+/-281,41.8%,+/-3.3
"Some college, no degree","3,150",+/-306,19.3%,+/-1.8,"1,553",+/-202,19.7%,+/-2.6,"1,597",+/-235,18.8%,+/-2.7
Associate's degree,"1,331",+/-191,8.1%,+/-1.2,506,+/-125,6.4%,+/-1.6,825,+/-150,9.7%,+/-1.8
Bachelor's degree,"1,228",+/-193,7.5%,+/-1.2,508,+/-130,6.5%,+/-1.6,720,+/-131,8.5%,+/-1.5
Graduate or professional degree,584,+/-152,3.6%,+/-0.9,281,+/-97,3.6%,+/-1.2,303,+/-106,3.6%,+/-1.2
Percent high school graduate or higher,(X),(X),82.0%,+/-1.5,(X),(X),81.6%,+/-2.3,(X),(X),82.4%,+/-1.9
Percent bachelor's degree or higher,(X),(X),11.1%,+/-1.4,(X),(X),10.0%,+/-2.0,(X),(X),12.1%,+/-1.8
Population 25 to 34 years,"2,429",+/-49,(X),(X),"1,221",+/-47,(X),(X),"1,208",+/-23,(X),(X)
High school graduate or higher,"2,153",+/-85,88.6%,+/-3.4,"1,045",+/-67,85.6%,+/-5.7,"1,108",+/-55,91.7%,+/-4.1
Bachelor's degree or higher,247,+/-83,10.2%,+/-3.4,119,+/-50,9.7%,+/-4.0,128,+/-59,10.6%,+/-4.9
Population 35 to 44 years,"2,926",+/-60,(X),(X),"1,469",+/-38,(X),(X),"1,457",+/-37,(X),(X)
High school graduate or higher,"2,564",+/-147,87.6%,+/-4.7,"1,279",+/-108,87.1%,+/-6.7,"1,285",+/-76,88.2%,+/-5.2
Bachelor's degree or higher,454,+/-126,15.5%,+/-4.3,161,+/-65,11.0%,+/-4.3,293,+/-98,20.1%,+/-6.7
Population 45 to 64 years,"6,589",+/-82,(X),(X),"3,214",+/-42,(X),(X),"3,375",+/-61,(X),(X)
High school graduate or higher,"5,605",+/-214,85.1%,+/-2.8,"2,636",+/-147,82.0%,+/-4.3,"2,969",+/-131,88.0%,+/-3.2
Bachelor's degree or higher,751,+/-170,11.4%,+/-2.6,291,+/-89,9.1%,+/-2.8,460,+/-123,13.6%,+/-3.7
Population 65 years and over,"4,414",+/-40,(X),(X),"1,968",+/-37,(X),(X),"2,446",+/-42,(X),(X)
High school graduate or higher,"3,090",+/-165,70.0%,+/-3.6,"1,463",+/-90,74.3%,+/-4.4,"1,627",+/-132,66.5%,+/-5.2
Bachelor's degree or higher,360,+/-110,8.2%,+/-2.5,218,+/-78,11.1%,+/-3.9,142,+/-59,5.8%,+/-2.4
