Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,837",+/-99,(X),(X),979,+/-99,(X),(X),858,+/-21,(X),(X)
Less than high school graduate,570,+/-131,31.0%,+/-6.6,311,+/-111,31.8%,+/-10.1,259,+/-86,30.2%,+/-10.1
High school graduate (includes equivalency),722,+/-137,39.3%,+/-7.3,472,+/-102,48.2%,+/-9.6,250,+/-95,29.1%,+/-11.1
Some college or associate's degree,479,+/-116,26.1%,+/-6.4,178,+/-69,18.2%,+/-7.4,301,+/-87,35.1%,+/-10.1
Bachelor's degree or higher,66,+/-51,3.6%,+/-2.8,18,+/-22,1.8%,+/-2.3,48,+/-42,5.6%,+/-4.9
Population 25 years and over,"16,551",+/-92,(X),(X),"7,973",+/-73,(X),(X),"8,578",+/-75,(X),(X)
Less than 9th grade,"1,051",+/-193,6.4%,+/-1.2,483,+/-128,6.1%,+/-1.6,568,+/-113,6.6%,+/-1.3
"9th to 12th grade, no diploma","2,191",+/-270,13.2%,+/-1.6,"1,208",+/-207,15.2%,+/-2.6,983,+/-174,11.5%,+/-2.0
High school graduate (includes equivalency),"7,086",+/-353,42.8%,+/-2.1,"3,573",+/-250,44.8%,+/-3.1,"3,513",+/-267,41.0%,+/-3.2
"Some college, no degree","3,322",+/-277,20.1%,+/-1.6,"1,418",+/-190,17.8%,+/-2.4,"1,904",+/-231,22.2%,+/-2.6
Associate's degree,"1,279",+/-195,7.7%,+/-1.2,489,+/-119,6.1%,+/-1.5,790,+/-150,9.2%,+/-1.7
Bachelor's degree,"1,106",+/-178,6.7%,+/-1.1,526,+/-112,6.6%,+/-1.4,580,+/-141,6.8%,+/-1.6
Graduate or professional degree,516,+/-137,3.1%,+/-0.8,276,+/-100,3.5%,+/-1.3,240,+/-97,2.8%,+/-1.1
Percent high school graduate or higher,(X),(X),80.4%,+/-1.9,(X),(X),78.8%,+/-2.7,(X),(X),81.9%,+/-2.4
Percent bachelor's degree or higher,(X),(X),9.8%,+/-1.4,(X),(X),10.1%,+/-1.9,(X),(X),9.6%,+/-1.9
Population 25 to 34 years,"2,526",+/-58,(X),(X),"1,275",+/-54,(X),(X),"1,251",+/-18,(X),(X)
High school graduate or higher,"2,159",+/-128,85.5%,+/-4.6,"1,053",+/-87,82.6%,+/-5.9,"1,106",+/-82,88.4%,+/-6.3
Bachelor's degree or higher,179,+/-66,7.1%,+/-2.6,103,+/-48,8.1%,+/-3.7,76,+/-41,6.1%,+/-3.2
Population 35 to 44 years,"3,012",+/-52,(X),(X),"1,541",+/-42,(X),(X),"1,471",+/-28,(X),(X)
High school graduate or higher,"2,606",+/-132,86.5%,+/-4.3,"1,271",+/-110,82.5%,+/-6.7,"1,335",+/-67,90.8%,+/-4.8
Bachelor's degree or higher,357,+/-91,11.9%,+/-3.0,161,+/-65,10.4%,+/-4.2,196,+/-76,13.3%,+/-5.2
Population 45 to 64 years,"6,742",+/-81,(X),(X),"3,250",+/-50,(X),(X),"3,492",+/-56,(X),(X)
High school graduate or higher,"5,638",+/-246,83.6%,+/-3.3,"2,633",+/-175,81.0%,+/-5.1,"3,005",+/-131,86.1%,+/-3.2
Bachelor's degree or higher,777,+/-158,11.5%,+/-2.3,326,+/-96,10.0%,+/-2.9,451,+/-126,12.9%,+/-3.6
Population 65 years and over,"4,271",+/-42,(X),(X),"1,907",+/-45,(X),(X),"2,364",+/-45,(X),(X)
High school graduate or higher,"2,906",+/-156,68.0%,+/-3.5,"1,325",+/-100,69.5%,+/-4.9,"1,581",+/-120,66.9%,+/-5.0
Bachelor's degree or higher,309,+/-101,7.2%,+/-2.4,212,+/-78,11.1%,+/-4.1,97,+/-45,4.1%,+/-1.9
