Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,713",+/-160,(X),(X),"2,976",+/-129,(X),(X),"2,737",+/-69,(X),(X)
Less than high school graduate,"1,092",+/-189,19.1%,+/-3.5,691,+/-154,23.2%,+/-5.5,401,+/-99,14.7%,+/-3.6
High school graduate (includes equivalency),"2,284",+/-342,40.0%,+/-5.5,"1,368",+/-276,46.0%,+/-8.1,916,+/-164,33.5%,+/-6.0
Some college or associate's degree,"2,120",+/-281,37.1%,+/-5.0,860,+/-195,28.9%,+/-6.9,"1,260",+/-184,46.0%,+/-6.4
Bachelor's degree or higher,217,+/-94,3.8%,+/-1.6,57,+/-52,1.9%,+/-1.7,160,+/-78,5.8%,+/-2.8
Population 25 years and over,"47,577",+/-130,(X),(X),"23,053",+/-119,(X),(X),"24,524",+/-139,(X),(X)
Less than 9th grade,"1,221",+/-220,2.6%,+/-0.5,699,+/-156,3.0%,+/-0.7,522,+/-137,2.1%,+/-0.6
"9th to 12th grade, no diploma","4,518",+/-497,9.5%,+/-1.0,"1,940",+/-255,8.4%,+/-1.1,"2,578",+/-399,10.5%,+/-1.6
High school graduate (includes equivalency),"19,735",+/-838,41.5%,+/-1.8,"9,675",+/-526,42.0%,+/-2.3,"10,060",+/-510,41.0%,+/-2.1
"Some college, no degree","9,520",+/-702,20.0%,+/-1.5,"4,816",+/-462,20.9%,+/-2.0,"4,704",+/-440,19.2%,+/-1.8
Associate's degree,"4,942",+/-499,10.4%,+/-1.0,"2,254",+/-350,9.8%,+/-1.5,"2,688",+/-382,11.0%,+/-1.5
Bachelor's degree,"5,093",+/-467,10.7%,+/-1.0,"2,505",+/-342,10.9%,+/-1.5,"2,588",+/-304,10.6%,+/-1.2
Graduate or professional degree,"2,548",+/-352,5.4%,+/-0.7,"1,164",+/-212,5.0%,+/-0.9,"1,384",+/-241,5.6%,+/-1.0
Percent high school graduate or higher,(X),(X),87.9%,+/-1.1,(X),(X),88.6%,+/-1.2,(X),(X),87.4%,+/-1.6
Percent bachelor's degree or higher,(X),(X),16.1%,+/-1.3,(X),(X),15.9%,+/-1.8,(X),(X),16.2%,+/-1.5
Population 25 to 34 years,"7,700",+/-135,(X),(X),"3,737",+/-88,(X),(X),"3,963",+/-118,(X),(X)
High school graduate or higher,"6,896",+/-237,89.6%,+/-2.8,"3,377",+/-123,90.4%,+/-3.2,"3,519",+/-197,88.8%,+/-3.8
Bachelor's degree or higher,"1,225",+/-243,15.9%,+/-3.1,508,+/-132,13.6%,+/-3.6,717,+/-183,18.1%,+/-4.5
Population 35 to 44 years,"8,357",+/-70,(X),(X),"4,113",+/-41,(X),(X),"4,244",+/-50,(X),(X)
High school graduate or higher,"7,603",+/-256,91.0%,+/-2.9,"3,713",+/-117,90.3%,+/-2.9,"3,890",+/-184,91.7%,+/-3.9
Bachelor's degree or higher,"1,532",+/-257,18.3%,+/-3.1,709,+/-167,17.2%,+/-4.1,823,+/-187,19.4%,+/-4.4
Population 45 to 64 years,"20,799",+/-102,(X),(X),"10,286",+/-74,(X),(X),"10,513",+/-81,(X),(X)
High school graduate or higher,"18,574",+/-280,89.3%,+/-1.3,"9,221",+/-189,89.6%,+/-1.8,"9,353",+/-203,89.0%,+/-1.9
Bachelor's degree or higher,"3,365",+/-349,16.2%,+/-1.7,"1,593",+/-227,15.5%,+/-2.2,"1,772",+/-239,16.9%,+/-2.3
Population 65 years and over,"10,721",+/-54,(X),(X),"4,917",+/-37,(X),(X),"5,804",+/-36,(X),(X)
High school graduate or higher,"8,765",+/-245,81.8%,+/-2.4,"4,103",+/-144,83.4%,+/-3.0,"4,662",+/-186,80.3%,+/-3.2
Bachelor's degree or higher,"1,519",+/-254,14.2%,+/-2.4,859,+/-180,17.5%,+/-3.7,660,+/-149,11.4%,+/-2.6
