Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,684",+/-134,(X),(X),"2,940",+/-107,(X),(X),"2,744",+/-73,(X),(X)
Less than high school graduate,852,+/-171,15.0%,+/-3.0,525,+/-141,17.9%,+/-4.8,327,+/-105,11.9%,+/-3.8
High school graduate (includes equivalency),"2,404",+/-326,42.3%,+/-5.5,"1,476",+/-244,50.2%,+/-7.5,928,+/-171,33.8%,+/-6.3
Some college or associate's degree,"2,201",+/-269,38.7%,+/-4.8,868,+/-202,29.5%,+/-7.2,"1,333",+/-168,48.6%,+/-5.8
Bachelor's degree or higher,227,+/-94,4.0%,+/-1.7,71,+/-52,2.4%,+/-1.7,156,+/-76,5.7%,+/-2.8
Population 25 years and over,"47,385",+/-122,(X),(X),"23,019",+/-107,(X),(X),"24,366",+/-111,(X),(X)
Less than 9th grade,"1,187",+/-233,2.5%,+/-0.5,686,+/-185,3.0%,+/-0.8,501,+/-125,2.1%,+/-0.5
"9th to 12th grade, no diploma","4,303",+/-455,9.1%,+/-1.0,"1,882",+/-249,8.2%,+/-1.1,"2,421",+/-388,9.9%,+/-1.6
High school graduate (includes equivalency),"19,953",+/-661,42.1%,+/-1.4,"9,700",+/-490,42.1%,+/-2.1,"10,253",+/-478,42.1%,+/-1.9
"Some college, no degree","9,794",+/-524,20.7%,+/-1.1,"5,004",+/-391,21.7%,+/-1.7,"4,790",+/-334,19.7%,+/-1.4
Associate's degree,"4,789",+/-431,10.1%,+/-0.9,"2,119",+/-310,9.2%,+/-1.3,"2,670",+/-282,11.0%,+/-1.1
Bachelor's degree,"4,957",+/-471,10.5%,+/-1.0,"2,481",+/-314,10.8%,+/-1.4,"2,476",+/-337,10.2%,+/-1.4
Graduate or professional degree,"2,402",+/-375,5.1%,+/-0.8,"1,147",+/-260,5.0%,+/-1.1,"1,255",+/-209,5.2%,+/-0.9
Percent high school graduate or higher,(X),(X),88.4%,+/-1.1,(X),(X),88.8%,+/-1.4,(X),(X),88.0%,+/-1.6
Percent bachelor's degree or higher,(X),(X),15.5%,+/-1.2,(X),(X),15.8%,+/-1.4,(X),(X),15.3%,+/-1.6
Population 25 to 34 years,"7,623",+/-120,(X),(X),"3,655",+/-56,(X),(X),"3,968",+/-120,(X),(X)
High school graduate or higher,"6,812",+/-209,89.4%,+/-2.3,"3,359",+/-102,91.9%,+/-2.4,"3,453",+/-192,87.0%,+/-3.9
Bachelor's degree or higher,"1,251",+/-277,16.4%,+/-3.6,517,+/-149,14.1%,+/-4.1,734,+/-185,18.5%,+/-4.6
Population 35 to 44 years,"8,518",+/-77,(X),(X),"4,230",+/-60,(X),(X),"4,288",+/-38,(X),(X)
High school graduate or higher,"7,748",+/-214,91.0%,+/-2.4,"3,838",+/-130,90.7%,+/-2.9,"3,910",+/-170,91.2%,+/-3.7
Bachelor's degree or higher,"1,452",+/-253,17.0%,+/-3.0,709,+/-171,16.8%,+/-4.0,743,+/-167,17.3%,+/-3.9
Population 45 to 64 years,"20,818",+/-100,(X),(X),"10,324",+/-72,(X),(X),"10,494",+/-83,(X),(X)
High school graduate or higher,"18,706",+/-308,89.9%,+/-1.4,"9,235",+/-228,89.5%,+/-2.2,"9,471",+/-208,90.3%,+/-1.9
Bachelor's degree or higher,"3,252",+/-323,15.6%,+/-1.6,"1,565",+/-204,15.2%,+/-2.0,"1,687",+/-222,16.1%,+/-2.1
Population 65 years and over,"10,426",+/-56,(X),(X),"4,810",+/-35,(X),(X),"5,616",+/-35,(X),(X)
High school graduate or higher,"8,629",+/-231,82.8%,+/-2.3,"4,019",+/-129,83.6%,+/-2.7,"4,610",+/-196,82.1%,+/-3.5
Bachelor's degree or higher,"1,404",+/-255,13.5%,+/-2.4,837,+/-169,17.4%,+/-3.5,567,+/-127,10.1%,+/-2.3
