RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"46,254",+/-74,(X),(X),"22,548",+/-49,(X),(X),"23,706",+/-54,(X),(X)
High school graduate or higher,"40,861",+/-463,88.3%,+/-1.0,"19,803",+/-300,87.8%,+/-1.3,"21,058",+/-341,88.8%,+/-1.4
Bachelor's degree or higher,"7,169",+/-588,15.5%,+/-1.3,"3,566",+/-372,15.8%,+/-1.7,"3,603",+/-344,15.2%,+/-1.5
"White alone, not Hispanic or Latino","45,964",+/-27,(X),(X),"22,404",+/-27,(X),(X),"23,560",+/-27,(X),(X)
High school graduate or higher,"40,700",+/-472,88.5%,+/-1.0,"19,736",+/-293,88.1%,+/-1.3,"20,964",+/-349,89.0%,+/-1.5
Bachelor's degree or higher,"7,140",+/-593,15.5%,+/-1.3,"3,563",+/-373,15.9%,+/-1.7,"3,577",+/-350,15.2%,+/-1.5
Black alone,171,+/-58,(X),(X),113,+/-65,(X),(X),58,+/-49,(X),(X)
High school graduate or higher,142,+/-57,83.0%,+/-11.7,84,+/-60,74.3%,+/-17.4,58,+/-49,100.0%,+/-37.4
Bachelor's degree or higher,46,+/-48,26.9%,+/-27.8,0,+/-27,0.0%,+/-23.0,46,+/-48,79.3%,+/-34.5
American Indian or Alaska Native alone,30,+/-25,(X),(X),11,+/-15,(X),(X),19,+/-19,(X),(X)
High school graduate or higher,24,+/-22,80.0%,+/-30.6,5,+/-11,45.5%,+/-54.5,19,+/-19,100.0%,+/-65.4
Bachelor's degree or higher,5,+/-11,16.7%,+/-38.2,5,+/-11,45.5%,+/-54.5,0,+/-27,0.0%,+/-65.4
Asian alone,196,+/-38,(X),(X),26,+/-12,(X),(X),170,+/-41,(X),(X)
High school graduate or higher,185,+/-40,94.4%,+/-7.4,26,+/-12,100.0%,+/-55.9,159,+/-45,93.5%,+/-8.8
Bachelor's degree or higher,111,+/-48,56.6%,+/-18.5,0,+/-27,0.0%,+/-55.9,111,+/-48,65.3%,+/-18.5
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,142,+/-76,(X),(X),68,+/-53,(X),(X),74,+/-45,(X),(X)
High school graduate or higher,104,+/-68,73.2%,+/-22.6,52,+/-47,76.5%,+/-23.7,52,+/-44,70.3%,+/-39.0
Bachelor's degree or higher,23,+/-20,16.2%,+/-12.2,5,+/-9,7.4%,+/-12.3,18,+/-20,24.3%,+/-28.7
Two or more races,333,+/-57,(X),(X),98,+/-63,(X),(X),235,+/-72,(X),(X)
High school graduate or higher,278,+/-67,83.5%,+/-10.2,88,+/-61,89.8%,+/-16.5,190,+/-91,80.9%,+/-18.4
Bachelor's degree or higher,47,+/-43,14.1%,+/-11.4,27,+/-34,27.6%,+/-27.3,20,+/-25,8.5%,+/-11.4
Hispanic or Latino Origin,433,+/-79,(X),(X),213,+/-70,(X),(X),220,+/-50,(X),(X)
High school graduate or higher,266,+/-93,61.4%,+/-15.9,120,+/-56,56.3%,+/-18.3,146,+/-61,66.4%,+/-18.2
Bachelor's degree or higher,52,+/-30,12.0%,+/-6.5,8,+/-11,3.8%,+/-4.7,44,+/-29,20.0%,+/-11.7
