RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"46,684",+/-85,(X),(X),"22,740",+/-62,(X),(X),"23,944",+/-60,(X),(X)
High school graduate or higher,"41,105",+/-543,88.0%,+/-1.1,"20,143",+/-285,88.6%,+/-1.3,"20,962",+/-403,87.5%,+/-1.7
Bachelor's degree or higher,"7,450",+/-638,16.0%,+/-1.4,"3,620",+/-411,15.9%,+/-1.8,"3,830",+/-374,16.0%,+/-1.6
"White alone, not Hispanic or Latino","46,322",+/-27,(X),(X),"22,533",+/-27,(X),(X),"23,789",+/-27,(X),(X)
High school graduate or higher,"40,832",+/-537,88.1%,+/-1.2,"20,009",+/-270,88.8%,+/-1.2,"20,823",+/-403,87.5%,+/-1.7
Bachelor's degree or higher,"7,404",+/-635,16.0%,+/-1.4,"3,620",+/-411,16.1%,+/-1.8,"3,784",+/-369,15.9%,+/-1.5
Black alone,164,+/-85,(X),(X),105,+/-69,(X),(X),59,+/-62,(X),(X)
High school graduate or higher,158,+/-85,96.3%,+/-6.6,99,+/-68,94.3%,+/-10.6,59,+/-62,100.0%,+/-37.0
Bachelor's degree or higher,48,+/-62,29.3%,+/-30.8,0,+/-27,0.0%,+/-24.5,48,+/-62,81.4%,+/-34.0
American Indian or Alaska Native alone,34,+/-32,(X),(X),14,+/-20,(X),(X),20,+/-25,(X),(X)
High school graduate or higher,28,+/-29,82.4%,+/-28.1,8,+/-17,57.1%,+/-57.1,20,+/-25,100.0%,+/-63.7
Bachelor's degree or higher,8,+/-17,23.5%,+/-45.1,8,+/-17,57.1%,+/-57.1,0,+/-27,0.0%,+/-63.7
Asian alone,210,+/-49,(X),(X),58,+/-40,(X),(X),152,+/-60,(X),(X)
High school graduate or higher,157,+/-27,74.8%,+/-15.2,58,+/-40,100.0%,+/-37.4,99,+/-36,65.1%,+/-17.9
Bachelor's degree or higher,90,+/-42,42.9%,+/-16.7,8,+/-12,13.8%,+/-20.9,82,+/-40,53.9%,+/-15.9
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,113,+/-70,(X),(X),41,+/-47,(X),(X),72,+/-53,(X),(X)
High school graduate or higher,54,+/-54,47.8%,+/-42.1,11,+/-13,26.8%,+/-46.3,43,+/-52,59.7%,+/-55.9
Bachelor's degree or higher,4,+/-8,3.5%,+/-7.2,4,+/-8,9.8%,+/-25.6,0,+/-27,0.0%,+/-32.7
Two or more races,372,+/-72,(X),(X),95,+/-72,(X),(X),277,+/-93,(X),(X)
High school graduate or higher,336,+/-86,90.3%,+/-9.8,95,+/-72,100.0%,+/-26.5,241,+/-116,87.0%,+/-16.3
Bachelor's degree or higher,41,+/-42,11.0%,+/-10.4,29,+/-37,30.5%,+/-29.1,12,+/-21,4.3%,+/-8.3
Hispanic or Latino Origin,492,+/-80,(X),(X),256,+/-60,(X),(X),236,+/-66,(X),(X)
High school graduate or higher,335,+/-111,68.1%,+/-21.8,153,+/-75,59.8%,+/-31.8,182,+/-78,77.1%,+/-19.4
Bachelor's degree or higher,58,+/-39,11.8%,+/-7.7,12,+/-14,4.7%,+/-5.7,46,+/-35,19.5%,+/-14.4
