RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"94,016",+/-342,(X),(X),"45,899",+/-209,(X),(X),"48,117",+/-241,(X),(X)
High school graduate or higher,"88,435",+/-672,94.1%,+/-0.7,"43,108",+/-443,93.9%,+/-0.9,"45,327",+/-450,94.2%,+/-0.9
Bachelor's degree or higher,"33,359","+/-1,283",35.5%,+/-1.4,"15,664",+/-883,34.1%,+/-1.9,"17,695",+/-809,36.8%,+/-1.7
"White alone, not Hispanic or Latino","92,160",+/-40,(X),(X),"44,844",+/-28,(X),(X),"47,316",+/-24,(X),(X)
High school graduate or higher,"87,063",+/-640,94.5%,+/-0.7,"42,303",+/-427,94.3%,+/-1.0,"44,760",+/-400,94.6%,+/-0.8
Bachelor's degree or higher,"33,036","+/-1,278",35.8%,+/-1.4,"15,536",+/-876,34.6%,+/-1.9,"17,500",+/-813,37.0%,+/-1.7
Black alone,"5,938",+/-409,(X),(X),"3,096",+/-269,(X),(X),"2,842",+/-260,(X),(X)
High school graduate or higher,"5,568",+/-429,93.8%,+/-3.4,"2,947",+/-274,95.2%,+/-2.5,"2,621",+/-244,92.2%,+/-5.4
Bachelor's degree or higher,"2,123",+/-568,35.8%,+/-10.1,922,+/-357,29.8%,+/-11.7,"1,201",+/-296,42.3%,+/-12.0
American Indian or Alaska Native alone,214,+/-86,(X),(X),123,+/-48,(X),(X),91,+/-63,(X),(X)
High school graduate or higher,154,+/-74,72.0%,+/-27.9,93,+/-50,75.6%,+/-27.2,61,+/-53,67.0%,+/-34.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-13.1,0,+/-27,0.0%,+/-21.4,0,+/-27,0.0%,+/-27.5
Asian alone,"2,710",+/-185,(X),(X),"1,211",+/-103,(X),(X),"1,499",+/-132,(X),(X)
High school graduate or higher,"2,215",+/-245,81.7%,+/-8.5,964,+/-194,79.6%,+/-13.8,"1,251",+/-125,83.5%,+/-6.6
Bachelor's degree or higher,"1,072",+/-299,39.6%,+/-10.8,601,+/-217,49.6%,+/-16.3,471,+/-164,31.4%,+/-11.1
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,828,+/-400,(X),(X),428,+/-230,(X),(X),400,+/-188,(X),(X)
High school graduate or higher,730,+/-399,88.2%,+/-11.5,428,+/-230,100.0%,+/-6.8,302,+/-190,75.5%,+/-22.7
Bachelor's degree or higher,55,+/-51,6.6%,+/-7.5,43,+/-50,10.0%,+/-13.2,12,+/-15,3.0%,+/-4.6
Two or more races,686,+/-240,(X),(X),407,+/-149,(X),(X),279,+/-137,(X),(X)
High school graduate or higher,643,+/-233,93.7%,+/-6.2,379,+/-146,93.1%,+/-8.4,264,+/-132,94.6%,+/-8.5
Bachelor's degree or higher,224,+/-146,32.7%,+/-16.0,89,+/-77,21.9%,+/-16.9,135,+/-86,48.4%,+/-20.8
Hispanic or Latino Origin,"2,901",+/-142,(X),(X),"1,421",+/-161,(X),(X),"1,480",+/-132,(X),(X)
High school graduate or higher,"2,296",+/-226,79.1%,+/-6.4,"1,162",+/-199,81.8%,+/-9.3,"1,134",+/-170,76.6%,+/-7.8
Bachelor's degree or higher,403,+/-158,13.9%,+/-5.3,205,+/-118,14.4%,+/-8.3,198,+/-113,13.4%,+/-7.5
