Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"12,301",+/-232,(X),(X),"6,602",+/-178,(X),(X),"5,699",+/-132,(X),(X)
Less than high school graduate,"2,398",+/-399,19.5%,+/-3.3,"1,554",+/-315,23.5%,+/-4.8,844,+/-197,14.8%,+/-3.5
High school graduate (includes equivalency),"4,279",+/-504,34.8%,+/-4.0,"2,555",+/-409,38.7%,+/-6.2,"1,724",+/-352,30.3%,+/-5.9
Some college or associate's degree,"4,518",+/-566,36.7%,+/-4.5,"2,150",+/-428,32.6%,+/-6.2,"2,368",+/-321,41.6%,+/-5.6
Bachelor's degree or higher,"1,106",+/-246,9.0%,+/-2.0,343,+/-126,5.2%,+/-1.9,763,+/-209,13.4%,+/-3.7
Population 25 years and over,"100,853",+/-233,(X),(X),"49,348",+/-205,(X),(X),"51,505",+/-162,(X),(X)
Less than 9th grade,"1,832",+/-354,1.8%,+/-0.4,928,+/-278,1.9%,+/-0.6,904,+/-234,1.8%,+/-0.5
"9th to 12th grade, no diploma","4,452",+/-550,4.4%,+/-0.5,"2,324",+/-322,4.7%,+/-0.7,"2,128",+/-347,4.1%,+/-0.7
High school graduate (includes equivalency),"29,191","+/-1,137",28.9%,+/-1.1,"14,178",+/-854,28.7%,+/-1.7,"15,013",+/-673,29.1%,+/-1.3
"Some college, no degree","22,756","+/-1,199",22.6%,+/-1.2,"11,323",+/-809,22.9%,+/-1.6,"11,433",+/-761,22.2%,+/-1.5
Associate's degree,"8,943",+/-792,8.9%,+/-0.8,"4,134",+/-540,8.4%,+/-1.1,"4,809",+/-556,9.3%,+/-1.1
Bachelor's degree,"23,731","+/-1,093",23.5%,+/-1.1,"11,789",+/-728,23.9%,+/-1.5,"11,942",+/-712,23.2%,+/-1.4
Graduate or professional degree,"9,948",+/-823,9.9%,+/-0.8,"4,672",+/-628,9.5%,+/-1.3,"5,276",+/-519,10.2%,+/-1.0
Percent high school graduate or higher,(X),(X),93.8%,+/-0.7,(X),(X),93.4%,+/-0.9,(X),(X),94.1%,+/-0.9
Percent bachelor's degree or higher,(X),(X),33.4%,+/-1.3,(X),(X),33.4%,+/-1.7,(X),(X),33.4%,+/-1.5
Population 25 to 34 years,"19,322",+/-393,(X),(X),"9,908",+/-346,(X),(X),"9,414",+/-192,(X),(X)
High school graduate or higher,"18,250",+/-472,94.5%,+/-1.4,"9,269",+/-407,93.6%,+/-2.2,"8,981",+/-243,95.4%,+/-1.8
Bachelor's degree or higher,"7,576",+/-624,39.2%,+/-3.3,"3,557",+/-462,35.9%,+/-4.7,"4,019",+/-392,42.7%,+/-4.2
Population 35 to 44 years,"22,630",+/-446,(X),(X),"11,147",+/-351,(X),(X),"11,483",+/-282,(X),(X)
High school graduate or higher,"21,664",+/-427,95.7%,+/-1.2,"10,515",+/-336,94.3%,+/-1.7,"11,149",+/-299,97.1%,+/-1.6
Bachelor's degree or higher,"9,953",+/-832,44.0%,+/-3.4,"4,569",+/-478,41.0%,+/-4.0,"5,384",+/-527,46.9%,+/-4.5
Population 45 to 64 years,"40,595",+/-355,(X),(X),"20,202",+/-194,(X),(X),"20,393",+/-307,(X),(X)
High school graduate or higher,"38,490",+/-462,94.8%,+/-1.0,"19,048",+/-326,94.3%,+/-1.4,"19,442",+/-389,95.3%,+/-1.3
Bachelor's degree or higher,"12,698",+/-735,31.3%,+/-1.8,"6,345",+/-469,31.4%,+/-2.3,"6,353",+/-494,31.2%,+/-2.3
Population 65 years and over,"18,306",+/-215,(X),(X),"8,091",+/-155,(X),(X),"10,215",+/-150,(X),(X)
High school graduate or higher,"16,165",+/-390,88.3%,+/-1.8,"7,264",+/-225,89.8%,+/-2.4,"8,901",+/-288,87.1%,+/-2.6
Bachelor's degree or higher,"3,452",+/-474,18.9%,+/-2.5,"1,990",+/-321,24.6%,+/-4.0,"1,462",+/-270,14.3%,+/-2.6
