RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"93,104",+/-353,(X),(X),"45,433",+/-174,(X),(X),"47,671",+/-266,(X),(X)
High school graduate or higher,"87,435",+/-623,93.9%,+/-0.6,"42,557",+/-473,93.7%,+/-1.0,"44,878",+/-404,94.1%,+/-0.7
Bachelor's degree or higher,"32,150","+/-1,365",34.5%,+/-1.4,"15,305",+/-856,33.7%,+/-1.9,"16,845",+/-776,35.3%,+/-1.6
"White alone, not Hispanic or Latino","91,194",+/-36,(X),(X),"44,403",+/-13,(X),(X),"46,791",+/-35,(X),(X)
High school graduate or higher,"85,991",+/-582,94.3%,+/-0.6,"41,816",+/-440,94.2%,+/-1.0,"44,175",+/-365,94.4%,+/-0.8
Bachelor's degree or higher,"31,707","+/-1,335",34.8%,+/-1.5,"15,185",+/-863,34.2%,+/-1.9,"16,522",+/-746,35.3%,+/-1.6
Black alone,"5,624",+/-403,(X),(X),"2,897",+/-220,(X),(X),"2,727",+/-267,(X),(X)
High school graduate or higher,"5,277",+/-412,93.8%,+/-3.2,"2,761",+/-238,95.3%,+/-3.0,"2,516",+/-241,92.3%,+/-5.4
Bachelor's degree or higher,"2,172",+/-576,38.6%,+/-10.7,952,+/-399,32.9%,+/-14.2,"1,220",+/-264,44.7%,+/-10.7
American Indian or Alaska Native alone,213,+/-70,(X),(X),133,+/-49,(X),(X),80,+/-52,(X),(X)
High school graduate or higher,171,+/-73,80.3%,+/-24.6,112,+/-56,84.2%,+/-22.3,59,+/-47,73.8%,+/-31.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-13.1,0,+/-27,0.0%,+/-20.0,0,+/-27,0.0%,+/-30.3
Asian alone,"2,562",+/-181,(X),(X),"1,099",+/-91,(X),(X),"1,463",+/-125,(X),(X)
High school graduate or higher,"2,060",+/-238,80.4%,+/-8.9,811,+/-154,73.8%,+/-12.4,"1,249",+/-134,85.4%,+/-7.9
Bachelor's degree or higher,"1,062",+/-284,41.5%,+/-11.6,507,+/-169,46.1%,+/-14.6,555,+/-161,37.9%,+/-11.9
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,576,+/-370,(X),(X),241,+/-176,(X),(X),335,+/-215,(X),(X)
High school graduate or higher,508,+/-386,88.2%,+/-17.2,241,+/-176,100.0%,+/-11.7,267,+/-227,79.7%,+/-27.3
Bachelor's degree or higher,55,+/-53,9.5%,+/-12.0,41,+/-52,17.0%,+/-23.9,14,+/-18,4.2%,+/-6.7
Two or more races,561,+/-197,(X),(X),321,+/-118,(X),(X),240,+/-115,(X),(X)
High school graduate or higher,515,+/-192,91.8%,+/-5.7,293,+/-111,91.3%,+/-6.3,222,+/-115,92.5%,+/-9.9
Bachelor's degree or higher,168,+/-133,29.9%,+/-15.9,57,+/-63,17.8%,+/-16.5,111,+/-83,46.3%,+/-20.6
Hispanic or Latino Origin,"2,702",+/-139,(X),(X),"1,230",+/-133,(X),(X),"1,472",+/-100,(X),(X)
High school graduate or higher,"2,137",+/-208,79.1%,+/-6.3,928,+/-174,75.4%,+/-10.1,"1,209",+/-169,82.1%,+/-8.3
Bachelor's degree or higher,488,+/-172,18.1%,+/-6.1,161,+/-93,13.1%,+/-7.3,327,+/-164,22.2%,+/-10.7
