Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,893,+/-29,(X),(X),472,+/-27,(X),(X),421,+/-12,(X),(X)
Less than high school graduate,174,+/-61,19.5%,+/-6.7,163,+/-60,34.5%,+/-12.0,11,+/-17,2.6%,+/-3.9
High school graduate (includes equivalency),339,+/-77,38.0%,+/-8.7,130,+/-42,27.5%,+/-8.9,209,+/-65,49.6%,+/-15.5
Some college or associate's degree,282,+/-85,31.6%,+/-9.5,146,+/-49,30.9%,+/-10.6,136,+/-58,32.3%,+/-13.8
Bachelor's degree or higher,98,+/-55,11.0%,+/-6.1,33,+/-29,7.0%,+/-6.1,65,+/-48,15.4%,+/-11.3
Population 25 years and over,"8,810",+/-98,(X),(X),"4,403",+/-46,(X),(X),"4,407",+/-75,(X),(X)
Less than 9th grade,285,+/-78,3.2%,+/-0.9,147,+/-58,3.3%,+/-1.3,138,+/-49,3.1%,+/-1.1
"9th to 12th grade, no diploma",922,+/-172,10.5%,+/-1.9,589,+/-130,13.4%,+/-2.9,333,+/-98,7.6%,+/-2.2
High school graduate (includes equivalency),"4,044",+/-273,45.9%,+/-3.1,"1,998",+/-181,45.4%,+/-4.0,"2,046",+/-187,46.4%,+/-4.3
"Some college, no degree","1,641",+/-168,18.6%,+/-1.9,876,+/-124,19.9%,+/-2.8,765,+/-126,17.4%,+/-2.8
Associate's degree,807,+/-139,9.2%,+/-1.6,333,+/-100,7.6%,+/-2.3,474,+/-100,10.8%,+/-2.3
Bachelor's degree,737,+/-158,8.4%,+/-1.8,303,+/-111,6.9%,+/-2.5,434,+/-125,9.8%,+/-2.8
Graduate or professional degree,374,+/-115,4.2%,+/-1.3,157,+/-55,3.6%,+/-1.2,217,+/-80,4.9%,+/-1.8
Percent high school graduate or higher,(X),(X),86.3%,+/-2.0,(X),(X),83.3%,+/-3.2,(X),(X),89.3%,+/-2.3
Percent bachelor's degree or higher,(X),(X),12.6%,+/-2.2,(X),(X),10.4%,+/-2.8,(X),(X),14.8%,+/-3.2
Population 25 to 34 years,"1,295",+/-22,(X),(X),688,+/-22,(X),(X),607,+/-18,(X),(X)
High school graduate or higher,"1,070",+/-86,82.6%,+/-6.3,506,+/-73,73.5%,+/-10.2,564,+/-37,92.9%,+/-6.1
Bachelor's degree or higher,222,+/-89,17.1%,+/-6.9,57,+/-51,8.3%,+/-7.3,165,+/-73,27.2%,+/-12.1
Population 35 to 44 years,"1,501",+/-60,(X),(X),750,+/-15,(X),(X),751,+/-53,(X),(X)
High school graduate or higher,"1,360",+/-91,90.6%,+/-4.2,659,+/-53,87.9%,+/-6.6,701,+/-63,93.3%,+/-4.2
Bachelor's degree or higher,257,+/-83,17.1%,+/-5.5,114,+/-57,15.2%,+/-7.6,143,+/-56,19.0%,+/-7.3
Population 45 to 64 years,"3,663",+/-38,(X),(X),"1,873",+/-18,(X),(X),"1,790",+/-38,(X),(X)
High school graduate or higher,"3,256",+/-111,88.9%,+/-2.9,"1,640",+/-95,87.6%,+/-5.0,"1,616",+/-84,90.3%,+/-4.1
Bachelor's degree or higher,411,+/-118,11.2%,+/-3.2,142,+/-63,7.6%,+/-3.4,269,+/-87,15.0%,+/-4.7
Population 65 years and over,"2,351",+/-43,(X),(X),"1,092",+/-37,(X),(X),"1,259",+/-25,(X),(X)
High school graduate or higher,"1,917",+/-82,81.5%,+/-3.6,862,+/-56,78.9%,+/-5.5,"1,055",+/-63,83.8%,+/-4.4
Bachelor's degree or higher,221,+/-71,9.4%,+/-3.0,147,+/-54,13.5%,+/-4.9,74,+/-40,5.9%,+/-3.2
