Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,882,+/-28,(X),(X),466,+/-27,(X),(X),416,+/-12,(X),(X)
Less than high school graduate,150,+/-63,17.0%,+/-6.9,141,+/-60,30.3%,+/-11.9,9,+/-15,2.2%,+/-3.6
High school graduate (includes equivalency),380,+/-83,43.1%,+/-9.7,184,+/-57,39.5%,+/-12.9,196,+/-62,47.1%,+/-15.0
Some college or associate's degree,264,+/-77,29.9%,+/-8.7,116,+/-50,24.9%,+/-10.8,148,+/-60,35.6%,+/-14.4
Bachelor's degree or higher,88,+/-51,10.0%,+/-5.8,25,+/-26,5.4%,+/-5.5,63,+/-45,15.1%,+/-10.7
Population 25 years and over,"8,795",+/-112,(X),(X),"4,410",+/-65,(X),(X),"4,385",+/-71,(X),(X)
Less than 9th grade,279,+/-97,3.2%,+/-1.1,121,+/-59,2.7%,+/-1.3,158,+/-73,3.6%,+/-1.7
"9th to 12th grade, no diploma",950,+/-153,10.8%,+/-1.7,588,+/-124,13.3%,+/-2.8,362,+/-77,8.3%,+/-1.8
High school graduate (includes equivalency),"3,749",+/-299,42.6%,+/-3.3,"1,921",+/-206,43.6%,+/-4.6,"1,828",+/-166,41.7%,+/-3.8
"Some college, no degree","1,719",+/-183,19.5%,+/-2.1,890,+/-125,20.2%,+/-2.9,829,+/-135,18.9%,+/-3.0
Associate's degree,946,+/-164,10.8%,+/-1.9,415,+/-113,9.4%,+/-2.6,531,+/-114,12.1%,+/-2.6
Bachelor's degree,739,+/-121,8.4%,+/-1.4,294,+/-89,6.7%,+/-2.0,445,+/-115,10.1%,+/-2.6
Graduate or professional degree,413,+/-122,4.7%,+/-1.4,181,+/-67,4.1%,+/-1.5,232,+/-83,5.3%,+/-1.9
Percent high school graduate or higher,(X),(X),86.0%,+/-2.0,(X),(X),83.9%,+/-3.2,(X),(X),88.1%,+/-2.5
Percent bachelor's degree or higher,(X),(X),13.1%,+/-2.1,(X),(X),10.8%,+/-2.6,(X),(X),15.4%,+/-3.1
Population 25 to 34 years,"1,293",+/-23,(X),(X),684,+/-23,(X),(X),609,+/-18,(X),(X)
High school graduate or higher,"1,088",+/-83,84.1%,+/-5.9,520,+/-70,76.0%,+/-9.6,568,+/-35,93.3%,+/-5.7
Bachelor's degree or higher,206,+/-68,15.9%,+/-5.3,56,+/-36,8.2%,+/-5.2,150,+/-63,24.6%,+/-10.4
Population 35 to 44 years,"1,445",+/-39,(X),(X),733,+/-15,(X),(X),712,+/-36,(X),(X)
High school graduate or higher,"1,298",+/-86,89.8%,+/-4.7,647,+/-55,88.3%,+/-7.2,651,+/-52,91.4%,+/-4.6
Bachelor's degree or higher,257,+/-97,17.8%,+/-6.7,95,+/-52,13.0%,+/-7.0,162,+/-60,22.8%,+/-8.5
Population 45 to 64 years,"3,659",+/-64,(X),(X),"1,873",+/-34,(X),(X),"1,786",+/-46,(X),(X)
High school graduate or higher,"3,227",+/-106,88.2%,+/-2.7,"1,651",+/-73,88.1%,+/-4.3,"1,576",+/-86,88.2%,+/-3.8
Bachelor's degree or higher,444,+/-125,12.1%,+/-3.4,162,+/-62,8.6%,+/-3.3,282,+/-92,15.8%,+/-5.0
Population 65 years and over,"2,398",+/-53,(X),(X),"1,120",+/-48,(X),(X),"1,278",+/-25,(X),(X)
High school graduate or higher,"1,953",+/-103,81.4%,+/-4.3,883,+/-64,78.8%,+/-6.7,"1,070",+/-71,83.7%,+/-5.0
Bachelor's degree or higher,245,+/-81,10.2%,+/-3.4,162,+/-64,14.5%,+/-5.7,83,+/-41,6.5%,+/-3.2
