RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,694",+/-18,(X),(X),"4,364",+/-16,(X),(X),"4,330",+/-7,(X),(X)
High school graduate or higher,"7,511",+/-170,86.4%,+/-1.9,"3,647",+/-139,83.6%,+/-3.2,"3,864",+/-99,89.2%,+/-2.3
Bachelor's degree or higher,"1,091",+/-192,12.5%,+/-2.2,460,+/-121,10.5%,+/-2.8,631,+/-136,14.6%,+/-3.1
"White alone, not Hispanic or Latino","8,685",+/-7,(X),(X),"4,355",+/-18,(X),(X),"4,330",+/-7,(X),(X)
High school graduate or higher,"7,502",+/-170,86.4%,+/-1.9,"3,638",+/-139,83.5%,+/-3.2,"3,864",+/-99,89.2%,+/-2.3
Bachelor's degree or higher,"1,091",+/-192,12.6%,+/-2.2,460,+/-121,10.6%,+/-2.8,631,+/-136,14.6%,+/-3.1
Black alone,31,+/-31,(X),(X),20,+/-19,(X),(X),11,+/-25,(X),(X)
High school graduate or higher,31,+/-31,100.0%,+/-51.2,20,+/-19,100.0%,+/-63.7,11,+/-25,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-51.2,0,+/-18,0.0%,+/-63.7,0,+/-18,0.0%,+/-85.9
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,20,+/-38,(X),(X),0,+/-18,(X),(X),20,+/-38,(X),(X)
High school graduate or higher,20,+/-38,100.0%,+/-63.7,0,+/-18,-,**,20,+/-38,100.0%,+/-63.7
Bachelor's degree or higher,20,+/-38,100.0%,+/-63.7,0,+/-18,-,**,20,+/-38,100.0%,+/-63.7
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Two or more races,65,+/-74,(X),(X),19,+/-37,(X),(X),46,+/-54,(X),(X)
High school graduate or higher,41,+/-53,63.1%,+/-40.2,0,+/-18,0.0%,+/-65.4,41,+/-53,89.1%,+/-22.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-34.9,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-42.0
Hispanic or Latino Origin,9,+/-16,(X),(X),9,+/-16,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,9,+/-16,100.0%,+/-95.0,9,+/-16,100.0%,+/-95.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-95.0,0,+/-18,0.0%,+/-95.0,0,+/-18,-,**
