Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"31,368,674","+/-10,442",(X),(X),"16,071,993","+/-6,048",(X),(X),"15,296,681","+/-5,798",(X),(X)
Less than high school graduate,"4,503,448","+/-20,111",14.4%,+/-0.1,"2,647,327","+/-12,420",16.5%,+/-0.1,"1,856,121","+/-11,156",12.1%,+/-0.1
High school graduate (includes equivalency),"9,321,843","+/-21,965",29.7%,+/-0.1,"5,250,852","+/-15,435",32.7%,+/-0.1,"4,070,991","+/-14,853",26.6%,+/-0.1
Some college or associate's degree,"14,459,475","+/-25,050",46.1%,+/-0.1,"6,894,271","+/-16,940",42.9%,+/-0.1,"7,565,204","+/-17,623",49.5%,+/-0.1
Bachelor's degree or higher,"3,083,908","+/-22,885",9.8%,+/-0.1,"1,279,543","+/-11,448",8.0%,+/-0.1,"1,804,365","+/-14,738",11.8%,+/-0.1
Population 25 years and over,"211,462,522","+/-16,135",(X),(X),"102,007,511","+/-8,681",(X),(X),"109,455,011","+/-8,870",(X),(X)
Less than 9th grade,"12,093,869","+/-57,253",5.7%,+/-0.1,"6,003,728","+/-30,011",5.9%,+/-0.1,"6,090,141","+/-29,965",5.6%,+/-0.1
"9th to 12th grade, no diploma","16,135,225","+/-65,476",7.6%,+/-0.1,"8,318,466","+/-34,541",8.2%,+/-0.1,"7,816,759","+/-35,633",7.1%,+/-0.1
High school graduate (includes equivalency),"58,722,528","+/-173,641",27.8%,+/-0.1,"28,952,834","+/-94,591",28.4%,+/-0.1,"29,769,694","+/-84,797",27.2%,+/-0.1
"Some college, no degree","44,529,161","+/-49,403",21.1%,+/-0.1,"21,120,934","+/-34,153",20.7%,+/-0.1,"23,408,227","+/-34,185",21.4%,+/-0.1
Associate's degree,"17,029,467","+/-40,247",8.1%,+/-0.1,"7,300,637","+/-22,146",7.2%,+/-0.1,"9,728,830","+/-26,800",8.9%,+/-0.1
Bachelor's degree,"39,166,047","+/-136,480",18.5%,+/-0.1,"18,721,504","+/-66,712",18.4%,+/-0.1,"20,444,543","+/-72,897",18.7%,+/-0.1
Graduate or professional degree,"23,786,225","+/-147,082",11.2%,+/-0.1,"11,589,408","+/-72,475",11.4%,+/-0.1,"12,196,817","+/-76,750",11.1%,+/-0.1
Percent high school graduate or higher,(X),(X),86.7%,+/-0.1,(X),(X),86.0%,+/-0.1,(X),(X),87.3%,+/-0.1
Percent bachelor's degree or higher,(X),(X),29.8%,+/-0.1,(X),(X),29.7%,+/-0.1,(X),(X),29.8%,+/-0.1
Population 25 to 34 years,"42,881,649","+/-7,904",(X),(X),"21,615,387","+/-5,381",(X),(X),"21,266,262","+/-5,091",(X),(X)
High school graduate or higher,"38,089,041","+/-31,312",88.8%,+/-0.1,"18,842,410","+/-16,745",87.2%,+/-0.1,"19,246,631","+/-17,678",90.5%,+/-0.1
Bachelor's degree or higher,"14,182,054","+/-85,955",33.1%,+/-0.2,"6,291,217","+/-37,502",29.1%,+/-0.2,"7,890,837","+/-50,265",37.1%,+/-0.2
Population 35 to 44 years,"40,651,910","+/-7,231",(X),(X),"20,230,555","+/-5,326",(X),(X),"20,421,355","+/-3,942",(X),(X)
High school graduate or higher,"35,676,703","+/-33,474",87.8%,+/-0.1,"17,468,308","+/-19,690",86.3%,+/-0.1,"18,208,395","+/-17,129",89.2%,+/-0.1
Bachelor's degree or higher,"13,596,559","+/-88,502",33.4%,+/-0.2,"6,240,620","+/-43,576",30.8%,+/-0.2,"7,355,939","+/-46,896",36.0%,+/-0.2
Population 45 to 64 years,"83,313,486","+/-10,144",(X),(X),"40,621,891","+/-6,235",(X),(X),"42,691,595","+/-5,496",(X),(X)
High school graduate or higher,"73,345,058","+/-53,336",88.0%,+/-0.1,"35,364,022","+/-27,222",87.1%,+/-0.1,"37,981,036","+/-28,615",89.0%,+/-0.1
Bachelor's degree or higher,"24,419,440","+/-92,158",29.3%,+/-0.1,"11,912,594","+/-48,996",29.3%,+/-0.1,"12,506,846","+/-46,369",29.3%,+/-0.1
Population 65 years and over,"44,615,477","+/-4,726",(X),(X),"19,539,678","+/-2,545",(X),(X),"25,075,799","+/-3,348",(X),(X)
High school graduate or higher,"36,122,626","+/-26,277",81.0%,+/-0.1,"16,010,577","+/-13,739",81.9%,+/-0.1,"20,112,049","+/-16,072",80.2%,+/-0.1
Bachelor's degree or higher,"10,754,219","+/-25,130",24.1%,+/-0.1,"5,866,481","+/-15,963",30.0%,+/-0.1,"4,887,738","+/-13,800",19.5%,+/-0.1
