RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"64,602",+/-156,(X),(X),"30,715",+/-111,(X),(X),"33,887",+/-95,(X),(X)
High school graduate or higher,"57,970",+/-530,89.7%,+/-0.8,"27,402",+/-373,89.2%,+/-1.2,"30,568",+/-339,90.2%,+/-1.0
Bachelor's degree or higher,"15,533",+/-725,24.0%,+/-1.1,"7,142",+/-488,23.3%,+/-1.6,"8,391",+/-460,24.8%,+/-1.4
"White alone, not Hispanic or Latino","64,039",+/-54,(X),(X),"30,438",+/-37,(X),(X),"33,601",+/-20,(X),(X)
High school graduate or higher,"57,537",+/-527,89.8%,+/-0.8,"27,172",+/-372,89.3%,+/-1.2,"30,365",+/-310,90.4%,+/-0.9
Bachelor's degree or higher,"15,404",+/-713,24.1%,+/-1.1,"7,099",+/-479,23.3%,+/-1.6,"8,305",+/-461,24.7%,+/-1.4
Black alone,"4,385",+/-126,(X),(X),"2,011",+/-90,(X),(X),"2,374",+/-71,(X),(X)
High school graduate or higher,"3,782",+/-153,86.2%,+/-3.0,"1,777",+/-98,88.4%,+/-4.4,"2,005",+/-121,84.5%,+/-4.4
Bachelor's degree or higher,726,+/-183,16.6%,+/-4.2,281,+/-88,14.0%,+/-4.5,445,+/-145,18.7%,+/-6.1
American Indian or Alaska Native alone,69,+/-36,(X),(X),56,+/-34,(X),(X),13,+/-15,(X),(X)
High school graduate or higher,44,+/-33,63.8%,+/-35.9,39,+/-31,69.6%,+/-40.1,5,+/-8,38.5%,+/-59.2
Bachelor's degree or higher,22,+/-25,31.9%,+/-29.0,22,+/-25,39.3%,+/-36.6,0,+/-27,0.0%,+/-79.0
Asian alone,783,+/-166,(X),(X),307,+/-82,(X),(X),476,+/-130,(X),(X)
High school graduate or higher,740,+/-152,94.5%,+/-4.7,295,+/-85,96.1%,+/-7.0,445,+/-123,93.5%,+/-7.1
Bachelor's degree or higher,507,+/-149,64.8%,+/-16.8,279,+/-79,90.9%,+/-9.9,228,+/-135,47.9%,+/-26.6
Native Hawaiian and Other Pacific Islander alone,70,+/-77,(X),(X),31,+/-38,(X),(X),39,+/-45,(X),(X)
High school graduate or higher,56,+/-73,80.0%,+/-32.4,21,+/-33,67.7%,+/-52.1,35,+/-43,89.7%,+/-25.8
Bachelor's degree or higher,21,+/-33,30.0%,+/-23.5,21,+/-33,67.7%,+/-52.1,0,+/-27,0.0%,+/-45.6
Some other race alone,314,+/-143,(X),(X),172,+/-100,(X),(X),142,+/-75,(X),(X)
High school graduate or higher,204,+/-114,65.0%,+/-23.7,146,+/-98,84.9%,+/-20.4,58,+/-45,40.8%,+/-30.4
Bachelor's degree or higher,14,+/-17,4.5%,+/-6.0,0,+/-27,0.0%,+/-15.9,14,+/-17,9.9%,+/-14.2
Two or more races,972,+/-172,(X),(X),434,+/-89,(X),(X),538,+/-121,(X),(X)
High school graduate or higher,906,+/-167,93.2%,+/-3.8,396,+/-88,91.2%,+/-6.6,510,+/-120,94.8%,+/-3.7
Bachelor's degree or higher,225,+/-91,23.1%,+/-9.0,110,+/-66,25.3%,+/-14.9,115,+/-73,21.4%,+/-12.2
Hispanic or Latino Origin,"1,071",+/-54,(X),(X),516,+/-74,(X),(X),555,+/-46,(X),(X)
High school graduate or higher,798,+/-135,74.5%,+/-11.6,410,+/-101,79.5%,+/-11.7,388,+/-92,69.9%,+/-16.5
Bachelor's degree or higher,226,+/-94,21.1%,+/-9.1,96,+/-64,18.6%,+/-12.0,130,+/-76,23.4%,+/-13.4
