RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"64,682",+/-154,(X),(X),"30,762",+/-98,(X),(X),"33,920",+/-107,(X),(X)
High school graduate or higher,"58,158",+/-505,89.9%,+/-0.7,"27,400",+/-373,89.1%,+/-1.2,"30,758",+/-315,90.7%,+/-0.9
Bachelor's degree or higher,"15,354",+/-699,23.7%,+/-1.1,"6,995",+/-429,22.7%,+/-1.4,"8,359",+/-389,24.6%,+/-1.2
"White alone, not Hispanic or Latino","64,169",+/-50,(X),(X),"30,485",+/-33,(X),(X),"33,684",+/-19,(X),(X)
High school graduate or higher,"57,767",+/-474,90.0%,+/-0.7,"27,190",+/-367,89.2%,+/-1.2,"30,577",+/-276,90.8%,+/-0.8
Bachelor's degree or higher,"15,197",+/-699,23.7%,+/-1.1,"6,934",+/-422,22.7%,+/-1.4,"8,263",+/-395,24.5%,+/-1.2
Black alone,"3,648",+/-247,(X),(X),"1,768",+/-130,(X),(X),"1,880",+/-194,(X),(X)
High school graduate or higher,"3,138",+/-274,86.0%,+/-3.4,"1,546",+/-148,87.4%,+/-4.4,"1,592",+/-191,84.7%,+/-3.9
Bachelor's degree or higher,563,+/-162,15.4%,+/-4.1,256,+/-100,14.5%,+/-5.3,307,+/-113,16.3%,+/-5.6
American Indian or Alaska Native alone,116,+/-69,(X),(X),58,+/-38,(X),(X),58,+/-42,(X),(X)
High school graduate or higher,98,+/-65,84.5%,+/-18.4,47,+/-34,81.0%,+/-28.9,51,+/-41,87.9%,+/-22.6
Bachelor's degree or higher,13,+/-15,11.2%,+/-13.2,13,+/-15,22.4%,+/-25.2,0,+/-27,0.0%,+/-37.4
Asian alone,720,+/-123,(X),(X),287,+/-75,(X),(X),433,+/-118,(X),(X)
High school graduate or higher,652,+/-140,90.6%,+/-8.0,263,+/-78,91.6%,+/-11.1,389,+/-124,89.8%,+/-9.6
Bachelor's degree or higher,419,+/-119,58.2%,+/-14.1,219,+/-82,76.3%,+/-18.3,200,+/-87,46.2%,+/-19.1
Native Hawaiian and Other Pacific Islander alone,59,+/-59,(X),(X),30,+/-28,(X),(X),29,+/-36,(X),(X)
High school graduate or higher,46,+/-58,78.0%,+/-32.2,21,+/-26,70.0%,+/-42.4,25,+/-35,86.2%,+/-34.3
Bachelor's degree or higher,13,+/-22,22.0%,+/-19.9,13,+/-22,43.3%,+/-48.0,0,+/-27,0.0%,+/-52.9
Some other race alone,311,+/-142,(X),(X),161,+/-91,(X),(X),150,+/-93,(X),(X)
High school graduate or higher,183,+/-108,58.8%,+/-26.8,115,+/-89,71.4%,+/-28.3,68,+/-57,45.3%,+/-30.8
Bachelor's degree or higher,17,+/-22,5.5%,+/-7.5,0,+/-27,0.0%,+/-16.9,17,+/-22,11.3%,+/-15.8
Two or more races,"1,504",+/-257,(X),(X),607,+/-147,(X),(X),897,+/-189,(X),(X)
High school graduate or higher,"1,322",+/-221,87.9%,+/-4.6,548,+/-145,90.3%,+/-7.0,774,+/-165,86.3%,+/-6.9
Bachelor's degree or higher,163,+/-78,10.8%,+/-5.0,81,+/-47,13.3%,+/-7.5,82,+/-62,9.1%,+/-6.8
Hispanic or Latino Origin,935,+/-70,(X),(X),478,+/-67,(X),(X),457,+/-45,(X),(X)
High school graduate or higher,674,+/-143,72.1%,+/-14.1,354,+/-90,74.1%,+/-13.8,320,+/-90,70.0%,+/-19.3
Bachelor's degree or higher,223,+/-102,23.9%,+/-11.0,94,+/-44,19.7%,+/-8.9,129,+/-77,28.2%,+/-17.4
