Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"23,647",+/-132,(X),(X),"11,194",+/-109,(X),(X),"12,453",+/-68,(X),(X)
Less than high school graduate,"2,213",+/-367,9.4%,+/-1.6,"1,351",+/-297,12.1%,+/-2.6,862,+/-182,6.9%,+/-1.5
High school graduate (includes equivalency),"4,497",+/-412,19.0%,+/-1.8,"2,742",+/-401,24.5%,+/-3.6,"1,755",+/-241,14.1%,+/-1.9
Some college or associate's degree,"15,006",+/-648,63.5%,+/-2.6,"6,068",+/-508,54.2%,+/-4.4,"8,938",+/-369,71.8%,+/-2.9
Bachelor's degree or higher,"1,931",+/-374,8.2%,+/-1.6,"1,033",+/-274,9.2%,+/-2.5,898,+/-224,7.2%,+/-1.8
Population 25 years and over,"71,099",+/-132,(X),(X),"33,699",+/-120,(X),(X),"37,400",+/-78,(X),(X)
Less than 9th grade,"2,312",+/-254,3.3%,+/-0.4,"1,295",+/-199,3.8%,+/-0.6,"1,017",+/-150,2.7%,+/-0.4
"9th to 12th grade, no diploma","5,738",+/-412,8.1%,+/-0.6,"2,788",+/-272,8.3%,+/-0.8,"2,950",+/-300,7.9%,+/-0.8
High school graduate (includes equivalency),"25,252",+/-864,35.5%,+/-1.2,"12,343",+/-612,36.6%,+/-1.8,"12,909",+/-527,34.5%,+/-1.4
"Some college, no degree","15,540",+/-671,21.9%,+/-0.9,"7,419",+/-526,22.0%,+/-1.6,"8,121",+/-447,21.7%,+/-1.2
Associate's degree,"5,728",+/-470,8.1%,+/-0.7,"2,257",+/-301,6.7%,+/-0.9,"3,471",+/-335,9.3%,+/-0.9
Bachelor's degree,"9,478",+/-583,13.3%,+/-0.8,"4,095",+/-374,12.2%,+/-1.1,"5,383",+/-444,14.4%,+/-1.2
Graduate or professional degree,"7,051",+/-541,9.9%,+/-0.8,"3,502",+/-306,10.4%,+/-0.9,"3,549",+/-362,9.5%,+/-1.0
Percent high school graduate or higher,(X),(X),88.7%,+/-0.7,(X),(X),87.9%,+/-1.0,(X),(X),89.4%,+/-0.9
Percent bachelor's degree or higher,(X),(X),23.2%,+/-1.0,(X),(X),22.5%,+/-1.2,(X),(X),23.9%,+/-1.3
Population 25 to 34 years,"12,643",+/-176,(X),(X),"6,377",+/-140,(X),(X),"6,266",+/-87,(X),(X)
High school graduate or higher,"11,576",+/-316,91.6%,+/-1.9,"5,781",+/-214,90.7%,+/-2.3,"5,795",+/-192,92.5%,+/-2.5
Bachelor's degree or higher,"3,587",+/-396,28.4%,+/-3.1,"1,670",+/-244,26.2%,+/-3.7,"1,917",+/-229,30.6%,+/-3.7
Population 35 to 44 years,"12,301",+/-137,(X),(X),"6,074",+/-91,(X),(X),"6,227",+/-89,(X),(X)
High school graduate or higher,"11,507",+/-189,93.5%,+/-1.5,"5,594",+/-129,92.1%,+/-1.9,"5,913",+/-119,95.0%,+/-2.0
Bachelor's degree or higher,"3,460",+/-304,28.1%,+/-2.5,"1,514",+/-194,24.9%,+/-3.1,"1,946",+/-200,31.3%,+/-3.2
Population 45 to 64 years,"27,790",+/-139,(X),(X),"13,316",+/-90,(X),(X),"14,474",+/-93,(X),(X)
High school graduate or higher,"24,976",+/-363,89.9%,+/-1.2,"11,567",+/-254,86.9%,+/-1.8,"13,409",+/-208,92.6%,+/-1.3
Bachelor's degree or higher,"6,130",+/-458,22.1%,+/-1.6,"2,724",+/-285,20.5%,+/-2.2,"3,406",+/-321,23.5%,+/-2.2
Population 65 years and over,"18,365",+/-59,(X),(X),"7,932",+/-43,(X),(X),"10,433",+/-56,(X),(X)
High school graduate or higher,"14,990",+/-284,81.6%,+/-1.5,"6,674",+/-170,84.1%,+/-2.1,"8,316",+/-217,79.7%,+/-2.0
Bachelor's degree or higher,"3,352",+/-300,18.3%,+/-1.6,"1,689",+/-183,21.3%,+/-2.3,"1,663",+/-203,15.9%,+/-1.9
