RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,913",+/-48,(X),(X),"7,171",+/-45,(X),(X),"6,742",+/-30,(X),(X)
High school graduate or higher,"12,199",+/-288,87.7%,+/-2.0,"6,041",+/-257,84.2%,+/-3.5,"6,158",+/-141,91.3%,+/-2.1
Bachelor's degree or higher,"1,715",+/-280,12.3%,+/-2.0,912,+/-186,12.7%,+/-2.6,803,+/-166,11.9%,+/-2.5
"White alone, not Hispanic or Latino","13,786",+/-21,(X),(X),"7,077",+/-21,(X),(X),"6,709",+/-21,(X),(X)
High school graduate or higher,"12,103",+/-278,87.8%,+/-2.0,"5,978",+/-248,84.5%,+/-3.5,"6,125",+/-144,91.3%,+/-2.1
Bachelor's degree or higher,"1,711",+/-278,12.4%,+/-2.0,912,+/-186,12.9%,+/-2.6,799,+/-165,11.9%,+/-2.5
Black alone,668,+/-118,(X),(X),668,+/-118,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,449,+/-86,67.2%,+/-9.8,449,+/-86,67.2%,+/-9.8,0,+/-21,-,**
Bachelor's degree or higher,15,+/-18,2.2%,+/-2.8,15,+/-18,2.2%,+/-2.8,0,+/-21,-,**
American Indian or Alaska Native alone,36,+/-29,(X),(X),7,+/-10,(X),(X),29,+/-28,(X),(X)
High school graduate or higher,36,+/-29,100.0%,+/-47.5,7,+/-10,100.0%,+/-100.0,29,+/-28,100.0%,+/-52.9
Bachelor's degree or higher,12,+/-18,33.3%,+/-47.4,0,+/-21,0.0%,+/-100.0,12,+/-18,41.4%,+/-58.6
Asian alone,86,+/-95,(X),(X),34,+/-56,(X),(X),52,+/-84,(X),(X)
High school graduate or higher,34,+/-56,39.5%,+/-59.9,34,+/-56,100.0%,+/-48.9,0,+/-21,0.0%,+/-39.5
Bachelor's degree or higher,34,+/-56,39.5%,+/-59.9,34,+/-56,100.0%,+/-48.9,0,+/-21,0.0%,+/-39.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,48,+/-47,(X),(X),11,+/-14,(X),(X),37,+/-46,(X),(X)
High school graduate or higher,37,+/-46,77.1%,+/-39.0,0,+/-21,0.0%,+/-85.9,37,+/-46,100.0%,+/-46.8
Bachelor's degree or higher,37,+/-46,77.1%,+/-39.0,0,+/-21,0.0%,+/-85.9,37,+/-46,100.0%,+/-46.8
Two or more races,201,+/-78,(X),(X),154,+/-72,(X),(X),47,+/-36,(X),(X)
High school graduate or higher,180,+/-78,89.6%,+/-10.7,137,+/-71,89.0%,+/-12.8,43,+/-37,91.5%,+/-13.7
Bachelor's degree or higher,53,+/-51,26.4%,+/-20.6,31,+/-35,20.1%,+/-20.3,22,+/-30,46.8%,+/-41.8
Hispanic or Latino Origin,206,+/-44,(X),(X),136,+/-47,(X),(X),70,+/-45,(X),(X)
High school graduate or higher,149,+/-52,72.3%,+/-18.1,79,+/-47,58.1%,+/-24.9,70,+/-45,100.0%,+/-33.3
Bachelor's degree or higher,41,+/-45,19.9%,+/-20.8,0,+/-21,0.0%,+/-19.7,41,+/-45,58.6%,+/-42.2
