RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"14,004",+/-54,(X),(X),"7,266",+/-50,(X),(X),"6,738",+/-14,(X),(X)
High school graduate or higher,"12,137",+/-250,86.7%,+/-1.8,"6,028",+/-223,83.0%,+/-3.1,"6,109",+/-161,90.7%,+/-2.4
Bachelor's degree or higher,"1,919",+/-252,13.7%,+/-1.8,926,+/-167,12.7%,+/-2.3,993,+/-188,14.7%,+/-2.8
"White alone, not Hispanic or Latino","13,842",+/-21,(X),(X),"7,115",+/-21,(X),(X),"6,727",+/-21,(X),(X)
High school graduate or higher,"12,046",+/-249,87.0%,+/-1.8,"5,948",+/-221,83.6%,+/-3.1,"6,098",+/-161,90.6%,+/-2.4
Bachelor's degree or higher,"1,901",+/-251,13.7%,+/-1.8,911,+/-164,12.8%,+/-2.3,990,+/-188,14.7%,+/-2.8
Black alone,731,+/-89,(X),(X),718,+/-99,(X),(X),13,+/-29,(X),(X)
High school graduate or higher,472,+/-93,64.6%,+/-10.1,459,+/-99,63.9%,+/-10.3,13,+/-29,100.0%,+/-79.0
Bachelor's degree or higher,8,+/-10,1.1%,+/-1.4,8,+/-10,1.1%,+/-1.4,0,+/-21,0.0%,+/-79.0
American Indian or Alaska Native alone,57,+/-33,(X),(X),4,+/-11,(X),(X),53,+/-31,(X),(X)
High school graduate or higher,51,+/-36,89.5%,+/-23.8,4,+/-11,100.0%,+/-100.0,47,+/-35,88.7%,+/-26.9
Bachelor's degree or higher,17,+/-24,29.8%,+/-38.5,0,+/-21,0.0%,+/-100.0,17,+/-24,32.1%,+/-41.9
Asian alone,21,+/-24,(X),(X),21,+/-24,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,21,+/-24,100.0%,+/-62.2,21,+/-24,100.0%,+/-62.2,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-62.2,0,+/-21,0.0%,+/-62.2,0,+/-21,-,**
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,52,+/-47,(X),(X),52,+/-47,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,48,+/-47,92.3%,+/-20.5,48,+/-47,92.3%,+/-20.5,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-39.5,0,+/-21,0.0%,+/-39.5,0,+/-21,-,**
Two or more races,159,+/-55,(X),(X),131,+/-54,(X),(X),28,+/-18,(X),(X)
High school graduate or higher,143,+/-54,89.9%,+/-13.5,115,+/-51,87.8%,+/-15.9,28,+/-18,100.0%,+/-53.8
Bachelor's degree or higher,36,+/-21,22.6%,+/-12.8,16,+/-16,12.2%,+/-12.2,20,+/-14,71.4%,+/-27.7
Hispanic or Latino Origin,223,+/-39,(X),(X),212,+/-43,(X),(X),11,+/-14,(X),(X)
High school graduate or higher,143,+/-38,64.1%,+/-17.9,132,+/-42,62.3%,+/-19.0,11,+/-14,100.0%,+/-85.9
Bachelor's degree or higher,18,+/-17,8.1%,+/-7.7,15,+/-17,7.1%,+/-7.7,3,+/-5,27.3%,+/-42.7
