Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,725",+/-85,(X),(X),972,+/-51,(X),(X),753,+/-71,(X),(X)
Less than high school graduate,256,+/-98,14.8%,+/-5.2,122,+/-51,12.6%,+/-5.1,134,+/-83,17.8%,+/-9.7
High school graduate (includes equivalency),684,+/-132,39.7%,+/-7.6,498,+/-103,51.2%,+/-10.2,186,+/-75,24.7%,+/-10.2
Some college or associate's degree,706,+/-136,40.9%,+/-8.2,310,+/-100,31.9%,+/-10.4,396,+/-82,52.6%,+/-12.3
Bachelor's degree or higher,79,+/-54,4.6%,+/-3.1,42,+/-52,4.3%,+/-5.3,37,+/-38,4.9%,+/-5.1
Population 25 years and over,"14,952",+/-128,(X),(X),"8,045",+/-138,(X),(X),"6,907",+/-112,(X),(X)
Less than 9th grade,519,+/-147,3.5%,+/-1.0,323,+/-94,4.0%,+/-1.2,196,+/-110,2.8%,+/-1.6
"9th to 12th grade, no diploma","1,498",+/-255,10.0%,+/-1.7,"1,054",+/-233,13.1%,+/-2.9,444,+/-129,6.4%,+/-1.9
High school graduate (includes equivalency),"6,520",+/-404,43.6%,+/-2.7,"3,516",+/-274,43.7%,+/-3.3,"3,004",+/-273,43.5%,+/-3.9
"Some college, no degree","2,682",+/-285,17.9%,+/-1.9,"1,343",+/-192,16.7%,+/-2.4,"1,339",+/-204,19.4%,+/-3.0
Associate's degree,"1,867",+/-317,12.5%,+/-2.1,817,+/-178,10.2%,+/-2.2,"1,050",+/-207,15.2%,+/-3.0
Bachelor's degree,"1,271",+/-238,8.5%,+/-1.6,707,+/-172,8.8%,+/-2.1,564,+/-128,8.2%,+/-1.8
Graduate or professional degree,595,+/-159,4.0%,+/-1.1,285,+/-102,3.5%,+/-1.3,310,+/-100,4.5%,+/-1.4
Percent high school graduate or higher,(X),(X),86.5%,+/-2.2,(X),(X),82.9%,+/-3.5,(X),(X),90.7%,+/-2.4
Percent bachelor's degree or higher,(X),(X),12.5%,+/-2.0,(X),(X),12.3%,+/-2.5,(X),(X),12.7%,+/-2.4
Population 25 to 34 years,"2,728",+/-83,(X),(X),"1,632",+/-86,(X),(X),"1,096",+/-28,(X),(X)
High school graduate or higher,"2,313",+/-146,84.8%,+/-4.8,"1,272",+/-138,77.9%,+/-7.3,"1,041",+/-47,95.0%,+/-3.9
Bachelor's degree or higher,260,+/-114,9.5%,+/-4.1,89,+/-59,5.5%,+/-3.6,171,+/-83,15.6%,+/-7.6
Population 35 to 44 years,"2,865",+/-93,(X),(X),"1,658",+/-80,(X),(X),"1,207",+/-58,(X),(X)
High school graduate or higher,"2,627",+/-167,91.7%,+/-4.5,"1,458",+/-155,87.9%,+/-7.6,"1,169",+/-66,96.9%,+/-2.3
Bachelor's degree or higher,459,+/-141,16.0%,+/-4.8,185,+/-73,11.2%,+/-4.4,274,+/-94,22.7%,+/-7.3
Population 45 to 64 years,"5,874",+/-123,(X),(X),"3,179",+/-105,(X),(X),"2,695",+/-93,(X),(X)
High school graduate or higher,"5,006",+/-188,85.2%,+/-3.1,"2,619",+/-169,82.4%,+/-4.3,"2,387",+/-117,88.6%,+/-4.9
Bachelor's degree or higher,793,+/-187,13.5%,+/-3.2,516,+/-158,16.2%,+/-4.8,277,+/-89,10.3%,+/-3.4
Population 65 years and over,"3,485",+/-45,(X),(X),"1,576",+/-43,(X),(X),"1,909",+/-8,(X),(X)
High school graduate or higher,"2,989",+/-114,85.8%,+/-3.0,"1,319",+/-83,83.7%,+/-4.8,"1,670",+/-70,87.5%,+/-3.6
Bachelor's degree or higher,354,+/-89,10.2%,+/-2.5,202,+/-57,12.8%,+/-3.6,152,+/-57,8.0%,+/-3.0
