Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,746",+/-66,(X),(X),"1,010",+/-60,(X),(X),736,+/-39,(X),(X)
Less than high school graduate,376,+/-187,21.5%,+/-10.3,230,+/-107,22.8%,+/-10.0,146,+/-100,19.8%,+/-12.9
High school graduate (includes equivalency),648,+/-132,37.1%,+/-7.9,502,+/-103,49.7%,+/-11.1,146,+/-83,19.8%,+/-11.4
Some college or associate's degree,651,+/-143,37.3%,+/-8.4,244,+/-93,24.2%,+/-9.2,407,+/-99,55.3%,+/-14.1
Bachelor's degree or higher,71,+/-54,4.1%,+/-3.1,34,+/-44,3.4%,+/-4.4,37,+/-30,5.0%,+/-4.0
Population 25 years and over,"14,929",+/-132,(X),(X),"8,069",+/-125,(X),(X),"6,860",+/-66,(X),(X)
Less than 9th grade,477,+/-140,3.2%,+/-0.9,316,+/-112,3.9%,+/-1.4,161,+/-90,2.3%,+/-1.3
"9th to 12th grade, no diploma","1,557",+/-231,10.4%,+/-1.6,"1,005",+/-200,12.5%,+/-2.5,552,+/-135,8.0%,+/-2.0
High school graduate (includes equivalency),"6,374",+/-343,42.7%,+/-2.3,"3,519",+/-272,43.6%,+/-3.3,"2,855",+/-221,41.6%,+/-3.3
"Some college, no degree","2,819",+/-324,18.9%,+/-2.2,"1,482",+/-223,18.4%,+/-2.7,"1,337",+/-216,19.5%,+/-3.1
Associate's degree,"1,812",+/-264,12.1%,+/-1.8,809,+/-158,10.0%,+/-2.0,"1,003",+/-168,14.6%,+/-2.4
Bachelor's degree,"1,383",+/-216,9.3%,+/-1.4,697,+/-140,8.6%,+/-1.7,686,+/-151,10.0%,+/-2.2
Graduate or professional degree,507,+/-110,3.4%,+/-0.7,241,+/-76,3.0%,+/-0.9,266,+/-81,3.9%,+/-1.2
Percent high school graduate or higher,(X),(X),86.4%,+/-1.8,(X),(X),83.6%,+/-3.0,(X),(X),89.6%,+/-2.1
Percent bachelor's degree or higher,(X),(X),12.7%,+/-1.5,(X),(X),11.6%,+/-1.9,(X),(X),13.9%,+/-2.2
Population 25 to 34 years,"2,775",+/-89,(X),(X),"1,690",+/-88,(X),(X),"1,085",+/-28,(X),(X)
High school graduate or higher,"2,335",+/-133,84.1%,+/-5.0,"1,326",+/-122,78.5%,+/-7.8,"1,009",+/-54,93.0%,+/-4.2
Bachelor's degree or higher,232,+/-97,8.4%,+/-3.5,87,+/-43,5.1%,+/-2.6,145,+/-77,13.4%,+/-7.1
Population 35 to 44 years,"2,842",+/-84,(X),(X),"1,642",+/-75,(X),(X),"1,200",+/-51,(X),(X)
High school graduate or higher,"2,659",+/-131,93.6%,+/-3.5,"1,494",+/-121,91.0%,+/-5.6,"1,165",+/-58,97.1%,+/-2.2
Bachelor's degree or higher,539,+/-123,19.0%,+/-4.3,202,+/-60,12.3%,+/-3.7,337,+/-105,28.1%,+/-8.3
Population 45 to 64 years,"5,882",+/-106,(X),(X),"3,180",+/-93,(X),(X),"2,702",+/-43,(X),(X)
High school graduate or higher,"5,015",+/-185,85.3%,+/-2.8,"2,665",+/-130,83.8%,+/-3.5,"2,350",+/-119,87.0%,+/-4.4
Bachelor's degree or higher,742,+/-165,12.6%,+/-2.7,461,+/-127,14.5%,+/-3.9,281,+/-81,10.4%,+/-3.0
Population 65 years and over,"3,430",+/-38,(X),(X),"1,557",+/-38,(X),(X),"1,873",+/-6,(X),(X)
High school graduate or higher,"2,886",+/-93,84.1%,+/-2.8,"1,263",+/-72,81.1%,+/-4.9,"1,623",+/-66,86.7%,+/-3.5
Bachelor's degree or higher,377,+/-89,11.0%,+/-2.6,188,+/-63,12.1%,+/-4.1,189,+/-58,10.1%,+/-3.1
