RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"71,009",+/-252,(X),(X),"34,106",+/-122,(X),(X),"36,903",+/-178,(X),(X)
High school graduate or higher,"62,613",+/-585,88.2%,+/-0.8,"29,906",+/-435,87.7%,+/-1.2,"32,707",+/-436,88.6%,+/-1.3
Bachelor's degree or higher,"14,563",+/-856,20.5%,+/-1.2,"6,570",+/-489,19.3%,+/-1.4,"7,993",+/-544,21.7%,+/-1.5
"White alone, not Hispanic or Latino","68,614",+/-88,(X),(X),"32,794",+/-20,(X),(X),"35,820",+/-69,(X),(X)
High school graduate or higher,"61,251",+/-521,89.3%,+/-0.8,"29,085",+/-412,88.7%,+/-1.3,"32,166",+/-390,89.8%,+/-1.1
Bachelor's degree or higher,"14,338",+/-821,20.9%,+/-1.2,"6,442",+/-476,19.6%,+/-1.5,"7,896",+/-523,22.0%,+/-1.5
Black alone,"5,283",+/-130,(X),(X),"2,599",+/-68,(X),(X),"2,684",+/-94,(X),(X)
High school graduate or higher,"4,598",+/-216,87.0%,+/-3.0,"2,189",+/-133,84.2%,+/-4.5,"2,409",+/-143,89.8%,+/-4.0
Bachelor's degree or higher,727,+/-171,13.8%,+/-3.3,282,+/-100,10.9%,+/-3.9,445,+/-132,16.6%,+/-4.9
American Indian or Alaska Native alone,71,+/-50,(X),(X),28,+/-30,(X),(X),43,+/-44,(X),(X)
High school graduate or higher,60,+/-48,84.5%,+/-27.1,20,+/-27,71.4%,+/-51.6,40,+/-44,93.0%,+/-24.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-33.0,0,+/-27,0.0%,+/-53.8,0,+/-27,0.0%,+/-43.5
Asian alone,583,+/-189,(X),(X),179,+/-117,(X),(X),404,+/-109,(X),(X)
High school graduate or higher,481,+/-177,82.5%,+/-13.6,135,+/-100,75.4%,+/-26.6,346,+/-117,85.6%,+/-15.5
Bachelor's degree or higher,258,+/-113,44.3%,+/-12.7,108,+/-96,60.3%,+/-34.3,150,+/-85,37.1%,+/-18.7
Native Hawaiian and Other Pacific Islander alone,15,+/-24,(X),(X),0,+/-27,(X),(X),15,+/-24,(X),(X)
High school graduate or higher,15,+/-24,100.0%,+/-73.6,0,+/-27,-,**,15,+/-24,100.0%,+/-73.6
Bachelor's degree or higher,0,+/-27,0.0%,+/-73.6,0,+/-27,-,**,0,+/-27,0.0%,+/-73.6
Some other race alone,553,+/-188,(X),(X),274,+/-111,(X),(X),279,+/-119,(X),(X)
High school graduate or higher,369,+/-191,66.7%,+/-22.0,185,+/-105,67.5%,+/-21.3,184,+/-116,65.9%,+/-30.5
Bachelor's degree or higher,63,+/-63,11.4%,+/-10.6,43,+/-56,15.7%,+/-18.4,20,+/-23,7.2%,+/-7.5
Two or more races,937,+/-187,(X),(X),417,+/-107,(X),(X),520,+/-142,(X),(X)
High school graduate or higher,818,+/-203,87.3%,+/-10.2,347,+/-127,83.2%,+/-15.0,471,+/-142,90.6%,+/-9.4
Bachelor's degree or higher,235,+/-116,25.1%,+/-9.7,71,+/-59,17.0%,+/-12.6,164,+/-98,31.5%,+/-14.6
Hispanic or Latino Origin,"2,952",+/-110,(X),(X),"1,634",*****,(X),(X),"1,318",+/-109,(X),(X)
High school graduate or higher,"1,682",+/-244,57.0%,+/-8.9,"1,003",+/-146,61.4%,+/-8.9,679,+/-194,51.5%,+/-15.6
Bachelor's degree or higher,281,+/-130,9.5%,+/-4.4,171,+/-106,10.5%,+/-6.5,110,+/-66,8.3%,+/-4.9
