RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"70,294",+/-318,(X),(X),"33,797",+/-154,(X),(X),"36,497",+/-217,(X),(X)
High school graduate or higher,"61,714",+/-651,87.8%,+/-0.9,"29,493",+/-431,87.3%,+/-1.3,"32,221",+/-475,88.3%,+/-1.3
Bachelor's degree or higher,"14,316",+/-838,20.4%,+/-1.2,"6,340",+/-466,18.8%,+/-1.4,"7,976",+/-539,21.9%,+/-1.4
"White alone, not Hispanic or Latino","68,063",+/-109,(X),(X),"32,538",+/-28,(X),(X),"35,525",+/-82,(X),(X)
High school graduate or higher,"60,441",+/-593,88.8%,+/-0.8,"28,738",+/-408,88.3%,+/-1.3,"31,703",+/-447,89.2%,+/-1.2
Bachelor's degree or higher,"14,094",+/-823,20.7%,+/-1.2,"6,214",+/-469,19.1%,+/-1.4,"7,880",+/-526,22.2%,+/-1.5
Black alone,"5,171",+/-124,(X),(X),"2,567",+/-49,(X),(X),"2,604",+/-92,(X),(X)
High school graduate or higher,"4,501",+/-182,87.0%,+/-3.0,"2,172",+/-116,84.6%,+/-4.6,"2,329",+/-121,89.4%,+/-3.2
Bachelor's degree or higher,761,+/-202,14.7%,+/-3.9,358,+/-132,13.9%,+/-5.2,403,+/-159,15.5%,+/-6.1
American Indian or Alaska Native alone,85,+/-71,(X),(X),48,+/-55,(X),(X),37,+/-44,(X),(X)
High school graduate or higher,72,+/-67,84.7%,+/-22.4,41,+/-51,85.4%,+/-25.3,31,+/-43,83.8%,+/-39.1
Bachelor's degree or higher,29,+/-47,34.1%,+/-41.9,29,+/-47,60.4%,+/-49.6,0,+/-27,0.0%,+/-46.8
Asian alone,587,+/-146,(X),(X),255,+/-84,(X),(X),332,+/-98,(X),(X)
High school graduate or higher,416,+/-161,70.9%,+/-16.0,175,+/-96,68.6%,+/-27.8,241,+/-107,72.6%,+/-19.1
Bachelor's degree or higher,212,+/-104,36.1%,+/-13.9,139,+/-96,54.5%,+/-29.7,73,+/-56,22.0%,+/-14.4
Native Hawaiian and Other Pacific Islander alone,17,+/-27,(X),(X),0,+/-27,(X),(X),17,+/-27,(X),(X)
High school graduate or higher,17,+/-27,100.0%,+/-69.1,0,+/-27,-,**,17,+/-27,100.0%,+/-69.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-69.1,0,+/-27,-,**,0,+/-27,0.0%,+/-69.1
Some other race alone,647,+/-256,(X),(X),304,+/-142,(X),(X),343,+/-165,(X),(X)
High school graduate or higher,296,+/-190,45.7%,+/-26.4,128,+/-93,42.1%,+/-27.9,168,+/-128,49.0%,+/-30.7
Bachelor's degree or higher,71,+/-71,11.0%,+/-9.7,49,+/-62,16.1%,+/-18.9,22,+/-30,6.4%,+/-7.5
Two or more races,802,+/-189,(X),(X),372,+/-129,(X),(X),430,+/-122,(X),(X)
High school graduate or higher,677,+/-184,84.4%,+/-10.7,303,+/-125,81.5%,+/-14.4,374,+/-116,87.0%,+/-12.3
Bachelor's degree or higher,219,+/-102,27.3%,+/-11.5,94,+/-74,25.3%,+/-16.7,125,+/-72,29.1%,+/-14.3
Hispanic or Latino Origin,"2,862",+/-113,(X),(X),"1,605",*****,(X),(X),"1,257",+/-114,(X),(X)
High school graduate or higher,"1,502",+/-318,52.5%,+/-11.1,876,+/-194,54.6%,+/-12.1,626,+/-182,49.8%,+/-14.1
Bachelor's degree or higher,281,+/-156,9.8%,+/-5.4,175,+/-118,10.9%,+/-7.3,106,+/-71,8.4%,+/-5.5
