Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,240",+/-219,(X),(X),"4,644",+/-107,(X),(X),"4,596",+/-168,(X),(X)
Less than high school graduate,"1,827",+/-301,19.8%,+/-3.1,"1,138",+/-222,24.5%,+/-4.6,689,+/-189,15.0%,+/-3.9
High school graduate (includes equivalency),"3,123",+/-380,33.8%,+/-4.1,"1,736",+/-241,37.4%,+/-5.3,"1,387",+/-243,30.2%,+/-5.3
Some college or associate's degree,"3,811",+/-383,41.2%,+/-4.3,"1,636",+/-237,35.2%,+/-5.1,"2,175",+/-260,47.3%,+/-5.6
Bachelor's degree or higher,479,+/-147,5.2%,+/-1.6,134,+/-73,2.9%,+/-1.6,345,+/-116,7.5%,+/-2.5
Population 25 years and over,"77,603",+/-207,(X),(X),"37,343",+/-135,(X),(X),"40,260",+/-174,(X),(X)
Less than 9th grade,"3,162",+/-392,4.1%,+/-0.5,"1,518",+/-279,4.1%,+/-0.7,"1,644",+/-268,4.1%,+/-0.7
"9th to 12th grade, no diploma","6,748",+/-574,8.7%,+/-0.7,"3,513",+/-374,9.4%,+/-1.0,"3,235",+/-426,8.0%,+/-1.1
High school graduate (includes equivalency),"26,408","+/-1,078",34.0%,+/-1.4,"13,612",+/-656,36.5%,+/-1.8,"12,796",+/-703,31.8%,+/-1.8
"Some college, no degree","18,275",+/-975,23.5%,+/-1.3,"8,388",+/-596,22.5%,+/-1.6,"9,887",+/-593,24.6%,+/-1.5
Associate's degree,"7,402",+/-630,9.5%,+/-0.8,"3,303",+/-380,8.8%,+/-1.0,"4,099",+/-414,10.2%,+/-1.0
Bachelor's degree,"11,035",+/-721,14.2%,+/-0.9,"5,056",+/-450,13.5%,+/-1.2,"5,979",+/-550,14.9%,+/-1.4
Graduate or professional degree,"4,573",+/-397,5.9%,+/-0.5,"1,953",+/-251,5.2%,+/-0.7,"2,620",+/-242,6.5%,+/-0.6
Percent high school graduate or higher,(X),(X),87.2%,+/-0.9,(X),(X),86.5%,+/-1.2,(X),(X),87.9%,+/-1.2
Percent bachelor's degree or higher,(X),(X),20.1%,+/-1.1,(X),(X),18.8%,+/-1.4,(X),(X),21.4%,+/-1.4
Population 25 to 34 years,"15,747",+/-198,(X),(X),"7,894",+/-97,(X),(X),"7,853",+/-150,(X),(X)
High school graduate or higher,"14,102",+/-336,89.6%,+/-2.0,"6,883",+/-229,87.2%,+/-2.8,"7,219",+/-228,91.9%,+/-2.3
Bachelor's degree or higher,"3,864",+/-416,24.5%,+/-2.6,"1,713",+/-288,21.7%,+/-3.6,"2,151",+/-307,27.4%,+/-3.8
Population 35 to 44 years,"15,451",+/-194,(X),(X),"7,831",+/-81,(X),(X),"7,620",+/-164,(X),(X)
High school graduate or higher,"14,060",+/-267,91.0%,+/-1.8,"7,109",+/-223,90.8%,+/-2.6,"6,951",+/-179,91.2%,+/-3.1
Bachelor's degree or higher,"3,458",+/-409,22.4%,+/-2.6,"1,509",+/-235,19.3%,+/-3.0,"1,949",+/-274,25.6%,+/-3.6
Population 45 to 64 years,"30,815",+/-184,(X),(X),"14,914",+/-109,(X),(X),"15,901",+/-169,(X),(X)
High school graduate or higher,"27,262",+/-447,88.5%,+/-1.4,"13,054",+/-305,87.5%,+/-2.0,"14,208",+/-336,89.4%,+/-2.1
Bachelor's degree or higher,"5,913",+/-492,19.2%,+/-1.6,"2,698",+/-293,18.1%,+/-2.0,"3,215",+/-355,20.2%,+/-2.2
Population 65 years and over,"15,590",+/-90,(X),(X),"6,704",+/-65,(X),(X),"8,886",+/-70,(X),(X)
High school graduate or higher,"12,269",+/-315,78.7%,+/-1.9,"5,266",+/-215,78.6%,+/-3.2,"7,003",+/-211,78.8%,+/-2.3
Bachelor's degree or higher,"2,373",+/-289,15.2%,+/-1.8,"1,089",+/-177,16.2%,+/-2.6,"1,284",+/-184,14.4%,+/-2.1
