Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,230",+/-173,(X),(X),"4,610",+/-61,(X),(X),"4,620",+/-185,(X),(X)
Less than high school graduate,"1,684",+/-252,18.2%,+/-2.7,"1,067",+/-201,23.1%,+/-4.3,617,+/-198,13.4%,+/-4.1
High school graduate (includes equivalency),"3,144",+/-348,34.1%,+/-3.9,"1,713",+/-207,37.2%,+/-4.5,"1,431",+/-231,31.0%,+/-5.3
Some college or associate's degree,"3,888",+/-393,42.1%,+/-4.1,"1,660",+/-223,36.0%,+/-4.9,"2,228",+/-303,48.2%,+/-6.1
Bachelor's degree or higher,514,+/-163,5.6%,+/-1.8,170,+/-85,3.7%,+/-1.8,344,+/-124,7.4%,+/-2.7
Population 25 years and over,"78,451",+/-178,(X),(X),"37,603",+/-145,(X),(X),"40,848",+/-119,(X),(X)
Less than 9th grade,"2,950",+/-402,3.8%,+/-0.5,"1,445",+/-224,3.8%,+/-0.6,"1,505",+/-284,3.7%,+/-0.7
"9th to 12th grade, no diploma","6,547",+/-562,8.3%,+/-0.7,"3,376",+/-396,9.0%,+/-1.1,"3,171",+/-444,7.8%,+/-1.1
High school graduate (includes equivalency),"26,748",+/-879,34.1%,+/-1.1,"13,666",+/-593,36.3%,+/-1.6,"13,082",+/-632,32.0%,+/-1.6
"Some college, no degree","19,029",+/-927,24.3%,+/-1.2,"9,103",+/-631,24.2%,+/-1.7,"9,926",+/-617,24.3%,+/-1.5
Associate's degree,"7,331",+/-613,9.3%,+/-0.8,"2,939",+/-336,7.8%,+/-0.9,"4,392",+/-443,10.8%,+/-1.1
Bachelor's degree,"11,116",+/-736,14.2%,+/-0.9,"5,047",+/-402,13.4%,+/-1.1,"6,069",+/-514,14.9%,+/-1.3
Graduate or professional degree,"4,730",+/-426,6.0%,+/-0.5,"2,027",+/-255,5.4%,+/-0.7,"2,703",+/-296,6.6%,+/-0.7
Percent high school graduate or higher,(X),(X),87.9%,+/-0.8,(X),(X),87.2%,+/-1.1,(X),(X),88.6%,+/-1.2
Percent bachelor's degree or higher,(X),(X),20.2%,+/-1.2,(X),(X),18.8%,+/-1.3,(X),(X),21.5%,+/-1.5
Population 25 to 34 years,"15,780",+/-251,(X),(X),"7,803",+/-175,(X),(X),"7,977",+/-147,(X),(X)
High school graduate or higher,"14,257",+/-321,90.3%,+/-1.9,"6,932",+/-238,88.8%,+/-2.7,"7,325",+/-195,91.8%,+/-2.3
Bachelor's degree or higher,"3,661",+/-475,23.2%,+/-3.1,"1,502",+/-253,19.2%,+/-3.3,"2,159",+/-340,27.1%,+/-4.3
Population 35 to 44 years,"15,634",+/-234,(X),(X),"7,924",+/-169,(X),(X),"7,710",+/-154,(X),(X)
High school graduate or higher,"14,302",+/-282,91.5%,+/-1.7,"7,273",+/-227,91.8%,+/-2.0,"7,029",+/-193,91.2%,+/-2.8
Bachelor's degree or higher,"3,698",+/-436,23.7%,+/-2.7,"1,629",+/-267,20.6%,+/-3.4,"2,069",+/-275,26.8%,+/-3.5
Population 45 to 64 years,"30,839",+/-175,(X),(X),"14,939",+/-108,(X),(X),"15,900",+/-137,(X),(X)
High school graduate or higher,"27,291",+/-420,88.5%,+/-1.2,"12,998",+/-282,87.0%,+/-1.7,"14,293",+/-322,89.9%,+/-1.9
Bachelor's degree or higher,"5,869",+/-465,19.0%,+/-1.5,"2,664",+/-300,17.8%,+/-2.0,"3,205",+/-366,20.2%,+/-2.3
Population 65 years and over,"16,198",+/-108,(X),(X),"6,937",+/-77,(X),(X),"9,261",+/-72,(X),(X)
High school graduate or higher,"13,104",+/-309,80.9%,+/-1.9,"5,579",+/-193,80.4%,+/-2.6,"7,525",+/-230,81.3%,+/-2.4
Bachelor's degree or higher,"2,618",+/-307,16.2%,+/-1.9,"1,279",+/-176,18.4%,+/-2.5,"1,339",+/-196,14.5%,+/-2.1
