Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,339",+/-212,(X),(X),"2,024",+/-201,(X),(X),"1,315",+/-77,(X),(X)
Less than high school graduate,830,+/-174,24.9%,+/-5.1,598,+/-160,29.5%,+/-7.9,232,+/-84,17.6%,+/-6.3
High school graduate (includes equivalency),"1,417",+/-286,42.4%,+/-6.9,923,+/-239,45.6%,+/-9.1,494,+/-127,37.6%,+/-9.2
Some college or associate's degree,966,+/-141,28.9%,+/-5.0,469,+/-106,23.2%,+/-5.9,497,+/-104,37.8%,+/-8.0
Bachelor's degree or higher,126,+/-59,3.8%,+/-1.8,34,+/-28,1.7%,+/-1.4,92,+/-51,7.0%,+/-3.9
Population 25 years and over,"24,915",+/-212,(X),(X),"13,367",+/-217,(X),(X),"11,548",+/-79,(X),(X)
Less than 9th grade,"1,022",+/-179,4.1%,+/-0.7,555,+/-138,4.2%,+/-1.0,467,+/-105,4.0%,+/-0.9
"9th to 12th grade, no diploma","2,784",+/-297,11.2%,+/-1.2,"1,603",+/-250,12.0%,+/-1.9,"1,181",+/-167,10.2%,+/-1.4
High school graduate (includes equivalency),"10,634",+/-397,42.7%,+/-1.7,"5,729",+/-299,42.9%,+/-2.4,"4,905",+/-265,42.5%,+/-2.2
"Some college, no degree","5,596",+/-451,22.5%,+/-1.8,"3,037",+/-378,22.7%,+/-2.7,"2,559",+/-220,22.2%,+/-1.9
Associate's degree,"1,911",+/-258,7.7%,+/-1.0,967,+/-173,7.2%,+/-1.3,944,+/-164,8.2%,+/-1.4
Bachelor's degree,"1,921",+/-233,7.7%,+/-0.9,"1,014",+/-176,7.6%,+/-1.3,907,+/-140,7.9%,+/-1.2
Graduate or professional degree,"1,047",+/-186,4.2%,+/-0.7,462,+/-127,3.5%,+/-0.9,585,+/-113,5.1%,+/-1.0
Percent high school graduate or higher,(X),(X),84.7%,+/-1.4,(X),(X),83.9%,+/-2.1,(X),(X),85.7%,+/-1.7
Percent bachelor's degree or higher,(X),(X),11.9%,+/-1.2,(X),(X),11.0%,+/-1.7,(X),(X),12.9%,+/-1.5
Population 25 to 34 years,"4,429",+/-146,(X),(X),"2,660",+/-132,(X),(X),"1,769",+/-65,(X),(X)
High school graduate or higher,"3,522",+/-238,79.5%,+/-4.1,"1,989",+/-220,74.8%,+/-6.1,"1,533",+/-106,86.7%,+/-4.7
Bachelor's degree or higher,448,+/-103,10.1%,+/-2.3,163,+/-58,6.1%,+/-2.2,285,+/-69,16.1%,+/-3.8
Population 35 to 44 years,"4,806",+/-138,(X),(X),"2,779",+/-137,(X),(X),"2,027",+/-34,(X),(X)
High school graduate or higher,"4,183",+/-189,87.0%,+/-3.3,"2,319",+/-174,83.4%,+/-5.1,"1,864",+/-80,92.0%,+/-3.5
Bachelor's degree or higher,680,+/-137,14.1%,+/-2.8,351,+/-90,12.6%,+/-3.2,329,+/-82,16.2%,+/-4.0
Population 45 to 64 years,"10,146",+/-145,(X),(X),"5,409",+/-129,(X),(X),"4,737",+/-55,(X),(X)
High school graduate or higher,"8,888",+/-242,87.6%,+/-2.2,"4,699",+/-180,86.9%,+/-2.8,"4,189",+/-137,88.4%,+/-2.8
Bachelor's degree or higher,"1,229",+/-209,12.1%,+/-2.0,602,+/-142,11.1%,+/-2.6,627,+/-118,13.2%,+/-2.5
Population 65 years and over,"5,534",+/-80,(X),(X),"2,519",+/-60,(X),(X),"3,015",+/-69,(X),(X)
High school graduate or higher,"4,516",+/-161,81.6%,+/-2.7,"2,202",+/-108,87.4%,+/-3.6,"2,314",+/-100,76.7%,+/-2.9
Bachelor's degree or higher,611,+/-143,11.0%,+/-2.6,360,+/-117,14.3%,+/-4.6,251,+/-60,8.3%,+/-2.0
