RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,059",+/-65,(X),(X),"12,010",+/-58,(X),(X),"11,049",+/-61,(X),(X)
High school graduate or higher,"19,714",+/-313,85.5%,+/-1.4,"10,127",+/-263,84.3%,+/-2.2,"9,587",+/-187,86.8%,+/-1.6
Bachelor's degree or higher,"2,732",+/-293,11.8%,+/-1.3,"1,307",+/-202,10.9%,+/-1.7,"1,425",+/-172,12.9%,+/-1.6
"White alone, not Hispanic or Latino","22,807",+/-24,(X),(X),"11,817",+/-24,(X),(X),"10,990",+/-24,(X),(X)
High school graduate or higher,"19,528",+/-315,85.6%,+/-1.4,"9,998",+/-255,84.6%,+/-2.2,"9,530",+/-176,86.7%,+/-1.6
Bachelor's degree or higher,"2,721",+/-292,11.9%,+/-1.3,"1,296",+/-202,11.0%,+/-1.7,"1,425",+/-172,13.0%,+/-1.6
Black alone,"1,097",+/-187,(X),(X),952,+/-185,(X),(X),145,+/-37,(X),(X)
High school graduate or higher,822,+/-171,74.9%,+/-7.8,710,+/-160,74.6%,+/-7.8,112,+/-42,77.2%,+/-15.4
Bachelor's degree or higher,97,+/-73,8.8%,+/-6.4,72,+/-64,7.6%,+/-6.5,25,+/-31,17.2%,+/-19.9
American Indian or Alaska Native alone,238,+/-66,(X),(X),105,+/-42,(X),(X),133,+/-46,(X),(X)
High school graduate or higher,199,+/-62,83.6%,+/-18.4,105,+/-42,100.0%,+/-24.5,94,+/-48,70.7%,+/-32.4
Bachelor's degree or higher,22,+/-21,9.2%,+/-8.4,9,+/-13,8.6%,+/-11.8,13,+/-17,9.8%,+/-12.1
Asian alone,66,+/-58,(X),(X),37,+/-32,(X),(X),29,+/-30,(X),(X)
High school graduate or higher,63,+/-57,95.5%,+/-10.4,34,+/-30,91.9%,+/-16.5,29,+/-30,100.0%,+/-52.9
Bachelor's degree or higher,37,+/-31,56.1%,+/-16.6,10,+/-17,27.0%,+/-47.3,27,+/-30,93.1%,+/-18.5
Native Hawaiian and Other Pacific Islander alone,21,+/-23,(X),(X),0,+/-24,(X),(X),21,+/-23,(X),(X)
High school graduate or higher,21,+/-23,100.0%,+/-62.2,0,+/-24,-,**,21,+/-23,100.0%,+/-62.2
Bachelor's degree or higher,2,+/-4,9.5%,+/-20.9,0,+/-24,-,**,2,+/-4,9.5%,+/-20.9
Some other race alone,139,+/-64,(X),(X),55,+/-53,(X),(X),84,+/-49,(X),(X)
High school graduate or higher,46,+/-59,33.1%,+/-34.6,37,+/-51,67.3%,+/-39.6,9,+/-15,10.7%,+/-22.2
Bachelor's degree or higher,0,+/-24,0.0%,+/-19.3,0,+/-24,0.0%,+/-38.4,0,+/-24,0.0%,+/-29.2
Two or more races,295,+/-111,(X),(X),208,+/-95,(X),(X),87,+/-57,(X),(X)
High school graduate or higher,244,+/-102,82.7%,+/-14.8,196,+/-89,94.2%,+/-10.9,48,+/-38,55.2%,+/-32.6
Bachelor's degree or higher,78,+/-63,26.4%,+/-15.5,78,+/-63,37.5%,+/-19.2,0,+/-24,0.0%,+/-28.4
Hispanic or Latino Origin,449,+/-89,(X),(X),292,+/-70,(X),(X),157,+/-57,(X),(X)
High school graduate or higher,266,+/-121,59.2%,+/-17.3,186,+/-79,63.7%,+/-14.2,80,+/-69,51.0%,+/-34.8
Bachelor's degree or higher,25,+/-39,5.6%,+/-7.6,25,+/-39,8.6%,+/-11.6,0,+/-24,0.0%,+/-17.3
