RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,935",+/-91,(X),(X),"11,878",+/-93,(X),(X),"11,057",+/-47,(X),(X)
High school graduate or higher,"19,652",+/-384,85.7%,+/-1.6,"10,052",+/-273,84.6%,+/-2.2,"9,600",+/-214,86.8%,+/-2.0
Bachelor's degree or higher,"2,933",+/-302,12.8%,+/-1.3,"1,284",+/-169,10.8%,+/-1.4,"1,649",+/-207,14.9%,+/-1.9
"White alone, not Hispanic or Latino","22,699",+/-24,(X),(X),"11,735",+/-24,(X),(X),"10,964",+/-24,(X),(X)
High school graduate or higher,"19,495",+/-374,85.9%,+/-1.6,"9,933",+/-261,84.6%,+/-2.2,"9,562",+/-217,87.2%,+/-2.0
Bachelor's degree or higher,"2,913",+/-304,12.8%,+/-1.3,"1,274",+/-167,10.9%,+/-1.4,"1,639",+/-208,14.9%,+/-1.9
Black alone,"1,073",+/-162,(X),(X),891,+/-160,(X),(X),182,+/-39,(X),(X)
High school graduate or higher,842,+/-147,78.5%,+/-6.9,709,+/-148,79.6%,+/-6.9,133,+/-38,73.1%,+/-18.9
Bachelor's degree or higher,107,+/-73,10.0%,+/-6.8,64,+/-64,7.2%,+/-7.1,43,+/-36,23.6%,+/-19.2
American Indian or Alaska Native alone,242,+/-73,(X),(X),153,+/-62,(X),(X),89,+/-63,(X),(X)
High school graduate or higher,227,+/-62,93.8%,+/-7.3,138,+/-66,90.2%,+/-13.8,89,+/-63,100.0%,+/-27.9
Bachelor's degree or higher,12,+/-15,5.0%,+/-6.5,2,+/-3,1.3%,+/-2.4,10,+/-14,11.2%,+/-19.6
Asian alone,103,+/-39,(X),(X),39,+/-31,(X),(X),64,+/-22,(X),(X)
High school graduate or higher,101,+/-40,98.1%,+/-4.1,37,+/-32,94.9%,+/-13.3,64,+/-22,100.0%,+/-35.3
Bachelor's degree or higher,59,+/-27,57.3%,+/-19.7,13,+/-20,33.3%,+/-53.0,46,+/-21,71.9%,+/-25.0
Native Hawaiian and Other Pacific Islander alone,28,+/-36,(X),(X),0,+/-24,(X),(X),28,+/-36,(X),(X)
High school graduate or higher,28,+/-36,100.0%,+/-53.8,0,+/-24,-,**,28,+/-36,100.0%,+/-53.8
Bachelor's degree or higher,2,+/-5,7.1%,+/-22.9,0,+/-24,-,**,2,+/-5,7.1%,+/-22.9
Some other race alone,262,+/-77,(X),(X),193,+/-85,(X),(X),69,+/-45,(X),(X)
High school graduate or higher,157,+/-82,59.9%,+/-22.5,132,+/-71,68.4%,+/-20.3,25,+/-29,36.2%,+/-52.6
Bachelor's degree or higher,7,+/-12,2.7%,+/-4.4,0,+/-24,0.0%,+/-14.4,7,+/-12,10.1%,+/-23.9
Two or more races,229,+/-84,(X),(X),119,+/-60,(X),(X),110,+/-61,(X),(X)
High school graduate or higher,216,+/-78,94.3%,+/-7.8,119,+/-60,100.0%,+/-22.0,97,+/-50,88.2%,+/-14.6
Bachelor's degree or higher,17,+/-16,7.4%,+/-6.8,11,+/-13,9.2%,+/-10.7,6,+/-10,5.5%,+/-10.0
Hispanic or Latino Origin,540,+/-85,(X),(X),366,+/-129,(X),(X),174,+/-70,(X),(X)
High school graduate or higher,343,+/-155,63.5%,+/-20.8,268,+/-122,73.2%,+/-14.9,75,+/-56,43.1%,+/-42.8
Bachelor's degree or higher,35,+/-34,6.5%,+/-5.8,18,+/-21,4.9%,+/-5.5,17,+/-21,9.8%,+/-14.7
