RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,035",+/-41,(X),(X),"6,310",+/-21,(X),(X),"6,725",+/-26,(X),(X)
High school graduate or higher,"10,823",+/-266,83.0%,+/-2.0,"5,324",+/-170,84.4%,+/-2.7,"5,499",+/-178,81.8%,+/-2.6
Bachelor's degree or higher,"1,514",+/-254,11.6%,+/-1.9,726,+/-158,11.5%,+/-2.5,788,+/-152,11.7%,+/-2.3
"White alone, not Hispanic or Latino","12,985",+/-18,(X),(X),"6,292",+/-18,(X),(X),"6,693",+/-18,(X),(X)
High school graduate or higher,"10,773",+/-259,83.0%,+/-2.0,"5,306",+/-167,84.3%,+/-2.7,"5,467",+/-171,81.7%,+/-2.5
Bachelor's degree or higher,"1,500",+/-253,11.6%,+/-1.9,726,+/-158,11.5%,+/-2.5,774,+/-150,11.6%,+/-2.2
Black alone,158,+/-31,(X),(X),105,+/-37,(X),(X),53,+/-25,(X),(X)
High school graduate or higher,116,+/-38,73.4%,+/-17.9,73,+/-34,69.5%,+/-24.7,43,+/-25,81.1%,+/-15.3
Bachelor's degree or higher,2,+/-4,1.3%,+/-2.4,2,+/-4,1.9%,+/-3.7,0,+/-18,0.0%,+/-39.1
American Indian or Alaska Native alone,8,+/-12,(X),(X),0,+/-18,(X),(X),8,+/-12,(X),(X)
High school graduate or higher,8,+/-12,100.0%,+/-100.0,0,+/-18,-,**,8,+/-12,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Asian alone,42,+/-32,(X),(X),30,+/-31,(X),(X),12,+/-15,(X),(X)
High school graduate or higher,31,+/-29,73.8%,+/-39.1,28,+/-33,93.3%,+/-26.4,3,+/-8,25.0%,+/-58.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-44.0,0,+/-18,0.0%,+/-52.0,0,+/-18,0.0%,+/-82.3
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,67,+/-84,(X),(X),49,+/-64,(X),(X),18,+/-30,(X),(X)
High school graduate or higher,49,+/-64,73.1%,+/-27.5,49,+/-64,100.0%,+/-40.7,0,+/-18,0.0%,+/-67.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-34.3,0,+/-18,0.0%,+/-40.7,0,+/-18,0.0%,+/-67.2
Two or more races,127,+/-42,(X),(X),58,+/-38,(X),(X),69,+/-33,(X),(X)
High school graduate or higher,121,+/-45,95.3%,+/-8.0,58,+/-38,100.0%,+/-37.4,63,+/-34,91.3%,+/-14.9
Bachelor's degree or higher,14,+/-17,11.0%,+/-12.8,0,+/-18,0.0%,+/-37.4,14,+/-17,20.3%,+/-27.3
Hispanic or Latino Origin,120,+/-68,(X),(X),67,+/-53,(X),(X),53,+/-34,(X),(X)
High school graduate or higher,102,+/-52,85.0%,+/-19.7,67,+/-53,100.0%,+/-34.3,35,+/-27,66.0%,+/-45.5
Bachelor's degree or higher,14,+/-24,11.7%,+/-18.7,0,+/-18,0.0%,+/-34.3,14,+/-24,26.4%,+/-37.8
