RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"12,995",+/-39,(X),(X),"6,287",+/-22,(X),(X),"6,708",+/-27,(X),(X)
High school graduate or higher,"10,828",+/-211,83.3%,+/-1.6,"5,307",+/-143,84.4%,+/-2.3,"5,521",+/-130,82.3%,+/-1.9
Bachelor's degree or higher,"1,572",+/-220,12.1%,+/-1.7,678,+/-124,10.8%,+/-2.0,894,+/-149,13.3%,+/-2.2
"White alone, not Hispanic or Latino","12,933",+/-18,(X),(X),"6,257",+/-18,(X),(X),"6,676",+/-18,(X),(X)
High school graduate or higher,"10,766",+/-209,83.2%,+/-1.6,"5,277",+/-145,84.3%,+/-2.3,"5,489",+/-125,82.2%,+/-1.9
Bachelor's degree or higher,"1,558",+/-217,12.0%,+/-1.7,678,+/-124,10.8%,+/-2.0,880,+/-145,13.2%,+/-2.2
Black alone,149,+/-18,(X),(X),98,+/-28,(X),(X),51,+/-24,(X),(X)
High school graduate or higher,114,+/-28,76.5%,+/-16.7,70,+/-29,71.4%,+/-23.5,44,+/-23,86.3%,+/-12.7
Bachelor's degree or higher,3,+/-4,2.0%,+/-3.0,0,+/-18,0.0%,+/-25.9,3,+/-4,5.9%,+/-8.9
American Indian or Alaska Native alone,18,+/-13,(X),(X),0,+/-18,(X),(X),18,+/-13,(X),(X)
High school graduate or higher,18,+/-13,100.0%,+/-67.2,0,+/-18,-,**,18,+/-13,100.0%,+/-67.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-67.2,0,+/-18,-,**,0,+/-18,0.0%,+/-67.2
Asian alone,58,+/-16,(X),(X),48,+/-15,(X),(X),10,+/-14,(X),(X)
High school graduate or higher,48,+/-20,82.8%,+/-32.4,45,+/-19,93.8%,+/-16.6,3,+/-6,30.0%,+/-59.7
Bachelor's degree or higher,9,+/-20,15.5%,+/-29.6,9,+/-20,18.8%,+/-36.8,0,+/-18,0.0%,+/-90.1
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,52,+/-71,(X),(X),52,+/-71,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,52,+/-71,100.0%,+/-39.5,52,+/-71,100.0%,+/-39.5,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.5,0,+/-18,0.0%,+/-39.5,0,+/-18,-,**
Two or more races,82,+/-50,(X),(X),36,+/-25,(X),(X),46,+/-37,(X),(X)
High school graduate or higher,69,+/-43,84.1%,+/-22.1,36,+/-25,100.0%,+/-47.5,33,+/-29,71.7%,+/-35.3
Bachelor's degree or higher,6,+/-10,7.3%,+/-10.1,0,+/-18,0.0%,+/-47.5,6,+/-10,13.0%,+/-20.6
Hispanic or Latino Origin,117,+/-60,(X),(X),82,+/-64,(X),(X),35,+/-28,(X),(X)
High school graduate or higher,117,+/-60,100.0%,+/-22.4,82,+/-64,100.0%,+/-29.7,35,+/-28,100.0%,+/-48.2
Bachelor's degree or higher,14,+/-26,12.0%,+/-22.2,0,+/-18,0.0%,+/-29.7,14,+/-26,40.0%,+/-57.3
