Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,532",+/-50,(X),(X),774,+/-12,(X),(X),758,+/-47,(X),(X)
Less than high school graduate,310,+/-105,20.2%,+/-6.8,180,+/-81,23.3%,+/-10.5,130,+/-61,17.2%,+/-7.8
High school graduate (includes equivalency),731,+/-123,47.7%,+/-7.8,395,+/-80,51.0%,+/-10.5,336,+/-92,44.3%,+/-11.2
Some college or associate's degree,456,+/-112,29.8%,+/-7.2,199,+/-77,25.7%,+/-9.8,257,+/-80,33.9%,+/-10.9
Bachelor's degree or higher,35,+/-25,2.3%,+/-1.6,0,+/-18,0.0%,+/-3.8,35,+/-25,4.6%,+/-3.3
Population 25 years and over,"13,461",+/-81,(X),(X),"6,559",+/-74,(X),(X),"6,902",+/-74,(X),(X)
Less than 9th grade,634,+/-159,4.7%,+/-1.2,330,+/-107,5.0%,+/-1.6,304,+/-88,4.4%,+/-1.3
"9th to 12th grade, no diploma","1,612",+/-204,12.0%,+/-1.5,736,+/-121,11.2%,+/-1.9,876,+/-143,12.7%,+/-2.1
High school graduate (includes equivalency),"6,135",+/-336,45.6%,+/-2.5,"3,273",+/-223,49.9%,+/-3.4,"2,862",+/-224,41.5%,+/-3.2
"Some college, no degree","2,683",+/-281,19.9%,+/-2.1,"1,208",+/-189,18.4%,+/-2.8,"1,475",+/-197,21.4%,+/-2.8
Associate's degree,807,+/-183,6.0%,+/-1.4,359,+/-106,5.5%,+/-1.6,448,+/-119,6.5%,+/-1.7
Bachelor's degree,960,+/-170,7.1%,+/-1.3,354,+/-99,5.4%,+/-1.5,606,+/-125,8.8%,+/-1.8
Graduate or professional degree,630,+/-132,4.7%,+/-1.0,299,+/-84,4.6%,+/-1.3,331,+/-93,4.8%,+/-1.3
Percent high school graduate or higher,(X),(X),83.3%,+/-1.8,(X),(X),83.7%,+/-2.5,(X),(X),82.9%,+/-2.1
Percent bachelor's degree or higher,(X),(X),11.8%,+/-1.7,(X),(X),10.0%,+/-2.0,(X),(X),13.6%,+/-2.3
Population 25 to 34 years,"2,155",+/-68,(X),(X),"1,114",+/-67,(X),(X),"1,041",+/-37,(X),(X)
High school graduate or higher,"1,894",+/-102,87.9%,+/-3.9,945,+/-102,84.8%,+/-6.7,949,+/-61,91.2%,+/-4.9
Bachelor's degree or higher,248,+/-110,11.5%,+/-5.1,82,+/-52,7.4%,+/-4.7,166,+/-77,15.9%,+/-7.2
Population 35 to 44 years,"2,235",+/-48,(X),(X),"1,101",+/-27,(X),(X),"1,134",+/-28,(X),(X)
High school graduate or higher,"1,922",+/-115,86.0%,+/-4.6,966,+/-63,87.7%,+/-5.1,956,+/-76,84.3%,+/-6.2
Bachelor's degree or higher,262,+/-85,11.7%,+/-3.8,73,+/-39,6.6%,+/-3.6,189,+/-71,16.7%,+/-6.2
Population 45 to 64 years,"5,495",+/-52,(X),(X),"2,754",+/-46,(X),(X),"2,741",+/-19,(X),(X)
High school graduate or higher,"4,506",+/-165,82.0%,+/-2.9,"2,230",+/-115,81.0%,+/-3.9,"2,276",+/-97,83.0%,+/-3.5
Bachelor's degree or higher,513,+/-129,9.3%,+/-2.4,195,+/-79,7.1%,+/-2.9,318,+/-86,11.6%,+/-3.1
Population 65 years and over,"3,576",+/-60,(X),(X),"1,590",+/-17,(X),(X),"1,986",+/-53,(X),(X)
High school graduate or higher,"2,893",+/-133,80.9%,+/-3.6,"1,352",+/-71,85.0%,+/-4.3,"1,541",+/-92,77.6%,+/-4.8
Bachelor's degree or higher,567,+/-122,15.9%,+/-3.5,303,+/-74,19.1%,+/-4.7,264,+/-89,13.3%,+/-4.6
