Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,551",+/-43,(X),(X),801,+/-21,(X),(X),750,+/-37,(X),(X)
Less than high school graduate,293,+/-92,18.9%,+/-6.0,211,+/-86,26.3%,+/-10.9,82,+/-45,10.9%,+/-6.0
High school graduate (includes equivalency),587,+/-125,37.8%,+/-8.0,271,+/-92,33.8%,+/-11.6,316,+/-93,42.1%,+/-11.9
Some college or associate's degree,613,+/-120,39.5%,+/-7.5,278,+/-92,34.7%,+/-11.1,335,+/-92,44.7%,+/-12.3
Bachelor's degree or higher,58,+/-43,3.7%,+/-2.8,41,+/-36,5.1%,+/-4.5,17,+/-20,2.3%,+/-2.7
Population 25 years and over,"13,437",+/-81,(X),(X),"6,552",+/-59,(X),(X),"6,885",+/-65,(X),(X)
Less than 9th grade,777,+/-172,5.8%,+/-1.3,428,+/-114,6.5%,+/-1.7,349,+/-99,5.1%,+/-1.4
"9th to 12th grade, no diploma","1,512",+/-207,11.3%,+/-1.5,592,+/-139,9.0%,+/-2.1,920,+/-145,13.4%,+/-2.1
High school graduate (includes equivalency),"6,249",+/-358,46.5%,+/-2.7,"3,315",+/-256,50.6%,+/-3.9,"2,934",+/-205,42.6%,+/-3.0
"Some college, no degree","2,599",+/-285,19.3%,+/-2.1,"1,210",+/-168,18.5%,+/-2.6,"1,389",+/-198,20.2%,+/-2.8
Associate's degree,770,+/-153,5.7%,+/-1.1,279,+/-88,4.3%,+/-1.3,491,+/-135,7.1%,+/-2.0
Bachelor's degree,950,+/-197,7.1%,+/-1.5,452,+/-127,6.9%,+/-1.9,498,+/-134,7.2%,+/-1.9
Graduate or professional degree,580,+/-134,4.3%,+/-1.0,276,+/-87,4.2%,+/-1.3,304,+/-83,4.4%,+/-1.2
Percent high school graduate or higher,(X),(X),83.0%,+/-1.9,(X),(X),84.4%,+/-2.6,(X),(X),81.6%,+/-2.5
Percent bachelor's degree or higher,(X),(X),11.4%,+/-1.9,(X),(X),11.1%,+/-2.4,(X),(X),11.6%,+/-2.2
Population 25 to 34 years,"2,113",+/-62,(X),(X),"1,062",+/-51,(X),(X),"1,051",+/-35,(X),(X)
High school graduate or higher,"1,809",+/-104,85.6%,+/-4.1,900,+/-84,84.7%,+/-6.1,909,+/-64,86.5%,+/-5.1
Bachelor's degree or higher,320,+/-113,15.1%,+/-5.3,144,+/-75,13.6%,+/-7.1,176,+/-80,16.7%,+/-7.6
Population 35 to 44 years,"2,334",+/-34,(X),(X),"1,164",+/-22,(X),(X),"1,170",+/-20,(X),(X)
High school graduate or higher,"2,120",+/-96,90.8%,+/-3.8,"1,054",+/-52,90.5%,+/-4.0,"1,066",+/-56,91.1%,+/-4.5
Bachelor's degree or higher,293,+/-95,12.6%,+/-4.1,94,+/-48,8.1%,+/-4.1,199,+/-76,17.0%,+/-6.5
Population 45 to 64 years,"5,614",+/-55,(X),(X),"2,820",+/-51,(X),(X),"2,794",+/-32,(X),(X)
High school graduate or higher,"4,728",+/-196,84.2%,+/-3.2,"2,391",+/-126,84.8%,+/-4.2,"2,337",+/-128,83.6%,+/-4.2
Bachelor's degree or higher,504,+/-114,9.0%,+/-2.0,227,+/-66,8.0%,+/-2.3,277,+/-82,9.9%,+/-2.9
Population 65 years and over,"3,376",+/-67,(X),(X),"1,506",+/-37,(X),(X),"1,870",+/-47,(X),(X)
High school graduate or higher,"2,491",+/-146,73.8%,+/-4.0,"1,187",+/-92,78.8%,+/-5.7,"1,304",+/-110,69.7%,+/-5.5
Bachelor's degree or higher,413,+/-107,12.2%,+/-3.2,263,+/-77,17.5%,+/-5.1,150,+/-52,8.0%,+/-2.8
