RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,429",+/-8,(X),(X),"4,051",+/-10,(X),(X),"4,378",+/-7,(X),(X)
High school graduate or higher,"7,424",+/-160,88.1%,+/-1.9,"3,477",+/-109,85.8%,+/-2.7,"3,947",+/-97,90.2%,+/-2.2
Bachelor's degree or higher,960,+/-130,11.4%,+/-1.5,437,+/-85,10.8%,+/-2.1,523,+/-89,11.9%,+/-2.0
"White alone, not Hispanic or Latino","8,333",+/-3,(X),(X),"4,002",+/-3,(X),(X),"4,331",+/-18,(X),(X)
High school graduate or higher,"7,352",+/-157,88.2%,+/-1.9,"3,452",+/-106,86.3%,+/-2.6,"3,900",+/-98,90.0%,+/-2.3
Bachelor's degree or higher,956,+/-129,11.5%,+/-1.5,437,+/-85,10.9%,+/-2.1,519,+/-89,12.0%,+/-2.1
Black alone,15,+/-16,(X),(X),15,+/-16,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,15,+/-16,100.0%,+/-73.6,15,+/-16,100.0%,+/-73.6,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-73.6,0,+/-18,0.0%,+/-73.6,0,+/-18,-,**
American Indian or Alaska Native alone,25,+/-29,(X),(X),4,+/-7,(X),(X),21,+/-24,(X),(X)
High school graduate or higher,25,+/-29,100.0%,+/-57.0,4,+/-7,100.0%,+/-100.0,21,+/-24,100.0%,+/-62.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-62.2
Asian alone,41,+/-42,(X),(X),0,+/-18,(X),(X),41,+/-42,(X),(X)
High school graduate or higher,41,+/-42,100.0%,+/-44.5,0,+/-18,-,**,41,+/-42,100.0%,+/-44.5
Bachelor's degree or higher,0,+/-18,0.0%,+/-44.5,0,+/-18,-,**,0,+/-18,0.0%,+/-44.5
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,2,+/-3,(X),(X),2,+/-3,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**
Two or more races,98,+/-63,(X),(X),77,+/-51,(X),(X),21,+/-25,(X),(X)
High school graduate or higher,45,+/-42,45.9%,+/-30.9,24,+/-35,31.2%,+/-39.8,21,+/-25,100.0%,+/-62.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-25.9,0,+/-18,0.0%,+/-31.1,0,+/-18,0.0%,+/-62.2
Hispanic or Latino Origin,98,+/-4,(X),(X),51,+/-8,(X),(X),47,+/-7,(X),(X)
High school graduate or higher,74,+/-20,75.5%,+/-21.2,27,+/-22,52.9%,+/-41.8,47,+/-7,100.0%,+/-41.6
Bachelor's degree or higher,4,+/-7,4.1%,+/-7.4,0,+/-18,0.0%,+/-39.9,4,+/-7,8.5%,+/-15.3
