RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,509",+/-28,(X),(X),"4,084",+/-17,(X),(X),"4,425",+/-16,(X),(X)
High school graduate or higher,"7,434",+/-181,87.4%,+/-2.0,"3,502",+/-111,85.7%,+/-2.6,"3,932",+/-121,88.9%,+/-2.7
Bachelor's degree or higher,954,+/-165,11.2%,+/-1.9,456,+/-102,11.2%,+/-2.5,498,+/-103,11.3%,+/-2.3
"White alone, not Hispanic or Latino","8,421",+/-3,(X),(X),"4,035",+/-3,(X),(X),"4,386",+/-18,(X),(X)
High school graduate or higher,"7,346",+/-174,87.2%,+/-2.1,"3,453",+/-107,85.6%,+/-2.6,"3,893",+/-117,88.8%,+/-2.7
Bachelor's degree or higher,954,+/-165,11.3%,+/-2.0,456,+/-102,11.3%,+/-2.5,498,+/-103,11.4%,+/-2.3
Black alone,40,+/-32,(X),(X),40,+/-32,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,40,+/-32,100.0%,+/-45.1,40,+/-32,100.0%,+/-45.1,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-45.1,0,+/-18,0.0%,+/-45.1,0,+/-18,-,**
American Indian or Alaska Native alone,11,+/-20,(X),(X),4,+/-6,(X),(X),7,+/-14,(X),(X)
High school graduate or higher,11,+/-20,100.0%,+/-85.9,4,+/-6,100.0%,+/-100.0,7,+/-14,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-85.9,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0
Asian alone,38,+/-39,(X),(X),0,+/-18,(X),(X),38,+/-39,(X),(X)
High school graduate or higher,19,+/-28,50.0%,+/-50.0,0,+/-18,-,**,19,+/-28,50.0%,+/-50.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-46.2,0,+/-18,-,**,0,+/-18,0.0%,+/-46.2
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,2,+/-3,(X),(X),2,+/-3,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**
Two or more races,100,+/-73,(X),(X),72,+/-59,(X),(X),28,+/-29,(X),(X)
High school graduate or higher,61,+/-55,61.0%,+/-36.5,33,+/-41,45.8%,+/-45.7,28,+/-29,100.0%,+/-53.8
Bachelor's degree or higher,0,+/-18,0.0%,+/-25.5,0,+/-18,0.0%,+/-32.7,0,+/-18,0.0%,+/-53.8
Hispanic or Latino Origin,88,+/-28,(X),(X),49,+/-16,(X),(X),39,+/-16,(X),(X)
High school graduate or higher,88,+/-28,100.0%,+/-28.2,49,+/-16,100.0%,+/-40.7,39,+/-16,100.0%,+/-45.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-28.2,0,+/-18,0.0%,+/-40.7,0,+/-18,0.0%,+/-45.6
