Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,938,+/-32,(X),(X),506,+/-32,(X),(X),432,+/-18,(X),(X)
Less than high school graduate,188,+/-65,20.0%,+/-7.0,122,+/-54,24.1%,+/-10.6,66,+/-38,15.3%,+/-8.8
High school graduate (includes equivalency),436,+/-107,46.5%,+/-11.5,252,+/-73,49.8%,+/-14.8,184,+/-60,42.6%,+/-13.9
Some college or associate's degree,246,+/-88,26.2%,+/-9.0,100,+/-50,19.8%,+/-9.1,146,+/-59,33.8%,+/-13.6
Bachelor's degree or higher,68,+/-56,7.2%,+/-5.9,32,+/-46,6.3%,+/-9.1,36,+/-30,8.3%,+/-7.0
Population 25 years and over,"8,610",+/-69,(X),(X),"4,149",+/-53,(X),(X),"4,461",+/-51,(X),(X)
Less than 9th grade,288,+/-89,3.3%,+/-1.0,181,+/-61,4.4%,+/-1.5,107,+/-62,2.4%,+/-1.4
"9th to 12th grade, no diploma",770,+/-140,8.9%,+/-1.6,446,+/-105,10.7%,+/-2.5,324,+/-80,7.3%,+/-1.8
High school graduate (includes equivalency),"4,297",+/-229,49.9%,+/-2.7,"2,039",+/-161,49.1%,+/-3.8,"2,258",+/-142,50.6%,+/-3.3
"Some college, no degree","1,599",+/-168,18.6%,+/-2.0,811,+/-112,19.5%,+/-2.7,788,+/-114,17.7%,+/-2.5
Associate's degree,696,+/-123,8.1%,+/-1.4,235,+/-68,5.7%,+/-1.6,461,+/-102,10.3%,+/-2.2
Bachelor's degree,506,+/-98,5.9%,+/-1.1,184,+/-56,4.4%,+/-1.4,322,+/-68,7.2%,+/-1.5
Graduate or professional degree,454,+/-85,5.3%,+/-1.0,253,+/-67,6.1%,+/-1.6,201,+/-62,4.5%,+/-1.4
Percent high school graduate or higher,(X),(X),87.7%,+/-1.9,(X),(X),84.9%,+/-2.7,(X),(X),90.3%,+/-2.2
Percent bachelor's degree or higher,(X),(X),11.1%,+/-1.5,(X),(X),10.5%,+/-2.1,(X),(X),11.7%,+/-2.0
Population 25 to 34 years,"1,294",+/-51,(X),(X),662,+/-41,(X),(X),632,+/-18,(X),(X)
High school graduate or higher,"1,199",+/-70,92.7%,+/-4.3,602,+/-56,90.9%,+/-6.6,597,+/-36,94.5%,+/-4.9
Bachelor's degree or higher,140,+/-64,10.8%,+/-5.0,79,+/-45,11.9%,+/-7.0,61,+/-35,9.7%,+/-5.5
Population 35 to 44 years,"1,342",+/-19,(X),(X),659,+/-12,(X),(X),683,+/-20,(X),(X)
High school graduate or higher,"1,245",+/-55,92.8%,+/-3.9,579,+/-47,87.9%,+/-7.2,666,+/-33,97.5%,+/-3.2
Bachelor's degree or higher,185,+/-79,13.8%,+/-5.8,64,+/-36,9.7%,+/-5.5,121,+/-51,17.7%,+/-7.4
Population 45 to 64 years,"3,514",+/-70,(X),(X),"1,748",+/-49,(X),(X),"1,766",+/-51,(X),(X)
High school graduate or higher,"3,079",+/-102,87.6%,+/-3.1,"1,494",+/-72,85.5%,+/-4.6,"1,585",+/-65,89.8%,+/-3.2
Bachelor's degree or higher,377,+/-86,10.7%,+/-2.5,171,+/-55,9.8%,+/-3.2,206,+/-54,11.7%,+/-3.1
Population 65 years and over,"2,460",+/-28,(X),(X),"1,080",+/-28,(X),(X),"1,380",+/-18,(X),(X)
High school graduate or higher,"2,029",+/-89,82.5%,+/-3.6,847,+/-55,78.4%,+/-5.1,"1,182",+/-69,85.7%,+/-5.0
Bachelor's degree or higher,258,+/-72,10.5%,+/-2.9,123,+/-48,11.4%,+/-4.5,135,+/-52,9.8%,+/-3.8
