Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,539",+/-102,(X),(X),"1,615",+/-72,(X),(X),"1,924",+/-117,(X),(X)
Less than high school graduate,633,+/-178,17.9%,+/-5.1,223,+/-92,13.8%,+/-5.6,410,+/-136,21.3%,+/-7.0
High school graduate (includes equivalency),"1,244",+/-236,35.2%,+/-6.6,573,+/-148,35.5%,+/-8.4,671,+/-152,34.9%,+/-7.7
Some college or associate's degree,"1,560",+/-198,44.1%,+/-5.3,777,+/-132,48.1%,+/-8.6,783,+/-127,40.7%,+/-6.0
Bachelor's degree or higher,102,+/-75,2.9%,+/-2.1,42,+/-43,2.6%,+/-2.7,60,+/-44,3.1%,+/-2.3
Population 25 years and over,"21,973",+/-110,(X),(X),"10,412",+/-106,(X),(X),"11,561",+/-114,(X),(X)
Less than 9th grade,843,+/-189,3.8%,+/-0.9,468,+/-126,4.5%,+/-1.2,375,+/-135,3.2%,+/-1.2
"9th to 12th grade, no diploma","2,037",+/-344,9.3%,+/-1.6,969,+/-226,9.3%,+/-2.2,"1,068",+/-222,9.2%,+/-2.0
High school graduate (includes equivalency),"8,703",+/-551,39.6%,+/-2.5,"4,315",+/-353,41.4%,+/-3.4,"4,388",+/-359,38.0%,+/-3.0
"Some college, no degree","4,833",+/-416,22.0%,+/-1.9,"2,140",+/-265,20.6%,+/-2.5,"2,693",+/-260,23.3%,+/-2.2
Associate's degree,"1,812",+/-261,8.2%,+/-1.2,612,+/-186,5.9%,+/-1.8,"1,200",+/-174,10.4%,+/-1.5
Bachelor's degree,"2,201",+/-278,10.0%,+/-1.3,"1,194",+/-217,11.5%,+/-2.1,"1,007",+/-174,8.7%,+/-1.5
Graduate or professional degree,"1,544",+/-272,7.0%,+/-1.2,714,+/-168,6.9%,+/-1.6,830,+/-166,7.2%,+/-1.4
Percent high school graduate or higher,(X),(X),86.9%,+/-1.9,(X),(X),86.2%,+/-2.6,(X),(X),87.5%,+/-2.1
Percent bachelor's degree or higher,(X),(X),17.0%,+/-1.6,(X),(X),18.3%,+/-2.3,(X),(X),15.9%,+/-1.9
Population 25 to 34 years,"3,676",+/-83,(X),(X),"1,746",+/-53,(X),(X),"1,930",+/-67,(X),(X)
High school graduate or higher,"3,242",+/-162,88.2%,+/-3.6,"1,506",+/-124,86.3%,+/-6.3,"1,736",+/-99,89.9%,+/-4.0
Bachelor's degree or higher,545,+/-164,14.8%,+/-4.5,259,+/-102,14.8%,+/-5.8,286,+/-98,14.8%,+/-5.1
Population 35 to 44 years,"4,030",+/-87,(X),(X),"1,912",+/-69,(X),(X),"2,118",+/-95,(X),(X)
High school graduate or higher,"3,667",+/-135,91.0%,+/-2.8,"1,726",+/-103,90.3%,+/-3.8,"1,941",+/-91,91.6%,+/-3.6
Bachelor's degree or higher,676,+/-177,16.8%,+/-4.5,273,+/-91,14.3%,+/-4.9,403,+/-119,19.0%,+/-5.8
Population 45 to 64 years,"9,057",+/-101,(X),(X),"4,458",+/-88,(X),(X),"4,599",+/-58,(X),(X)
High school graduate or higher,"8,060",+/-239,89.0%,+/-2.5,"3,908",+/-164,87.7%,+/-3.5,"4,152",+/-141,90.3%,+/-2.8
Bachelor's degree or higher,"1,611",+/-254,17.8%,+/-2.8,854,+/-181,19.2%,+/-4.1,757,+/-138,16.5%,+/-2.9
Population 65 years and over,"5,210",+/-61,(X),(X),"2,296",+/-19,(X),(X),"2,914",+/-50,(X),(X)
High school graduate or higher,"4,124",+/-232,79.2%,+/-4.2,"1,835",+/-104,79.9%,+/-4.6,"2,289",+/-176,78.6%,+/-5.6
Bachelor's degree or higher,913,+/-147,17.5%,+/-2.8,522,+/-114,22.7%,+/-5.0,391,+/-81,13.4%,+/-2.8
