RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,263",+/-146,(X),(X),"10,165",+/-137,(X),(X),"11,098",+/-79,(X),(X)
High school graduate or higher,"18,917",+/-411,89.0%,+/-1.8,"8,979",+/-286,88.3%,+/-2.5,"9,938",+/-237,89.5%,+/-1.9
Bachelor's degree or higher,"3,681",+/-329,17.3%,+/-1.5,"1,870",+/-231,18.4%,+/-2.2,"1,811",+/-212,16.3%,+/-1.9
"White alone, not Hispanic or Latino","20,967",+/-56,(X),(X),"9,946",+/-55,(X),(X),"11,021",+/-13,(X),(X)
High school graduate or higher,"18,621",+/-376,88.8%,+/-1.8,"8,760",+/-263,88.1%,+/-2.6,"9,861",+/-212,89.5%,+/-1.9
Bachelor's degree or higher,"3,681",+/-329,17.6%,+/-1.6,"1,870",+/-231,18.8%,+/-2.3,"1,811",+/-212,16.4%,+/-1.9
Black alone,385,+/-70,(X),(X),138,+/-75,(X),(X),247,+/-59,(X),(X)
High school graduate or higher,346,+/-75,89.9%,+/-12.5,126,+/-76,91.3%,+/-19.1,220,+/-60,89.1%,+/-15.5
Bachelor's degree or higher,22,+/-25,5.7%,+/-6.5,0,+/-24,0.0%,+/-19.4,22,+/-25,8.9%,+/-10.0
American Indian or Alaska Native alone,66,+/-38,(X),(X),44,+/-35,(X),(X),22,+/-17,(X),(X)
High school graduate or higher,26,+/-26,39.4%,+/-33.0,17,+/-21,38.6%,+/-45.9,9,+/-14,40.9%,+/-59.1
Bachelor's degree or higher,5,+/-6,7.6%,+/-9.6,5,+/-6,11.4%,+/-17.4,0,+/-24,0.0%,+/-60.7
Asian alone,135,+/-33,(X),(X),46,+/-33,(X),(X),89,+/-35,(X),(X)
High school graduate or higher,135,+/-33,100.0%,+/-19.8,46,+/-33,100.0%,+/-42.0,89,+/-35,100.0%,+/-27.9
Bachelor's degree or higher,61,+/-46,45.2%,+/-35.3,10,+/-18,21.7%,+/-35.4,51,+/-43,57.3%,+/-38.6
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,69,+/-71,(X),(X),34,+/-52,(X),(X),35,+/-46,(X),(X)
High school graduate or higher,69,+/-71,100.0%,+/-33.6,34,+/-52,100.0%,+/-48.9,35,+/-46,100.0%,+/-48.2
Bachelor's degree or higher,34,+/-52,49.3%,+/-50.7,34,+/-52,100.0%,+/-48.9,0,+/-24,0.0%,+/-48.2
Two or more races,179,+/-65,(X),(X),79,+/-51,(X),(X),100,+/-41,(X),(X)
High school graduate or higher,179,+/-65,100.0%,+/-15.4,79,+/-51,100.0%,+/-30.6,100,+/-41,100.0%,+/-25.5
Bachelor's degree or higher,48,+/-36,26.8%,+/-19.5,19,+/-19,24.1%,+/-25.6,29,+/-29,29.0%,+/-26.7
Hispanic or Latino Origin,342,+/-130,(X),(X),238,+/-128,(X),(X),104,+/-88,(X),(X)
High school graduate or higher,323,+/-127,94.4%,+/-8.8,219,+/-126,92.0%,+/-13.6,104,+/-88,100.0%,+/-24.7
Bachelor's degree or higher,0,+/-24,0.0%,+/-8.4,0,+/-24,0.0%,+/-11.8,0,+/-24,0.0%,+/-24.7
