RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,257",+/-95,(X),(X),"10,128",+/-69,(X),(X),"11,129",+/-61,(X),(X)
High school graduate or higher,"18,503",+/-417,87.0%,+/-1.9,"8,716",+/-272,86.1%,+/-2.6,"9,787",+/-262,87.9%,+/-2.2
Bachelor's degree or higher,"3,625",+/-354,17.1%,+/-1.7,"1,876",+/-233,18.5%,+/-2.3,"1,749",+/-221,15.7%,+/-2.0
"White alone, not Hispanic or Latino","21,069",+/-20,(X),(X),"10,013",+/-15,(X),(X),"11,056",+/-12,(X),(X)
High school graduate or higher,"18,327",+/-403,87.0%,+/-1.9,"8,613",+/-261,86.0%,+/-2.6,"9,714",+/-247,87.9%,+/-2.2
Bachelor's degree or higher,"3,620",+/-354,17.2%,+/-1.7,"1,871",+/-233,18.7%,+/-2.3,"1,749",+/-221,15.8%,+/-2.0
Black alone,336,+/-70,(X),(X),136,+/-61,(X),(X),200,+/-54,(X),(X)
High school graduate or higher,291,+/-78,86.6%,+/-13.6,119,+/-58,87.5%,+/-19.7,172,+/-65,86.0%,+/-20.6
Bachelor's degree or higher,24,+/-26,7.1%,+/-7.7,0,+/-24,0.0%,+/-19.7,24,+/-26,12.0%,+/-12.4
American Indian or Alaska Native alone,36,+/-30,(X),(X),23,+/-26,(X),(X),13,+/-19,(X),(X)
High school graduate or higher,15,+/-22,41.7%,+/-39.6,15,+/-22,65.2%,+/-48.9,0,+/-24,0.0%,+/-79.0
Bachelor's degree or higher,8,+/-15,22.2%,+/-32.9,8,+/-15,34.8%,+/-49.3,0,+/-24,0.0%,+/-79.0
Asian alone,132,+/-41,(X),(X),43,+/-36,(X),(X),89,+/-39,(X),(X)
High school graduate or higher,118,+/-44,89.4%,+/-16.8,43,+/-36,100.0%,+/-43.5,75,+/-41,84.3%,+/-26.2
Bachelor's degree or higher,41,+/-39,31.1%,+/-33.3,5,+/-13,11.6%,+/-30.6,36,+/-39,40.4%,+/-38.6
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,64,+/-66,(X),(X),0,+/-24,(X),(X),64,+/-66,(X),(X)
High school graduate or higher,18,+/-21,28.1%,+/-47.3,0,+/-24,-,**,18,+/-21,28.1%,+/-47.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-35.3,0,+/-24,-,**,0,+/-24,0.0%,+/-35.3
Two or more races,148,+/-77,(X),(X),82,+/-70,(X),(X),66,+/-34,(X),(X)
High school graduate or higher,148,+/-77,100.0%,+/-18.2,82,+/-70,100.0%,+/-29.7,66,+/-34,100.0%,+/-34.6
Bachelor's degree or higher,47,+/-31,31.8%,+/-23.9,19,+/-19,23.2%,+/-26.2,28,+/-25,42.4%,+/-37.9
Hispanic or Latino Origin,252,+/-59,(X),(X),123,+/-70,(X),(X),129,+/-74,(X),(X)
High school graduate or higher,186,+/-89,73.8%,+/-26.1,103,+/-64,83.7%,+/-18.7,83,+/-63,64.3%,+/-41.1
Bachelor's degree or higher,5,+/-9,2.0%,+/-3.5,5,+/-9,4.1%,+/-7.4,0,+/-24,0.0%,+/-20.6
