Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,480",+/-81,(X),(X),"1,613",+/-71,(X),(X),"1,867",+/-106,(X),(X)
Less than high school graduate,658,+/-194,18.9%,+/-5.7,269,+/-108,16.7%,+/-6.5,389,+/-144,20.8%,+/-7.8
High school graduate (includes equivalency),"1,273",+/-192,36.6%,+/-5.4,684,+/-144,42.4%,+/-8.1,589,+/-140,31.5%,+/-7.1
Some college or associate's degree,"1,506",+/-245,43.3%,+/-6.7,648,+/-150,40.2%,+/-9.8,858,+/-166,46.0%,+/-8.5
Bachelor's degree or higher,43,+/-33,1.2%,+/-1.0,12,+/-11,0.7%,+/-0.7,31,+/-32,1.7%,+/-1.7
Population 25 years and over,"21,976",+/-89,(X),(X),"10,442",+/-119,(X),(X),"11,534",+/-105,(X),(X)
Less than 9th grade,867,+/-196,3.9%,+/-0.9,428,+/-119,4.1%,+/-1.1,439,+/-148,3.8%,+/-1.3
"9th to 12th grade, no diploma","2,065",+/-333,9.4%,+/-1.5,"1,026",+/-234,9.8%,+/-2.2,"1,039",+/-190,9.0%,+/-1.6
High school graduate (includes equivalency),"8,676",+/-531,39.5%,+/-2.4,"4,202",+/-317,40.2%,+/-3.0,"4,474",+/-375,38.8%,+/-3.2
"Some college, no degree","4,910",+/-421,22.3%,+/-1.9,"2,288",+/-305,21.9%,+/-2.9,"2,622",+/-283,22.7%,+/-2.5
Associate's degree,"1,595",+/-266,7.3%,+/-1.2,488,+/-141,4.7%,+/-1.4,"1,107",+/-195,9.6%,+/-1.7
Bachelor's degree,"2,341",+/-325,10.7%,+/-1.5,"1,262",+/-240,12.1%,+/-2.3,"1,079",+/-206,9.4%,+/-1.8
Graduate or professional degree,"1,522",+/-245,6.9%,+/-1.1,748,+/-151,7.2%,+/-1.4,774,+/-151,6.7%,+/-1.3
Percent high school graduate or higher,(X),(X),86.7%,+/-1.6,(X),(X),86.1%,+/-2.3,(X),(X),87.2%,+/-2.0
Percent bachelor's degree or higher,(X),(X),17.6%,+/-2.0,(X),(X),19.2%,+/-2.8,(X),(X),16.1%,+/-2.3
Population 25 to 34 years,"3,649",+/-80,(X),(X),"1,721",+/-38,(X),(X),"1,928",+/-71,(X),(X)
High school graduate or higher,"3,186",+/-165,87.3%,+/-3.9,"1,495",+/-128,86.9%,+/-7.0,"1,691",+/-106,87.7%,+/-4.3
Bachelor's degree or higher,568,+/-156,15.6%,+/-4.3,241,+/-96,14.0%,+/-5.6,327,+/-105,17.0%,+/-5.5
Population 35 to 44 years,"4,110",+/-87,(X),(X),"1,973",+/-65,(X),(X),"2,137",+/-103,(X),(X)
High school graduate or higher,"3,758",+/-126,91.4%,+/-2.8,"1,791",+/-99,90.8%,+/-3.8,"1,967",+/-98,92.0%,+/-4.1
Bachelor's degree or higher,780,+/-204,19.0%,+/-4.9,314,+/-104,15.9%,+/-5.4,466,+/-144,21.8%,+/-6.3
Population 45 to 64 years,"9,130",+/-95,(X),(X),"4,514",+/-86,(X),(X),"4,616",+/-54,(X),(X)
High school graduate or higher,"8,065",+/-197,88.3%,+/-2.2,"3,932",+/-155,87.1%,+/-3.3,"4,133",+/-126,89.5%,+/-2.7
Bachelor's degree or higher,"1,535",+/-281,16.8%,+/-3.1,880,+/-199,19.5%,+/-4.4,655,+/-144,14.2%,+/-3.1
Population 65 years and over,"5,087",+/-63,(X),(X),"2,234",+/-28,(X),(X),"2,853",+/-49,(X),(X)
High school graduate or higher,"4,035",+/-218,79.3%,+/-4.2,"1,770",+/-129,79.2%,+/-5.9,"2,265",+/-141,79.4%,+/-4.7
Bachelor's degree or higher,980,+/-175,19.3%,+/-3.5,575,+/-114,25.7%,+/-5.2,405,+/-120,14.2%,+/-4.2
