RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"4,851",+/-16,(X),(X),"2,321",+/-16,(X),(X),"2,530",+/-16,(X),(X)
High school graduate or higher,"4,288",+/-119,88.4%,+/-2.5,"2,007",+/-91,86.5%,+/-3.9,"2,281",+/-77,90.2%,+/-3.1
Bachelor's degree or higher,923,+/-163,19.0%,+/-3.4,394,+/-87,17.0%,+/-3.8,529,+/-118,20.9%,+/-4.7
"White alone, not Hispanic or Latino","4,851",+/-16,(X),(X),"2,321",+/-16,(X),(X),"2,530",+/-16,(X),(X)
High school graduate or higher,"4,288",+/-119,88.4%,+/-2.5,"2,007",+/-91,86.5%,+/-3.9,"2,281",+/-77,90.2%,+/-3.1
Bachelor's degree or higher,923,+/-163,19.0%,+/-3.4,394,+/-87,17.0%,+/-3.8,529,+/-118,20.9%,+/-4.7
Black alone,8,+/-10,(X),(X),2,+/-6,(X),(X),6,+/-9,(X),(X)
High school graduate or higher,8,+/-10,100.0%,+/-100.0,2,+/-6,100.0%,+/-100.0,6,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0
American Indian or Alaska Native alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Asian alone,40,+/-49,(X),(X),0,+/-16,(X),(X),40,+/-49,(X),(X)
High school graduate or higher,40,+/-49,100.0%,+/-45.1,0,+/-16,-,**,40,+/-49,100.0%,+/-45.1
Bachelor's degree or higher,0,+/-16,0.0%,+/-45.1,0,+/-16,-,**,0,+/-16,0.0%,+/-45.1
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,1,+/-3,(X),(X),0,+/-16,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,1,+/-3,100.0%,+/-100.0,0,+/-16,-,**,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**,0,+/-16,0.0%,+/-100.0
Two or more races,74,+/-62,(X),(X),30,+/-33,(X),(X),44,+/-42,(X),(X)
High school graduate or higher,48,+/-42,64.9%,+/-27.1,4,+/-8,13.3%,+/-28.3,44,+/-42,100.0%,+/-43.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-32.0,0,+/-16,0.0%,+/-52.0,0,+/-16,0.0%,+/-43.0
Hispanic or Latino Origin,1,+/-3,(X),(X),0,+/-16,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,1,+/-3,100.0%,+/-100.0,0,+/-16,-,**,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**,0,+/-16,0.0%,+/-100.0
