Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,576,+/-16,(X),(X),321,+/-16,(X),(X),255,+/-16,(X),(X)
Less than high school graduate,125,+/-52,21.7%,+/-9.0,55,+/-22,17.1%,+/-6.7,70,+/-42,27.5%,+/-16.5
High school graduate (includes equivalency),253,+/-91,43.9%,+/-15.8,178,+/-51,55.5%,+/-15.8,75,+/-54,29.4%,+/-21.1
Some college or associate's degree,161,+/-65,28.0%,+/-11.3,55,+/-40,17.1%,+/-12.4,106,+/-45,41.6%,+/-17.6
Bachelor's degree or higher,37,+/-31,6.4%,+/-5.4,33,+/-30,10.3%,+/-9.3,4,+/-5,1.6%,+/-1.9
Population 25 years and over,"4,973",+/-97,(X),(X),"2,353",+/-37,(X),(X),"2,620",+/-75,(X),(X)
Less than 9th grade,130,+/-51,2.6%,+/-1.0,86,+/-43,3.7%,+/-1.9,44,+/-30,1.7%,+/-1.2
"9th to 12th grade, no diploma",448,+/-106,9.0%,+/-2.1,231,+/-86,9.8%,+/-3.6,217,+/-77,8.3%,+/-3.0
High school graduate (includes equivalency),"2,354",+/-211,47.3%,+/-4.0,"1,154",+/-126,49.0%,+/-5.3,"1,200",+/-152,45.8%,+/-5.4
"Some college, no degree",904,+/-166,18.2%,+/-3.3,365,+/-95,15.5%,+/-4.0,539,+/-114,20.6%,+/-4.3
Associate's degree,263,+/-86,5.3%,+/-1.7,76,+/-43,3.2%,+/-1.8,187,+/-64,7.1%,+/-2.5
Bachelor's degree,582,+/-155,11.7%,+/-3.1,285,+/-95,12.1%,+/-4.0,297,+/-92,11.3%,+/-3.5
Graduate or professional degree,292,+/-94,5.9%,+/-1.9,156,+/-57,6.6%,+/-2.5,136,+/-67,5.2%,+/-2.6
Percent high school graduate or higher,(X),(X),88.4%,+/-2.5,(X),(X),86.5%,+/-4.0,(X),(X),90.0%,+/-3.3
Percent bachelor's degree or higher,(X),(X),17.6%,+/-3.8,(X),(X),18.7%,+/-4.6,(X),(X),16.5%,+/-4.5
Population 25 to 34 years,732,+/-36,(X),(X),360,+/-35,(X),(X),372,+/-9,(X),(X)
High school graduate or higher,653,+/-37,89.2%,+/-6.0,324,+/-18,90.0%,+/-9.7,329,+/-31,88.4%,+/-8.1
Bachelor's degree or higher,128,+/-57,17.5%,+/-8.0,66,+/-38,18.3%,+/-11.0,62,+/-33,16.7%,+/-8.8
Population 35 to 44 years,839,+/-18,(X),(X),404,+/-7,(X),(X),435,+/-13,(X),(X)
High school graduate or higher,763,+/-54,90.9%,+/-5.8,354,+/-36,87.6%,+/-8.7,409,+/-37,94.0%,+/-7.3
Bachelor's degree or higher,81,+/-47,9.7%,+/-5.6,22,+/-26,5.4%,+/-6.5,59,+/-41,13.6%,+/-9.4
Population 45 to 64 years,"2,103",+/-43,(X),(X),"1,028",+/-16,(X),(X),"1,075",+/-43,(X),(X)
High school graduate or higher,"1,941",+/-65,92.3%,+/-2.8,954,+/-36,92.8%,+/-3.5,987,+/-53,91.8%,+/-4.2
Bachelor's degree or higher,359,+/-112,17.1%,+/-5.4,150,+/-59,14.6%,+/-5.7,209,+/-82,19.4%,+/-7.8
Population 65 years and over,"1,299",+/-56,(X),(X),561,+/-6,(X),(X),738,+/-55,(X),(X)
High school graduate or higher,"1,038",+/-108,79.9%,+/-6.6,404,+/-72,72.0%,+/-12.6,634,+/-75,85.9%,+/-6.4
Bachelor's degree or higher,306,+/-81,23.6%,+/-6.3,203,+/-67,36.2%,+/-11.8,103,+/-49,14.0%,+/-6.6
