RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"5,732",+/-23,(X),(X),"2,759",+/-22,(X),(X),"2,973",+/-16,(X),(X)
High school graduate or higher,"5,137",+/-93,89.6%,+/-1.6,"2,488",+/-61,90.2%,+/-2.2,"2,649",+/-70,89.1%,+/-2.5
Bachelor's degree or higher,966,+/-125,16.9%,+/-2.2,420,+/-70,15.2%,+/-2.5,546,+/-93,18.4%,+/-3.1
"White alone, not Hispanic or Latino","5,528",+/-16,(X),(X),"2,650",+/-16,(X),(X),"2,878",+/-16,(X),(X)
High school graduate or higher,"5,033",+/-87,91.0%,+/-1.6,"2,439",+/-60,92.0%,+/-2.3,"2,594",+/-68,90.1%,+/-2.4
Bachelor's degree or higher,960,+/-125,17.4%,+/-2.3,417,+/-70,15.7%,+/-2.6,543,+/-93,18.9%,+/-3.2
Black alone,34,+/-16,(X),(X),12,+/-8,(X),(X),22,+/-13,(X),(X)
High school graduate or higher,33,+/-16,97.1%,+/-5.5,11,+/-8,91.7%,+/-17.1,22,+/-13,100.0%,+/-60.7
Bachelor's degree or higher,9,+/-7,26.5%,+/-18.4,9,+/-7,75.0%,+/-34.7,0,+/-16,0.0%,+/-60.7
American Indian or Alaska Native alone,2,+/-3,(X),(X),2,+/-3,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**
Asian alone,14,+/-17,(X),(X),7,+/-9,(X),(X),7,+/-9,(X),(X)
High school graduate or higher,9,+/-12,64.3%,+/-36.4,2,+/-5,28.6%,+/-71.2,7,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,9,+/-12,64.3%,+/-36.4,2,+/-5,28.6%,+/-71.2,7,+/-9,100.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,12,+/-12,(X),(X),12,+/-12,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,11,+/-12,91.7%,+/-17.8,11,+/-12,91.7%,+/-17.8,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-82.3,0,+/-16,0.0%,+/-82.3,0,+/-16,-,**
Two or more races,38,+/-14,(X),(X),19,+/-13,(X),(X),19,+/-12,(X),(X)
High school graduate or higher,37,+/-13,97.4%,+/-5.5,18,+/-13,94.7%,+/-11.4,19,+/-12,100.0%,+/-65.4
Bachelor's degree or higher,11,+/-12,28.9%,+/-27.2,2,+/-4,10.5%,+/-20.5,9,+/-11,47.4%,+/-41.2
Hispanic or Latino Origin,217,+/-20,(X),(X),122,+/-21,(X),(X),95,+/-16,(X),(X)
High school graduate or higher,115,+/-34,53.0%,+/-13.7,60,+/-24,49.2%,+/-16.9,55,+/-18,57.9%,+/-18.7
Bachelor's degree or higher,6,+/-7,2.8%,+/-3.0,3,+/-5,2.5%,+/-4.1,3,+/-4,3.2%,+/-3.9
