RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"5,776",+/-32,(X),(X),"2,775",+/-18,(X),(X),"3,001",+/-26,(X),(X)
High school graduate or higher,"5,139",+/-99,89.0%,+/-1.8,"2,473",+/-59,89.1%,+/-2.2,"2,666",+/-72,88.8%,+/-2.5
Bachelor's degree or higher,974,+/-108,16.9%,+/-1.9,415,+/-73,15.0%,+/-2.6,559,+/-74,18.6%,+/-2.5
"White alone, not Hispanic or Latino","5,583",+/-16,(X),(X),"2,679",+/-16,(X),(X),"2,904",+/-16,(X),(X)
High school graduate or higher,"5,050",+/-95,90.5%,+/-1.7,"2,432",+/-55,90.8%,+/-2.1,"2,618",+/-70,90.2%,+/-2.4
Bachelor's degree or higher,974,+/-108,17.4%,+/-1.9,415,+/-73,15.5%,+/-2.7,559,+/-74,19.2%,+/-2.6
Black alone,43,+/-12,(X),(X),27,+/-14,(X),(X),16,+/-16,(X),(X)
High school graduate or higher,39,+/-14,90.7%,+/-16.2,23,+/-16,85.2%,+/-28.1,16,+/-16,100.0%,+/-71.2
Bachelor's degree or higher,5,+/-5,11.6%,+/-11.8,5,+/-5,18.5%,+/-24.3,0,+/-16,0.0%,+/-71.2
American Indian or Alaska Native alone,2,+/-3,(X),(X),2,+/-3,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**
Asian alone,10,+/-11,(X),(X),5,+/-6,(X),(X),5,+/-6,(X),(X)
High school graduate or higher,7,+/-9,70.0%,+/-30.6,2,+/-4,40.0%,+/-60.0,5,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,7,+/-9,70.0%,+/-30.6,2,+/-4,40.0%,+/-60.0,5,+/-6,100.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,14,+/-16,(X),(X),11,+/-14,(X),(X),3,+/-4,(X),(X)
High school graduate or higher,8,+/-12,57.1%,+/-39.7,8,+/-12,72.7%,+/-36.3,0,+/-16,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-76.1,0,+/-16,0.0%,+/-85.9,0,+/-16,0.0%,+/-100.0
Two or more races,47,+/-12,(X),(X),15,+/-13,(X),(X),32,+/-12,(X),(X)
High school graduate or higher,46,+/-13,97.9%,+/-4.5,14,+/-13,93.3%,+/-17.3,32,+/-12,100.0%,+/-50.4
Bachelor's degree or higher,12,+/-12,25.5%,+/-25.1,2,+/-5,13.3%,+/-26.3,10,+/-12,31.3%,+/-30.6
Hispanic or Latino Origin,208,+/-34,(X),(X),108,+/-21,(X),(X),100,+/-27,(X),(X)
High school graduate or higher,97,+/-34,46.6%,+/-14.3,49,+/-24,45.4%,+/-17.9,48,+/-22,48.0%,+/-20.3
Bachelor's degree or higher,0,+/-16,0.0%,+/-13.4,0,+/-16,0.0%,+/-23.9,0,+/-16,0.0%,+/-25.5
