Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,673,+/-26,(X),(X),367,+/-22,(X),(X),306,+/-15,(X),(X)
Less than high school graduate,128,+/-43,19.0%,+/-6.4,75,+/-33,20.4%,+/-9.2,53,+/-30,17.3%,+/-9.6
High school graduate (includes equivalency),256,+/-67,38.0%,+/-9.5,123,+/-46,33.5%,+/-12.4,133,+/-36,43.5%,+/-11.8
Some college or associate's degree,266,+/-55,39.5%,+/-8.2,150,+/-41,40.9%,+/-10.5,116,+/-34,37.9%,+/-11.1
Bachelor's degree or higher,23,+/-19,3.4%,+/-2.9,19,+/-16,5.2%,+/-4.5,4,+/-6,1.3%,+/-1.9
Population 25 years and over,"5,841",+/-24,(X),(X),"2,814",+/-22,(X),(X),"3,027",+/-24,(X),(X)
Less than 9th grade,125,+/-40,2.1%,+/-0.7,71,+/-28,2.5%,+/-1.0,54,+/-25,1.8%,+/-0.8
"9th to 12th grade, no diploma",490,+/-87,8.4%,+/-1.5,242,+/-62,8.6%,+/-2.2,248,+/-68,8.2%,+/-2.2
High school graduate (includes equivalency),"2,590",+/-181,44.3%,+/-3.1,"1,312",+/-107,46.6%,+/-3.9,"1,278",+/-121,42.2%,+/-4.0
"Some college, no degree","1,217",+/-139,20.8%,+/-2.4,641,+/-103,22.8%,+/-3.6,576,+/-89,19.0%,+/-3.0
Associate's degree,439,+/-82,7.5%,+/-1.4,154,+/-49,5.5%,+/-1.8,285,+/-73,9.4%,+/-2.4
Bachelor's degree,744,+/-104,12.7%,+/-1.8,327,+/-65,11.6%,+/-2.3,417,+/-77,13.8%,+/-2.5
Graduate or professional degree,236,+/-65,4.0%,+/-1.1,67,+/-27,2.4%,+/-0.9,169,+/-52,5.6%,+/-1.7
Percent high school graduate or higher,(X),(X),89.5%,+/-1.6,(X),(X),88.9%,+/-2.6,(X),(X),90.0%,+/-2.3
Percent bachelor's degree or higher,(X),(X),16.8%,+/-2.0,(X),(X),14.0%,+/-2.4,(X),(X),19.4%,+/-3.1
Population 25 to 34 years,962,+/-28,(X),(X),497,+/-23,(X),(X),465,+/-15,(X),(X)
High school graduate or higher,840,+/-58,87.3%,+/-5.3,431,+/-41,86.7%,+/-7.5,409,+/-36,88.0%,+/-7.0
Bachelor's degree or higher,204,+/-63,21.2%,+/-6.5,93,+/-40,18.7%,+/-8.0,111,+/-39,23.9%,+/-8.2
Population 35 to 44 years,989,+/-22,(X),(X),483,+/-13,(X),(X),506,+/-14,(X),(X)
High school graduate or higher,879,+/-37,88.9%,+/-3.5,388,+/-32,80.3%,+/-6.7,491,+/-21,97.0%,+/-3.2
Bachelor's degree or higher,194,+/-56,19.6%,+/-5.7,57,+/-28,11.8%,+/-5.8,137,+/-49,27.1%,+/-9.6
Population 45 to 64 years,"2,412",+/-28,(X),(X),"1,194",+/-18,(X),(X),"1,218",+/-22,(X),(X)
High school graduate or higher,"2,261",+/-40,93.7%,+/-1.6,"1,139",+/-26,95.4%,+/-2.2,"1,122",+/-35,92.1%,+/-3.0
Bachelor's degree or higher,402,+/-72,16.7%,+/-3.0,165,+/-45,13.8%,+/-3.7,237,+/-55,19.5%,+/-4.4
Population 65 years and over,"1,478",+/-28,(X),(X),640,+/-17,(X),(X),838,+/-14,(X),(X)
High school graduate or higher,"1,246",+/-58,84.3%,+/-3.9,543,+/-37,84.8%,+/-5.5,703,+/-46,83.9%,+/-5.6
Bachelor's degree or higher,180,+/-57,12.2%,+/-3.9,79,+/-33,12.3%,+/-5.2,101,+/-40,12.1%,+/-4.8
