RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,271",+/-79,(X),(X),"10,956",+/-81,(X),(X),"11,315",+/-25,(X),(X)
High school graduate or higher,"20,299",+/-296,91.1%,+/-1.4,"9,901",+/-198,90.4%,+/-1.9,"10,398",+/-186,91.9%,+/-1.6
Bachelor's degree or higher,"4,114",+/-391,18.5%,+/-1.8,"1,959",+/-252,17.9%,+/-2.3,"2,155",+/-255,19.0%,+/-2.3
"White alone, not Hispanic or Latino","22,128",+/-24,(X),(X),"10,827",+/-24,(X),(X),"11,301",+/-24,(X),(X)
High school graduate or higher,"20,222",+/-289,91.4%,+/-1.3,"9,838",+/-196,90.9%,+/-1.8,"10,384",+/-184,91.9%,+/-1.6
Bachelor's degree or higher,"4,114",+/-391,18.6%,+/-1.8,"1,959",+/-252,18.1%,+/-2.3,"2,155",+/-255,19.1%,+/-2.3
Black alone,71,+/-41,(X),(X),34,+/-28,(X),(X),37,+/-33,(X),(X)
High school graduate or higher,39,+/-36,54.9%,+/-34.9,16,+/-18,47.1%,+/-37.4,23,+/-31,62.2%,+/-49.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-33.0,0,+/-24,0.0%,+/-48.9,0,+/-24,0.0%,+/-46.8
American Indian or Alaska Native alone,143,+/-81,(X),(X),64,+/-32,(X),(X),79,+/-85,(X),(X)
High school graduate or higher,143,+/-81,100.0%,+/-18.8,64,+/-32,100.0%,+/-35.3,79,+/-85,100.0%,+/-30.6
Bachelor's degree or higher,19,+/-25,13.3%,+/-18.5,1,+/-2,1.6%,+/-3.3,18,+/-25,22.8%,+/-35.0
Asian alone,106,+/-36,(X),(X),26,+/-26,(X),(X),80,+/-34,(X),(X)
High school graduate or higher,106,+/-36,100.0%,+/-24.3,26,+/-26,100.0%,+/-55.9,80,+/-34,100.0%,+/-30.3
Bachelor's degree or higher,50,+/-36,47.2%,+/-28.4,26,+/-26,100.0%,+/-55.9,24,+/-23,30.0%,+/-26.5
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,56,+/-47,(X),(X),56,+/-47,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,8,+/-12,14.3%,+/-26.7,8,+/-12,14.3%,+/-26.7,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-38.1,0,+/-24,0.0%,+/-38.1,0,+/-24,-,**
Two or more races,171,+/-73,(X),(X),107,+/-70,(X),(X),64,+/-27,(X),(X)
High school graduate or higher,120,+/-50,70.2%,+/-20.3,69,+/-48,64.5%,+/-23.6,51,+/-25,79.7%,+/-20.3
Bachelor's degree or higher,13,+/-20,7.6%,+/-11.2,13,+/-20,12.1%,+/-17.7,0,+/-24,0.0%,+/-35.3
Hispanic or Latino Origin,330,+/-36,(X),(X),254,+/-78,(X),(X),76,+/-83,(X),(X)
High school graduate or higher,177,+/-96,53.6%,+/-27.8,108,+/-47,42.5%,+/-25.5,69,+/-82,90.8%,+/-20.4
Bachelor's degree or higher,0,+/-24,0.0%,+/-8.7,0,+/-24,0.0%,+/-11.1,0,+/-24,0.0%,+/-31.4
