RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,302",+/-122,(X),(X),"10,975",+/-101,(X),(X),"11,327",+/-56,(X),(X)
High school graduate or higher,"20,157",+/-324,90.4%,+/-1.5,"9,823",+/-223,89.5%,+/-2.1,"10,334",+/-213,91.2%,+/-1.9
Bachelor's degree or higher,"4,133",+/-434,18.5%,+/-1.9,"1,966",+/-293,17.9%,+/-2.7,"2,167",+/-243,19.1%,+/-2.1
"White alone, not Hispanic or Latino","22,150",+/-84,(X),(X),"10,848",+/-39,(X),(X),"11,302",+/-45,(X),(X)
High school graduate or higher,"20,081",+/-328,90.7%,+/-1.4,"9,772",+/-223,90.1%,+/-2.0,"10,309",+/-216,91.2%,+/-1.9
Bachelor's degree or higher,"4,133",+/-434,18.7%,+/-2.0,"1,966",+/-293,18.1%,+/-2.7,"2,167",+/-243,19.2%,+/-2.1
Black alone,70,+/-37,(X),(X),38,+/-30,(X),(X),32,+/-25,(X),(X)
High school graduate or higher,41,+/-28,58.6%,+/-25.9,23,+/-21,60.5%,+/-36.0,18,+/-23,56.3%,+/-47.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-33.3,0,+/-24,0.0%,+/-46.2,0,+/-24,0.0%,+/-50.4
American Indian or Alaska Native alone,129,+/-73,(X),(X),36,+/-33,(X),(X),93,+/-65,(X),(X)
High school graduate or higher,129,+/-73,100.0%,+/-20.6,36,+/-33,100.0%,+/-47.5,93,+/-65,100.0%,+/-27.0
Bachelor's degree or higher,15,+/-19,11.6%,+/-15.3,2,+/-4,5.6%,+/-10.8,13,+/-19,14.0%,+/-20.8
Asian alone,90,+/-12,(X),(X),22,+/-19,(X),(X),68,+/-17,(X),(X)
High school graduate or higher,90,+/-12,100.0%,+/-27.7,22,+/-19,100.0%,+/-60.7,68,+/-17,100.0%,+/-33.9
Bachelor's degree or higher,38,+/-27,42.2%,+/-28.1,22,+/-19,100.0%,+/-60.7,16,+/-17,23.5%,+/-25.7
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,32,+/-36,(X),(X),32,+/-36,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,17,+/-18,53.1%,+/-50.2,17,+/-18,53.1%,+/-50.2,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-50.4,0,+/-24,0.0%,+/-50.4,0,+/-24,-,**
Two or more races,309,+/-138,(X),(X),165,+/-85,(X),(X),144,+/-81,(X),(X)
High school graduate or higher,238,+/-115,77.0%,+/-20.8,119,+/-63,72.1%,+/-23.8,119,+/-78,82.6%,+/-21.6
Bachelor's degree or higher,8,+/-14,2.6%,+/-4.5,8,+/-14,4.8%,+/-9.1,0,+/-24,0.0%,+/-18.7
Hispanic or Latino Origin,332,+/-36,(X),(X),254,+/-71,(X),(X),78,+/-68,(X),(X)
High school graduate or higher,195,+/-87,58.7%,+/-25.8,124,+/-43,48.8%,+/-24.0,71,+/-68,91.0%,+/-20.4
Bachelor's degree or higher,0,+/-24,0.0%,+/-8.6,0,+/-24,0.0%,+/-11.1,0,+/-24,0.0%,+/-30.9
