Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,633",+/-68,(X),(X),"1,350",+/-49,(X),(X),"1,283",+/-52,(X),(X)
Less than high school graduate,597,+/-127,22.7%,+/-4.8,316,+/-120,23.4%,+/-8.7,281,+/-80,21.9%,+/-6.3
High school graduate (includes equivalency),912,+/-162,34.6%,+/-6.0,584,+/-138,43.3%,+/-10.4,328,+/-98,25.6%,+/-7.6
Some college or associate's degree,979,+/-158,37.2%,+/-5.9,434,+/-115,32.1%,+/-8.5,545,+/-119,42.5%,+/-8.9
Bachelor's degree or higher,145,+/-89,5.5%,+/-3.4,16,+/-21,1.2%,+/-1.6,129,+/-85,10.1%,+/-6.6
Population 25 years and over,"22,818",+/-69,(X),(X),"11,243",+/-94,(X),(X),"11,575",+/-104,(X),(X)
Less than 9th grade,537,+/-182,2.4%,+/-0.8,259,+/-96,2.3%,+/-0.9,278,+/-118,2.4%,+/-1.0
"9th to 12th grade, no diploma","1,566",+/-247,6.9%,+/-1.1,900,+/-189,8.0%,+/-1.7,666,+/-136,5.8%,+/-1.2
High school graduate (includes equivalency),"9,646",+/-469,42.3%,+/-2.1,"4,928",+/-282,43.8%,+/-2.5,"4,718",+/-332,40.8%,+/-2.9
"Some college, no degree","4,852",+/-409,21.3%,+/-1.8,"2,321",+/-269,20.6%,+/-2.4,"2,531",+/-298,21.9%,+/-2.6
Associate's degree,"2,021",+/-274,8.9%,+/-1.2,836,+/-155,7.4%,+/-1.4,"1,185",+/-205,10.2%,+/-1.8
Bachelor's degree,"2,619",+/-285,11.5%,+/-1.3,"1,156",+/-193,10.3%,+/-1.7,"1,463",+/-212,12.6%,+/-1.8
Graduate or professional degree,"1,577",+/-256,6.9%,+/-1.1,843,+/-180,7.5%,+/-1.6,734,+/-157,6.3%,+/-1.4
Percent high school graduate or higher,(X),(X),90.8%,+/-1.4,(X),(X),89.7%,+/-1.8,(X),(X),91.8%,+/-1.6
Percent bachelor's degree or higher,(X),(X),18.4%,+/-1.7,(X),(X),17.8%,+/-2.2,(X),(X),19.0%,+/-2.2
Population 25 to 34 years,"3,713",+/-70,(X),(X),"1,964",+/-63,(X),(X),"1,749",+/-24,(X),(X)
High school graduate or higher,"3,404",+/-103,91.7%,+/-2.6,"1,761",+/-86,89.7%,+/-4.2,"1,643",+/-65,93.9%,+/-3.6
Bachelor's degree or higher,675,+/-143,18.2%,+/-3.7,256,+/-96,13.0%,+/-4.7,419,+/-96,24.0%,+/-5.5
Population 35 to 44 years,"4,089",+/-48,(X),(X),"2,103",+/-40,(X),(X),"1,986",+/-33,(X),(X)
High school graduate or higher,"3,918",+/-108,95.8%,+/-2.5,"2,000",+/-59,95.1%,+/-2.9,"1,918",+/-76,96.6%,+/-3.5
Bachelor's degree or higher,"1,090",+/-230,26.7%,+/-5.6,451,+/-140,21.4%,+/-6.7,639,+/-153,32.2%,+/-7.7
Population 45 to 64 years,"9,812",+/-109,(X),(X),"4,881",+/-57,(X),(X),"4,931",+/-89,(X),(X)
High school graduate or higher,"8,846",+/-223,90.2%,+/-2.0,"4,319",+/-148,88.5%,+/-2.8,"4,527",+/-166,91.8%,+/-2.6
Bachelor's degree or higher,"1,653",+/-229,16.8%,+/-2.3,863,+/-149,17.7%,+/-3.1,790,+/-162,16.0%,+/-3.3
Population 65 years and over,"5,204",+/-82,(X),(X),"2,295",+/-81,(X),(X),"2,909",+/-47,(X),(X)
High school graduate or higher,"4,547",+/-136,87.4%,+/-2.9,"2,004",+/-73,87.3%,+/-4.3,"2,543",+/-106,87.4%,+/-3.2
Bachelor's degree or higher,778,+/-164,15.0%,+/-3.2,429,+/-126,18.7%,+/-5.4,349,+/-91,12.0%,+/-3.1
