Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,597",+/-53,(X),(X),"1,343",+/-45,(X),(X),"1,254",+/-33,(X),(X)
Less than high school graduate,602,+/-157,23.2%,+/-6.0,339,+/-130,25.2%,+/-9.6,263,+/-96,21.0%,+/-7.6
High school graduate (includes equivalency),875,+/-165,33.7%,+/-6.4,466,+/-140,34.7%,+/-10.6,409,+/-123,32.6%,+/-9.9
Some college or associate's degree,845,+/-169,32.5%,+/-6.5,485,+/-154,36.1%,+/-11.3,360,+/-128,28.7%,+/-10.2
Bachelor's degree or higher,275,+/-109,10.6%,+/-4.2,53,+/-43,3.9%,+/-3.2,222,+/-108,17.7%,+/-8.5
Population 25 years and over,"23,080",+/-69,(X),(X),"11,331",+/-86,(X),(X),"11,749",+/-79,(X),(X)
Less than 9th grade,626,+/-216,2.7%,+/-0.9,330,+/-134,2.9%,+/-1.2,296,+/-136,2.5%,+/-1.2
"9th to 12th grade, no diploma","1,434",+/-278,6.2%,+/-1.2,795,+/-202,7.0%,+/-1.8,639,+/-157,5.4%,+/-1.3
High school graduate (includes equivalency),"9,418",+/-463,40.8%,+/-2.0,"4,715",+/-337,41.6%,+/-3.0,"4,703",+/-339,40.0%,+/-2.9
"Some college, no degree","4,827",+/-416,20.9%,+/-1.8,"2,463",+/-292,21.7%,+/-2.6,"2,364",+/-268,20.1%,+/-2.2
Associate's degree,"2,283",+/-267,9.9%,+/-1.2,929,+/-178,8.2%,+/-1.6,"1,354",+/-204,11.5%,+/-1.7
Bachelor's degree,"2,880",+/-292,12.5%,+/-1.3,"1,304",+/-203,11.5%,+/-1.8,"1,576",+/-206,13.4%,+/-1.8
Graduate or professional degree,"1,612",+/-305,7.0%,+/-1.3,795,+/-184,7.0%,+/-1.6,817,+/-189,7.0%,+/-1.6
Percent high school graduate or higher,(X),(X),91.1%,+/-1.4,(X),(X),90.1%,+/-1.8,(X),(X),92.0%,+/-1.7
Percent bachelor's degree or higher,(X),(X),19.5%,+/-1.7,(X),(X),18.5%,+/-2.1,(X),(X),20.4%,+/-2.3
Population 25 to 34 years,"3,838",+/-75,(X),(X),"2,038",+/-67,(X),(X),"1,800",+/-43,(X),(X)
High school graduate or higher,"3,562",+/-135,92.8%,+/-3.0,"1,879",+/-110,92.2%,+/-4.7,"1,683",+/-67,93.5%,+/-3.2
Bachelor's degree or higher,744,+/-170,19.4%,+/-4.4,306,+/-116,15.0%,+/-5.7,438,+/-126,24.3%,+/-7.1
Population 35 to 44 years,"3,999",+/-53,(X),(X),"2,049",+/-32,(X),(X),"1,950",+/-40,(X),(X)
High school graduate or higher,"3,836",+/-89,95.9%,+/-2.1,"1,954",+/-54,95.4%,+/-2.7,"1,882",+/-67,96.5%,+/-2.9
Bachelor's degree or higher,"1,112",+/-167,27.8%,+/-4.2,451,+/-101,22.0%,+/-5.0,661,+/-115,33.9%,+/-5.9
Population 45 to 64 years,"9,634",+/-85,(X),(X),"4,783",+/-62,(X),(X),"4,851",+/-63,(X),(X)
High school graduate or higher,"8,754",+/-223,90.9%,+/-2.5,"4,257",+/-143,89.0%,+/-3.4,"4,497",+/-140,92.7%,+/-2.6
Bachelor's degree or higher,"1,803",+/-250,18.7%,+/-2.6,901,+/-152,18.8%,+/-3.2,902,+/-177,18.6%,+/-3.6
Population 65 years and over,"5,609",+/-76,(X),(X),"2,461",+/-54,(X),(X),"3,148",+/-74,(X),(X)
High school graduate or higher,"4,868",+/-166,86.8%,+/-3.1,"2,116",+/-96,86.0%,+/-4.4,"2,752",+/-107,87.4%,+/-3.6
Bachelor's degree or higher,833,+/-192,14.9%,+/-3.5,441,+/-121,17.9%,+/-4.9,392,+/-99,12.5%,+/-3.2
