RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"62,039",+/-179,(X),(X),"30,151",+/-142,(X),(X),"31,888",+/-98,(X),(X)
High school graduate or higher,"54,705",+/-508,88.2%,+/-0.8,"26,582",+/-359,88.2%,+/-1.1,"28,123",+/-355,88.2%,+/-1.1
Bachelor's degree or higher,"13,978",+/-697,22.5%,+/-1.1,"6,604",+/-455,21.9%,+/-1.5,"7,374",+/-430,23.1%,+/-1.3
"White alone, not Hispanic or Latino","61,203",+/-35,(X),(X),"29,550",+/-34,(X),(X),"31,653",+/-7,(X),(X)
High school graduate or higher,"54,034",+/-474,88.3%,+/-0.8,"26,070",+/-319,88.2%,+/-1.1,"27,964",+/-347,88.3%,+/-1.1
Bachelor's degree or higher,"13,883",+/-694,22.7%,+/-1.1,"6,549",+/-449,22.2%,+/-1.5,"7,334",+/-426,23.2%,+/-1.3
Black alone,"4,165",+/-174,(X),(X),"2,829",+/-154,(X),(X),"1,336",+/-98,(X),(X)
High school graduate or higher,"3,297",+/-212,79.2%,+/-4.7,"2,165",+/-179,76.5%,+/-6.6,"1,132",+/-98,84.7%,+/-6.8
Bachelor's degree or higher,560,+/-147,13.4%,+/-3.5,274,+/-98,9.7%,+/-3.5,286,+/-99,21.4%,+/-7.5
American Indian or Alaska Native alone,243,+/-67,(X),(X),193,+/-42,(X),(X),50,+/-40,(X),(X)
High school graduate or higher,147,+/-49,60.5%,+/-27.6,124,+/-48,64.2%,+/-25.8,23,+/-23,46.0%,+/-43.8
Bachelor's degree or higher,11,+/-17,4.5%,+/-7.3,11,+/-17,5.7%,+/-8.8,0,+/-27,0.0%,+/-40.3
Asian alone,"1,174",+/-115,(X),(X),601,+/-104,(X),(X),573,+/-63,(X),(X)
High school graduate or higher,"1,099",+/-106,93.6%,+/-4.4,566,+/-105,94.2%,+/-6.2,533,+/-75,93.0%,+/-6.9
Bachelor's degree or higher,753,+/-161,64.1%,+/-12.0,414,+/-100,68.9%,+/-11.8,339,+/-96,59.2%,+/-16.2
Native Hawaiian and Other Pacific Islander alone,5,+/-10,(X),(X),0,+/-27,(X),(X),5,+/-10,(X),(X)
High school graduate or higher,0,+/-27,0.0%,+/-100.0,0,+/-27,-,**,0,+/-27,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-100.0,0,+/-27,-,**,0,+/-27,0.0%,+/-100.0
Some other race alone,584,+/-172,(X),(X),410,+/-118,(X),(X),174,+/-102,(X),(X)
High school graduate or higher,365,+/-141,62.5%,+/-16.9,270,+/-114,65.9%,+/-18.5,95,+/-71,54.6%,+/-21.4
Bachelor's degree or higher,105,+/-103,18.0%,+/-16.9,70,+/-84,17.1%,+/-19.0,35,+/-42,20.1%,+/-26.5
Two or more races,"1,171",+/-222,(X),(X),691,+/-204,(X),(X),480,+/-108,(X),(X)
High school graduate or higher,"1,006",+/-219,85.9%,+/-7.1,581,+/-202,84.1%,+/-11.0,425,+/-105,88.5%,+/-9.1
Bachelor's degree or higher,181,+/-89,15.5%,+/-7.5,23,+/-20,3.3%,+/-2.9,158,+/-84,32.9%,+/-14.8
Hispanic or Latino Origin,"1,530",+/-75,(X),(X),"1,097",+/-90,(X),(X),433,+/-58,(X),(X)
High school graduate or higher,"1,146",+/-175,74.9%,+/-9.7,868,+/-148,79.1%,+/-9.9,278,+/-71,64.2%,+/-13.4
Bachelor's degree or higher,212,+/-116,13.9%,+/-7.5,132,+/-90,12.0%,+/-8.2,80,+/-56,18.5%,+/-12.3
