Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"16,277",+/-135,(X),(X),"8,440",+/-119,(X),(X),"7,837",+/-66,(X),(X)
Less than high school graduate,"1,919",+/-333,11.8%,+/-2.0,"1,069",+/-219,12.7%,+/-2.6,850,+/-180,10.8%,+/-2.3
High school graduate (includes equivalency),"4,358",+/-341,26.8%,+/-2.1,"2,561",+/-312,30.3%,+/-3.6,"1,797",+/-250,22.9%,+/-3.2
Some college or associate's degree,"8,870",+/-467,54.5%,+/-2.8,"4,240",+/-333,50.2%,+/-3.9,"4,630",+/-319,59.1%,+/-4.0
Bachelor's degree or higher,"1,130",+/-235,6.9%,+/-1.5,570,+/-175,6.8%,+/-2.1,560,+/-157,7.1%,+/-2.0
Population 25 years and over,"69,381",+/-135,(X),(X),"34,875",+/-140,(X),(X),"34,506",+/-94,(X),(X)
Less than 9th grade,"2,151",+/-277,3.1%,+/-0.4,"1,189",+/-200,3.4%,+/-0.6,962,+/-207,2.8%,+/-0.6
"9th to 12th grade, no diploma","6,611",+/-527,9.5%,+/-0.8,"3,398",+/-361,9.7%,+/-1.0,"3,213",+/-350,9.3%,+/-1.0
High school graduate (includes equivalency),"23,330",+/-773,33.6%,+/-1.1,"12,160",+/-538,34.9%,+/-1.5,"11,170",+/-581,32.4%,+/-1.7
"Some college, no degree","15,867",+/-872,22.9%,+/-1.3,"8,206",+/-562,23.5%,+/-1.6,"7,661",+/-557,22.2%,+/-1.6
Associate's degree,"5,834",+/-451,8.4%,+/-0.7,"2,526",+/-303,7.2%,+/-0.9,"3,308",+/-337,9.6%,+/-1.0
Bachelor's degree,"9,589",+/-679,13.8%,+/-1.0,"4,651",+/-415,13.3%,+/-1.2,"4,938",+/-438,14.3%,+/-1.3
Graduate or professional degree,"5,999",+/-451,8.6%,+/-0.7,"2,745",+/-288,7.9%,+/-0.8,"3,254",+/-303,9.4%,+/-0.9
Percent high school graduate or higher,(X),(X),87.4%,+/-0.9,(X),(X),86.8%,+/-1.2,(X),(X),87.9%,+/-1.1
Percent bachelor's degree or higher,(X),(X),22.5%,+/-1.1,(X),(X),21.2%,+/-1.4,(X),(X),23.7%,+/-1.3
Population 25 to 34 years,"13,972",+/-293,(X),(X),"7,761",+/-213,(X),(X),"6,211",+/-150,(X),(X)
High school graduate or higher,"12,307",+/-341,88.1%,+/-2.0,"6,628",+/-265,85.4%,+/-3.0,"5,679",+/-198,91.4%,+/-2.3
Bachelor's degree or higher,"3,456",+/-414,24.7%,+/-2.9,"1,487",+/-235,19.2%,+/-3.0,"1,969",+/-255,31.7%,+/-4.0
Population 35 to 44 years,"13,024",+/-281,(X),(X),"7,090",+/-232,(X),(X),"5,934",+/-131,(X),(X)
High school graduate or higher,"11,401",+/-359,87.5%,+/-2.1,"6,082",+/-307,85.8%,+/-2.9,"5,319",+/-186,89.6%,+/-2.7
Bachelor's degree or higher,"2,976",+/-309,22.9%,+/-2.3,"1,331",+/-213,18.8%,+/-2.9,"1,645",+/-200,27.7%,+/-3.3
Population 45 to 64 years,"27,033",+/-238,(X),(X),"13,624",+/-191,(X),(X),"13,409",+/-139,(X),(X)
High school graduate or higher,"24,147",+/-446,89.3%,+/-1.3,"12,170",+/-318,89.3%,+/-1.7,"11,977",+/-271,89.3%,+/-1.8
Bachelor's degree or higher,"6,029",+/-446,22.3%,+/-1.7,"2,942",+/-295,21.6%,+/-2.1,"3,087",+/-312,23.0%,+/-2.3
Population 65 years and over,"15,352",+/-89,(X),(X),"6,400",+/-72,(X),(X),"8,952",+/-67,(X),(X)
High school graduate or higher,"12,764",+/-308,83.1%,+/-1.9,"5,408",+/-161,84.5%,+/-2.2,"7,356",+/-225,82.2%,+/-2.5
Bachelor's degree or higher,"3,127",+/-322,20.4%,+/-2.1,"1,636",+/-204,25.6%,+/-3.1,"1,491",+/-210,16.7%,+/-2.3
