Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"16,371",+/-137,(X),(X),"8,439",+/-112,(X),(X),"7,932",+/-60,(X),(X)
Less than high school graduate,"1,631",+/-348,10.0%,+/-2.1,"1,007",+/-252,11.9%,+/-3.0,624,+/-197,7.9%,+/-2.5
High school graduate (includes equivalency),"4,257",+/-460,26.0%,+/-2.8,"2,525",+/-359,29.9%,+/-4.2,"1,732",+/-260,21.8%,+/-3.3
Some college or associate's degree,"9,082",+/-489,55.5%,+/-2.9,"4,380",+/-379,51.9%,+/-4.5,"4,702",+/-306,59.3%,+/-3.8
Bachelor's degree or higher,"1,401",+/-270,8.6%,+/-1.6,527,+/-163,6.2%,+/-1.9,874,+/-207,11.0%,+/-2.6
Population 25 years and over,"69,061",+/-146,(X),(X),"34,666",+/-134,(X),(X),"34,395",+/-91,(X),(X)
Less than 9th grade,"2,081",+/-299,3.0%,+/-0.4,"1,052",+/-209,3.0%,+/-0.6,"1,029",+/-214,3.0%,+/-0.6
"9th to 12th grade, no diploma","6,341",+/-452,9.2%,+/-0.7,"3,130",+/-350,9.0%,+/-1.0,"3,211",+/-359,9.3%,+/-1.0
High school graduate (includes equivalency),"22,273",+/-945,32.3%,+/-1.4,"11,451",+/-609,33.0%,+/-1.8,"10,822",+/-594,31.5%,+/-1.7
"Some college, no degree","16,299",+/-858,23.6%,+/-1.2,"8,637",+/-589,24.9%,+/-1.7,"7,662",+/-486,22.3%,+/-1.4
Associate's degree,"5,810",+/-425,8.4%,+/-0.6,"2,556",+/-318,7.4%,+/-0.9,"3,254",+/-348,9.5%,+/-1.0
Bachelor's degree,"10,051",+/-707,14.6%,+/-1.0,"4,949",+/-427,14.3%,+/-1.2,"5,102",+/-487,14.8%,+/-1.4
Graduate or professional degree,"6,206",+/-586,9.0%,+/-0.9,"2,891",+/-346,8.3%,+/-1.0,"3,315",+/-351,9.6%,+/-1.0
Percent high school graduate or higher,(X),(X),87.8%,+/-0.8,(X),(X),87.9%,+/-1.2,(X),(X),87.7%,+/-1.3
Percent bachelor's degree or higher,(X),(X),23.5%,+/-1.3,(X),(X),22.6%,+/-1.5,(X),(X),24.5%,+/-1.6
Population 25 to 34 years,"13,656",+/-213,(X),(X),"7,680",+/-157,(X),(X),"5,976",+/-106,(X),(X)
High school graduate or higher,"11,965",+/-346,87.6%,+/-2.0,"6,655",+/-269,86.7%,+/-2.7,"5,310",+/-213,88.9%,+/-3.0
Bachelor's degree or higher,"3,531",+/-389,25.9%,+/-2.8,"1,690",+/-245,22.0%,+/-3.1,"1,841",+/-255,30.8%,+/-4.2
Population 35 to 44 years,"12,711",+/-203,(X),(X),"6,834",+/-161,(X),(X),"5,877",+/-124,(X),(X)
High school graduate or higher,"11,097",+/-299,87.3%,+/-1.7,"5,876",+/-228,86.0%,+/-2.7,"5,221",+/-180,88.8%,+/-2.8
Bachelor's degree or higher,"3,136",+/-359,24.7%,+/-2.8,"1,448",+/-247,21.2%,+/-3.5,"1,688",+/-220,28.7%,+/-3.8
Population 45 to 64 years,"26,463",+/-226,(X),(X),"13,360",+/-161,(X),(X),"13,103",+/-145,(X),(X)
High school graduate or higher,"23,719",+/-379,89.6%,+/-1.2,"12,009",+/-281,89.9%,+/-1.8,"11,710",+/-265,89.4%,+/-1.7
Bachelor's degree or higher,"5,967",+/-445,22.5%,+/-1.7,"2,893",+/-295,21.7%,+/-2.2,"3,074",+/-298,23.5%,+/-2.3
Population 65 years and over,"16,231",+/-100,(X),(X),"6,792",+/-85,(X),(X),"9,439",+/-70,(X),(X)
High school graduate or higher,"13,858",+/-278,85.4%,+/-1.6,"5,944",+/-161,87.5%,+/-2.3,"7,914",+/-234,83.8%,+/-2.5
Bachelor's degree or higher,"3,623",+/-393,22.3%,+/-2.4,"1,809",+/-217,26.6%,+/-3.2,"1,814",+/-271,19.2%,+/-2.9
