RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,774",+/-98,(X),(X),"11,528",+/-82,(X),(X),"12,246",+/-28,(X),(X)
High school graduate or higher,"21,009",+/-383,88.4%,+/-1.5,"10,291",+/-238,89.3%,+/-1.9,"10,718",+/-249,87.5%,+/-2.0
Bachelor's degree or higher,"3,654",+/-413,15.4%,+/-1.7,"1,641",+/-247,14.2%,+/-2.1,"2,013",+/-245,16.4%,+/-2.0
"White alone, not Hispanic or Latino","23,625",+/-24,(X),(X),"11,409",+/-24,(X),(X),"12,216",+/-24,(X),(X)
High school graduate or higher,"20,880",+/-363,88.4%,+/-1.5,"10,189",+/-217,89.3%,+/-1.9,"10,691",+/-242,87.5%,+/-2.0
Bachelor's degree or higher,"3,651",+/-412,15.5%,+/-1.7,"1,641",+/-247,14.4%,+/-2.2,"2,010",+/-244,16.5%,+/-2.0
Black alone,439,+/-117,(X),(X),263,+/-116,(X),(X),176,+/-73,(X),(X)
High school graduate or higher,439,+/-117,100.0%,+/-6.6,263,+/-116,100.0%,+/-10.8,176,+/-73,100.0%,+/-15.6
Bachelor's degree or higher,26,+/-45,5.9%,+/-9.8,26,+/-45,9.9%,+/-16.2,0,+/-24,0.0%,+/-15.6
American Indian or Alaska Native alone,29,+/-28,(X),(X),0,+/-24,(X),(X),29,+/-28,(X),(X)
High school graduate or higher,22,+/-25,75.9%,+/-46.1,0,+/-24,-,**,22,+/-25,75.9%,+/-46.1
Bachelor's degree or higher,10,+/-16,34.5%,+/-50.5,0,+/-24,-,**,10,+/-16,34.5%,+/-50.5
Asian alone,208,+/-70,(X),(X),81,+/-47,(X),(X),127,+/-53,(X),(X)
High school graduate or higher,204,+/-70,98.1%,+/-3.2,79,+/-47,97.5%,+/-4.3,125,+/-53,98.4%,+/-2.9
Bachelor's degree or higher,26,+/-28,12.5%,+/-14.7,21,+/-26,25.9%,+/-27.4,5,+/-10,3.9%,+/-9.2
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,107,+/-44,(X),(X),34,+/-45,(X),(X),73,+/-54,(X),(X)
High school graduate or higher,104,+/-44,97.2%,+/-6.6,31,+/-46,91.2%,+/-34.6,73,+/-54,100.0%,+/-32.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-24.1,0,+/-24,0.0%,+/-48.9,0,+/-24,0.0%,+/-32.3
Two or more races,213,+/-77,(X),(X),102,+/-65,(X),(X),111,+/-65,(X),(X)
High school graduate or higher,153,+/-76,71.8%,+/-19.0,84,+/-64,82.4%,+/-21.1,69,+/-51,62.2%,+/-26.5
Bachelor's degree or higher,58,+/-52,27.2%,+/-20.6,24,+/-37,23.5%,+/-32.7,34,+/-39,30.6%,+/-27.4
Hispanic or Latino Origin,256,+/-75,(X),(X),153,+/-66,(X),(X),103,+/-50,(X),(X)
High school graduate or higher,233,+/-71,91.0%,+/-8.5,133,+/-66,86.9%,+/-14.7,100,+/-50,97.1%,+/-5.3
Bachelor's degree or higher,3,+/-6,1.2%,+/-2.3,0,+/-24,0.0%,+/-17.7,3,+/-6,2.9%,+/-6.2
