RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,685",+/-86,(X),(X),"11,506",+/-72,(X),(X),"12,179",+/-54,(X),(X)
High school graduate or higher,"20,820",+/-377,87.9%,+/-1.6,"10,191",+/-217,88.6%,+/-1.9,"10,629",+/-268,87.3%,+/-2.1
Bachelor's degree or higher,"3,787",+/-497,16.0%,+/-2.1,"1,694",+/-278,14.7%,+/-2.4,"2,093",+/-309,17.2%,+/-2.5
"White alone, not Hispanic or Latino","23,450",+/-24,(X),(X),"11,352",+/-24,(X),(X),"12,098",+/-24,(X),(X)
High school graduate or higher,"20,675",+/-360,88.2%,+/-1.5,"10,124",+/-206,89.2%,+/-1.8,"10,551",+/-251,87.2%,+/-2.1
Bachelor's degree or higher,"3,783",+/-498,16.1%,+/-2.1,"1,694",+/-278,14.9%,+/-2.5,"2,089",+/-310,17.3%,+/-2.6
Black alone,489,+/-108,(X),(X),246,+/-87,(X),(X),243,+/-88,(X),(X)
High school graduate or higher,489,+/-108,100.0%,+/-5.9,246,+/-87,100.0%,+/-11.5,243,+/-88,100.0%,+/-11.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-5.9,0,+/-24,0.0%,+/-11.5,0,+/-24,0.0%,+/-11.6
American Indian or Alaska Native alone,24,+/-27,(X),(X),0,+/-24,(X),(X),24,+/-27,(X),(X)
High school graduate or higher,18,+/-23,75.0%,+/-51.8,0,+/-24,-,**,18,+/-23,75.0%,+/-51.8
Bachelor's degree or higher,9,+/-15,37.5%,+/-51.1,0,+/-24,-,**,9,+/-15,37.5%,+/-51.1
Asian alone,211,+/-51,(X),(X),77,+/-31,(X),(X),134,+/-35,(X),(X)
High school graduate or higher,209,+/-52,99.1%,+/-2.5,76,+/-32,98.7%,+/-3.6,133,+/-35,99.3%,+/-2.1
Bachelor's degree or higher,95,+/-82,45.0%,+/-33.2,48,+/-35,62.3%,+/-33.1,47,+/-55,35.1%,+/-36.8
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,88,+/-66,(X),(X),8,+/-10,(X),(X),80,+/-65,(X),(X)
High school graduate or higher,86,+/-66,97.7%,+/-4.9,6,+/-10,75.0%,+/-71.3,80,+/-65,100.0%,+/-30.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-28.2,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-30.3
Two or more races,262,+/-81,(X),(X),132,+/-73,(X),(X),130,+/-42,(X),(X)
High school graduate or higher,214,+/-80,81.7%,+/-17.0,123,+/-70,93.2%,+/-10.3,91,+/-37,70.0%,+/-27.6
Bachelor's degree or higher,84,+/-60,32.1%,+/-25.8,37,+/-31,28.0%,+/-27.7,47,+/-38,36.2%,+/-29.8
Hispanic or Latino Origin,323,+/-77,(X),(X),162,+/-73,(X),(X),161,+/-48,(X),(X)
High school graduate or higher,231,+/-55,71.5%,+/-14.9,73,+/-56,45.1%,+/-27.2,158,+/-49,98.1%,+/-3.5
Bachelor's degree or higher,4,+/-5,1.2%,+/-1.7,0,+/-24,0.0%,+/-16.8,4,+/-5,2.5%,+/-3.3
